Sentence	entity_1	entity_2	entity_3	json	split
These investigators showed that expression of constructs containing the BRC4 repeat in MCF - 7 cells enhances the radiosensitivity of cells and blocks both the G2 / M delay associated with damage and the ability of the transfected cells to assembly subnuclear RAD51 foci.	cells,95,100,Cell	cells,134,139,Cell	cells,231,236,Cell	"[{""token"": ""cells"", ""start_span"": 95, ""end_span"": 100, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 134, ""end_span"": 139, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 231, ""end_span"": 236, ""type"": ""Cell""}]"	train
The initial development and partial differentiation of hair cells in Brn3c mutants could possibly lead to some neurotrophin expression in these cells to sustain sensory neurons through embryonic development and beyond.	hair cells,55,65,Cell	cells,144,149,Cell	sensory neurons,161,176,Cell	"[{""token"": ""hair cells"", ""start_span"": 55, ""end_span"": 65, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 144, ""end_span"": 149, ""type"": ""Cell""}, {""token"": ""sensory neurons"", ""start_span"": 161, ""end_span"": 176, ""type"": ""Cell""}]"	train
Afferents reach all three rows of outer hair cells in the basal turn of control wildtype littermates ( Fig. 2c), but both afferent and efferent outgrowth is disorganized to outer hair cells in Brn3c null mutants ( Fig. 2d) and does not show any clear organization into three distinct longitudinal fiber bundles paralleling the three rows in the outer hair cell region.	outer hair cells,34,50,Cell	outer hair cells,173,189,Cell	outer hair cell,345,360,Cell	"[{""token"": ""outer hair cells"", ""start_span"": 34, ""end_span"": 50, ""type"": ""Cell""}, {""token"": ""outer hair cells"", ""start_span"": 173, ""end_span"": 189, ""type"": ""Cell""}, {""token"": ""outer hair cell"", ""start_span"": 345, ""end_span"": 360, ""type"": ""Cell""}]"	train
It is possible that the apparent inability of fibers to extend along outer hair cells is related to the lack of differentiation of supporting cells in the absence of mature hair cells.	outer hair cells,69,85,Cell	supporting cells,131,147,Cell	hair cells,173,183,Cell	"[{""token"": ""outer hair cells"", ""start_span"": 69, ""end_span"": 85, ""type"": ""Cell""}, {""token"": ""supporting cells"", ""start_span"": 131, ""end_span"": 147, ""type"": ""Cell""}, {""token"": ""hair cells"", ""start_span"": 173, ""end_span"": 183, ""type"": ""Cell""}]"	train
Further work on the recently available mutant mice with specific absence of all hair cells [ 37], outer hair cells in the base [ 38] or apex [ 39] could further help to clarify the role of hair cells in forming and maintaining afferent and efferent innervation in these model mice.	hair cells,80,90,Cell	outer hair cells,98,114,Cell	hair cells,189,199,Cell	"[{""token"": ""hair cells"", ""start_span"": 80, ""end_span"": 90, ""type"": ""Cell""}, {""token"": ""outer hair cells"", ""start_span"": 98, ""end_span"": 114, ""type"": ""Cell""}, {""token"": ""hair cells"", ""start_span"": 189, ""end_span"": 199, ""type"": ""Cell""}]"	train
Immunocytochemistry of hair cells and quantification of hair cells and neurons	hair cells,23,33,Cell	hair cells,56,66,Cell	neurons,71,78,Cell	"[{""token"": ""hair cells"", ""start_span"": 23, ""end_span"": 33, ""type"": ""Cell""}, {""token"": ""hair cells"", ""start_span"": 56, ""end_span"": 66, ""type"": ""Cell""}, {""token"": ""neurons"", ""start_span"": 71, ""end_span"": 78, ""type"": ""Cell""}]"	train
Generally, red blood cells and platelets were thought not to contain annexin A7 and only recently the 47 kDa isoform has been reported as component of red blood cells [ 7].	red blood cells,11,26,Cell	platelets,31,40,Cell	red blood cells,151,166,Cell	"[{""token"": ""red blood cells"", ""start_span"": 11, ""end_span"": 26, ""type"": ""Cell""}, {""token"": ""platelets"", ""start_span"": 31, ""end_span"": 40, ""type"": ""Cell""}, {""token"": ""red blood cells"", ""start_span"": 151, ""end_span"": 166, ""type"": ""Cell""}]"	train
Annexin A7 expression in red blood cells, red blood cell derived exovesicles and in platelets	red blood cells,25,40,Cell	red blood cell,42,56,Cell	platelets,84,93,Cell	"[{""token"": ""red blood cells"", ""start_span"": 25, ""end_span"": 40, ""type"": ""Cell""}, {""token"": ""red blood cell"", ""start_span"": 42, ""end_span"": 56, ""type"": ""Cell""}, {""token"": ""platelets"", ""start_span"": 84, ""end_span"": 93, ""type"": ""Cell""}]"	train
When we compared the aggregation curves of human platelets from a healthy donor with the ones obtained from an individual with a von Willebrand factor type 1 defect, we found that the difference in the curves was much more pronounced as observed in our studies of healthy mouse platelets and anxA7 - / - platelets.	platelets,49,58,Cell	platelets,278,287,Cell	platelets,304,313,Cell	"[{""token"": ""platelets"", ""start_span"": 49, ""end_span"": 58, ""type"": ""Cell""}, {""token"": ""platelets"", ""start_span"": 278, ""end_span"": 287, ""type"": ""Cell""}, {""token"": ""platelets"", ""start_span"": 304, ""end_span"": 313, ""type"": ""Cell""}]"	train
The observed cell shape change of erythrocytes lacking annexin A7 might be due to alterations in the erythrocyte cytoskeleton.	cell,13,17,Cell	erythrocytes,34,46,Cell	erythrocyte,101,112,Cell	"[{""token"": ""cell"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Cell""}, {""token"": ""erythrocytes"", ""start_span"": 34, ""end_span"": 46, ""type"": ""Cell""}, {""token"": ""erythrocyte"", ""start_span"": 101, ""end_span"": 112, ""type"": ""Cell""}]"	train
