Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	json	split
Interleukin - 1 ( IL - 1) and tumor necrosis factor ( TNF - alpha) stimulate transcription factors AP - 1 and NF - kappaB through activation of the MAP kinases JNK and p38 and the IkappaB kinase ( IKK), respectively.	Interleukin - 1,0,15,Gene_or_gene_product	IL - 1,18,24,Gene_or_gene_product	tumor necrosis factor,30,51,Gene_or_gene_product	TNF - alpha,54,65,Gene_or_gene_product	AP - 1,99,105,Gene_or_gene_product	MAP kinases,148,159,Gene_or_gene_product	JNK,160,163,Gene_or_gene_product	p38,168,171,Gene_or_gene_product	"[{""token"": ""Interleukin - 1"", ""start_span"": 0, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 1"", ""start_span"": 18, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumor necrosis factor"", ""start_span"": 30, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}, {""token"": ""TNF - alpha"", ""start_span"": 54, ""end_span"": 65, ""type"": ""Gene_or_gene_product""}, {""token"": ""AP - 1"", ""start_span"": 99, ""end_span"": 105, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAP kinases"", ""start_span"": 148, ""end_span"": 159, ""type"": ""Gene_or_gene_product""}, {""token"": ""JNK"", ""start_span"": 160, ""end_span"": 163, ""type"": ""Gene_or_gene_product""}, {""token"": ""p38"", ""start_span"": 168, ""end_span"": 171, ""type"": ""Gene_or_gene_product""}]"	train
Here we report that E2F - 1, - 2, and - 3, but not E2F - 4, - 5, and - 6, associate with and are acetylated by p300 and cAMP - response element - binding protein acetyltransferases.	E2F - 1,20,27,Gene_or_gene_product	- 2,29,32,Gene_or_gene_product	- 3,38,41,Gene_or_gene_product	E2F - 4,51,58,Gene_or_gene_product	- 5,60,63,Gene_or_gene_product	- 6,69,72,Gene_or_gene_product	p300,111,115,Gene_or_gene_product	cAMP - response element - binding protein,120,161,Gene_or_gene_product	"[{""token"": ""E2F - 1"", ""start_span"": 20, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 2"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 3"", ""start_span"": 38, ""end_span"": 41, ""type"": ""Gene_or_gene_product""}, {""token"": ""E2F - 4"", ""start_span"": 51, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 5"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 6"", ""start_span"": 69, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}, {""token"": ""p300"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Gene_or_gene_product""}, {""token"": ""cAMP - response element - binding protein"", ""start_span"": 120, ""end_span"": 161, ""type"": ""Gene_or_gene_product""}]"	train
Dominant negative constructs of TLR2 or TLR6 inhibit the responses of STF and OspA - L as well as PSM in TLR2 - transfected HMEC, supporting the concept of functional cooperation between TLR2 and TLR6 for all these TLR2 ligands.	TLR2,32,36,Gene_or_gene_product	TLR6,40,44,Gene_or_gene_product	STF,70,73,Gene_or_gene_product	OspA - L,78,86,Gene_or_gene_product	TLR2,105,109,Gene_or_gene_product	TLR2,187,191,Gene_or_gene_product	TLR6,196,200,Gene_or_gene_product	TLR2,215,219,Gene_or_gene_product	"[{""token"": ""TLR2"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR6"", ""start_span"": 40, ""end_span"": 44, ""type"": ""Gene_or_gene_product""}, {""token"": ""STF"", ""start_span"": 70, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}, {""token"": ""OspA - L"", ""start_span"": 78, ""end_span"": 86, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR2"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR2"", ""start_span"": 187, ""end_span"": 191, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR6"", ""start_span"": 196, ""end_span"": 200, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR2"", ""start_span"": 215, ""end_span"": 219, ""type"": ""Gene_or_gene_product""}]"	train
Second, all of the growth - stimulatory members of the E2F family ( E2F1, - 2, and - 3A) potently activate a cyclin D3 promoter reporter, whereas growth - restraining members of the family ( E2F4, - 5, and - 6) have little effect.	E2F,55,58,Gene_or_gene_product	E2F1,68,72,Gene_or_gene_product	- 2,74,77,Gene_or_gene_product	- 3A,83,87,Gene_or_gene_product	cyclin D3,109,118,Gene_or_gene_product	E2F4,191,195,Gene_or_gene_product	- 5,197,200,Gene_or_gene_product	- 6,206,209,Gene_or_gene_product	"[{""token"": ""E2F"", ""start_span"": 55, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}, {""token"": ""E2F1"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 2"", ""start_span"": 74, ""end_span"": 77, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 3A"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Gene_or_gene_product""}, {""token"": ""cyclin D3"", ""start_span"": 109, ""end_span"": 118, ""type"": ""Gene_or_gene_product""}, {""token"": ""E2F4"", ""start_span"": 191, ""end_span"": 195, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 5"", ""start_span"": 197, ""end_span"": 200, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 6"", ""start_span"": 206, ""end_span"": 209, ""type"": ""Gene_or_gene_product""}]"	train
Immobilization of the septins is dependent on both Cla4, a PAK - like kinase, and Gin4, a septin - dependent kinase that can phosphorylate the septin Shs1 / Sep7.	septins,22,29,Gene_or_gene_product	Cla4,51,55,Gene_or_gene_product	PAK - like kinase,59,76,Gene_or_gene_product	Gin4,82,86,Gene_or_gene_product	septin,90,96,Gene_or_gene_product	septin,143,149,Gene_or_gene_product	Shs1,150,154,Gene_or_gene_product	Sep7,157,161,Gene_or_gene_product	"[{""token"": ""septins"", ""start_span"": 22, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cla4"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Gene_or_gene_product""}, {""token"": ""PAK - like kinase"", ""start_span"": 59, ""end_span"": 76, ""type"": ""Gene_or_gene_product""}, {""token"": ""Gin4"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Gene_or_gene_product""}, {""token"": ""septin"", ""start_span"": 90, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}, {""token"": ""septin"", ""start_span"": 143, ""end_span"": 149, ""type"": ""Gene_or_gene_product""}, {""token"": ""Shs1"", ""start_span"": 150, ""end_span"": 154, ""type"": ""Gene_or_gene_product""}, {""token"": ""Sep7"", ""start_span"": 157, ""end_span"": 161, ""type"": ""Gene_or_gene_product""}]"	train
Tumor development is dependent upon the inactivation of two key tumor - suppressor networks, p16 ( Ink4a) - cycD / cdk4 - pRB - E2F and p19 ( Arf) - mdm2 - p53, that regulate cellular proliferation and the tumor surveillance response.	p16,93,96,Gene_or_gene_product	Ink4a,99,104,Gene_or_gene_product	pRB,122,125,Gene_or_gene_product	E2F,128,131,Gene_or_gene_product	p19,136,139,Gene_or_gene_product	Arf,142,145,Gene_or_gene_product	mdm2,149,153,Gene_or_gene_product	p53,156,159,Gene_or_gene_product	"[{""token"": ""p16"", ""start_span"": 93, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ink4a"", ""start_span"": 99, ""end_span"": 104, ""type"": ""Gene_or_gene_product""}, {""token"": ""pRB"", ""start_span"": 122, ""end_span"": 125, ""type"": ""Gene_or_gene_product""}, {""token"": ""E2F"", ""start_span"": 128, ""end_span"": 131, ""type"": ""Gene_or_gene_product""}, {""token"": ""p19"", ""start_span"": 136, ""end_span"": 139, ""type"": ""Gene_or_gene_product""}, {""token"": ""Arf"", ""start_span"": 142, ""end_span"": 145, ""type"": ""Gene_or_gene_product""}, {""token"": ""mdm2"", ""start_span"": 149, ""end_span"": 153, ""type"": ""Gene_or_gene_product""}, {""token"": ""p53"", ""start_span"": 156, ""end_span"": 159, ""type"": ""Gene_or_gene_product""}]"	train
The last few years have seen a remarkable increase in our understanding of the canonical, growth factor - regulated pathway for mTOR activation, which is mediated by the class I PI3Ks ( phosphoinositide 3 - kinases), PKB ( protein kinase B), TSC1 / 2 ( the tuberous sclerosis complex) and the small GTPase, Rheb.	growth factor,90,103,Gene_or_gene_product	mTOR,128,132,Gene_or_gene_product	class I PI3Ks,170,183,Gene_or_gene_product	phosphoinositide 3 - kinases,186,214,Gene_or_gene_product	PKB,217,220,Gene_or_gene_product	protein kinase B,223,239,Gene_or_gene_product	GTPase,299,305,Gene_or_gene_product	Rheb,307,311,Gene_or_gene_product	"[{""token"": ""growth factor"", ""start_span"": 90, ""end_span"": 103, ""type"": ""Gene_or_gene_product""}, {""token"": ""mTOR"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Gene_or_gene_product""}, {""token"": ""class I PI3Ks"", ""start_span"": 170, ""end_span"": 183, ""type"": ""Gene_or_gene_product""}, {""token"": ""phosphoinositide 3 - kinases"", ""start_span"": 186, ""end_span"": 214, ""type"": ""Gene_or_gene_product""}, {""token"": ""PKB"", ""start_span"": 217, ""end_span"": 220, ""type"": ""Gene_or_gene_product""}, {""token"": ""protein kinase B"", ""start_span"": 223, ""end_span"": 239, ""type"": ""Gene_or_gene_product""}, {""token"": ""GTPase"", ""start_span"": 299, ""end_span"": 305, ""type"": ""Gene_or_gene_product""}, {""token"": ""Rheb"", ""start_span"": 307, ""end_span"": 311, ""type"": ""Gene_or_gene_product""}]"	train
Along with CD40 and CD80 expression, release of the cytokines of CD11c + JAWS II cells was inhibited by TLR2 or simultaneous TLR2 and 6 knockdown showing that recognition of PIL by the two TLRs is essential for DC activation and type 1 polarization.	CD40,11,15,Gene_or_gene_product	CD80,20,24,Gene_or_gene_product	CD11c,65,70,Gene_or_gene_product	TLR2,104,108,Gene_or_gene_product	TLR2,125,129,Gene_or_gene_product	6,134,135,Gene_or_gene_product	PIL,174,177,Gene_or_gene_product	TLRs,189,193,Gene_or_gene_product	"[{""token"": ""CD40"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}, {""token"": ""CD80"", ""start_span"": 20, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}, {""token"": ""CD11c"", ""start_span"": 65, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR2"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR2"", ""start_span"": 125, ""end_span"": 129, ""type"": ""Gene_or_gene_product""}, {""token"": ""6"", ""start_span"": 134, ""end_span"": 135, ""type"": ""Gene_or_gene_product""}, {""token"": ""PIL"", ""start_span"": 174, ""end_span"": 177, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLRs"", ""start_span"": 189, ""end_span"": 193, ""type"": ""Gene_or_gene_product""}]"	train
Sequestration of p53 and pRb by the N - terminal truncated T - antigen molecules ( T1 - antigen and T2 - antigen) does not affect mammary gland differentiation and the transgenic animals ( WAP - SVBst - Bam) do not develop breast tumors.	p53,17,20,Gene_or_gene_product	pRb,25,28,Gene_or_gene_product	T - antigen,59,70,Gene_or_gene_product	T1 - antigen,83,95,Gene_or_gene_product	T2 - antigen,100,112,Gene_or_gene_product	WAP,189,192,Gene_or_gene_product	SVBst,195,200,Gene_or_gene_product	Bam,203,206,Gene_or_gene_product	"[{""token"": ""p53"", ""start_span"": 17, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}, {""token"": ""pRb"", ""start_span"": 25, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}, {""token"": ""T - antigen"", ""start_span"": 59, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}, {""token"": ""T1 - antigen"", ""start_span"": 83, ""end_span"": 95, ""type"": ""Gene_or_gene_product""}, {""token"": ""T2 - antigen"", ""start_span"": 100, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}, {""token"": ""WAP"", ""start_span"": 189, ""end_span"": 192, ""type"": ""Gene_or_gene_product""}, {""token"": ""SVBst"", ""start_span"": 195, ""end_span"": 200, ""type"": ""Gene_or_gene_product""}, {""token"": ""Bam"", ""start_span"": 203, ""end_span"": 206, ""type"": ""Gene_or_gene_product""}]"	valid
The p65 sequence revealed four potential GSK - 3 phosphorylation sites within its COOH - terminal transactivation domains and recombinant GSK - 3beta phosphorylated glutathione S - transferase ( GST) - p65 ( 354 - 551), but not GST - p65 ( 1 - 305) in vitro.	p65,4,7,Gene_or_gene_product	GSK - 3,41,48,Gene_or_gene_product	GSK - 3beta,138,149,Gene_or_gene_product	glutathione S - transferase,165,192,Gene_or_gene_product	GST,195,198,Gene_or_gene_product	p65,202,205,Gene_or_gene_product	GST,228,231,Gene_or_gene_product	p65,234,237,Gene_or_gene_product	"[{""token"": ""p65"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}, {""token"": ""GSK - 3"", ""start_span"": 41, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}, {""token"": ""GSK - 3beta"", ""start_span"": 138, ""end_span"": 149, ""type"": ""Gene_or_gene_product""}, {""token"": ""glutathione S - transferase"", ""start_span"": 165, ""end_span"": 192, ""type"": ""Gene_or_gene_product""}, {""token"": ""GST"", ""start_span"": 195, ""end_span"": 198, ""type"": ""Gene_or_gene_product""}, {""token"": ""p65"", ""start_span"": 202, ""end_span"": 205, ""type"": ""Gene_or_gene_product""}, {""token"": ""GST"", ""start_span"": 228, ""end_span"": 231, ""type"": ""Gene_or_gene_product""}, {""token"": ""p65"", ""start_span"": 234, ""end_span"": 237, ""type"": ""Gene_or_gene_product""}]"	valid
