Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	entity_12	entity_13	entity_14	json	split
We analysed leukocytes, red blood cells, haemoglobin content, haematocrit, mean cellular volume, mean cellular haemoglobin, mean cellular haemoglobin concentration, platelets, neutrophiles, lymphocytes, monocytes, eosinophiles and basophiles.	leukocytes,12,22,Cell	red blood cells,24,39,Cell	haemoglobin,41,52,Chemical	cellular,80,88,Cell	cellular,102,110,Cell	haemoglobin,111,122,Chemical	cellular,129,137,Cell	haemoglobin,138,149,Chemical	platelets,165,174,Cell	neutrophiles,176,188,Cell	lymphocytes,190,201,Cell	monocytes,203,212,Cell	eosinophiles,214,226,Cell	basophiles,231,241,Cell	"[{""token"": ""leukocytes"", ""start_span"": 12, ""end_span"": 22, ""type"": ""Cell""}, {""token"": ""red blood cells"", ""start_span"": 24, ""end_span"": 39, ""type"": ""Cell""}, {""token"": ""haemoglobin"", ""start_span"": 41, ""end_span"": 52, ""type"": ""Chemical""}, {""token"": ""cellular"", ""start_span"": 80, ""end_span"": 88, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 102, ""end_span"": 110, ""type"": ""Cell""}, {""token"": ""haemoglobin"", ""start_span"": 111, ""end_span"": 122, ""type"": ""Chemical""}, {""token"": ""cellular"", ""start_span"": 129, ""end_span"": 137, ""type"": ""Cell""}, {""token"": ""haemoglobin"", ""start_span"": 138, ""end_span"": 149, ""type"": ""Chemical""}, {""token"": ""platelets"", ""start_span"": 165, ""end_span"": 174, ""type"": ""Cell""}, {""token"": ""neutrophiles"", ""start_span"": 176, ""end_span"": 188, ""type"": ""Cell""}, {""token"": ""lymphocytes"", ""start_span"": 190, ""end_span"": 201, ""type"": ""Cell""}, {""token"": ""monocytes"", ""start_span"": 203, ""end_span"": 212, ""type"": ""Cell""}, {""token"": ""eosinophiles"", ""start_span"": 214, ""end_span"": 226, ""type"": ""Cell""}, {""token"": ""basophiles"", ""start_span"": 231, ""end_span"": 241, ""type"": ""Cell""}]"	train
The following data were statistically analysed: leucocytes, red blood cells, haemoglobin, haematocrit, mean cellular volume, mean cellular haemoglobin, mean cellular haemoglobin concentration, platelet number, neutrophiles, lymphocytes, monocytes, eosinophiles, basophiles.	leucocytes,48,58,Cell	red blood cells,60,75,Cell	haemoglobin,77,88,Chemical	cellular,108,116,Cell	cellular,130,138,Cell	haemoglobin,139,150,Chemical	cellular,157,165,Cell	haemoglobin,166,177,Chemical	platelet,193,201,Cell	neutrophiles,210,222,Cell	lymphocytes,224,235,Cell	monocytes,237,246,Cell	eosinophiles,248,260,Cell	basophiles,262,272,Cell	"[{""token"": ""leucocytes"", ""start_span"": 48, ""end_span"": 58, ""type"": ""Cell""}, {""token"": ""red blood cells"", ""start_span"": 60, ""end_span"": 75, ""type"": ""Cell""}, {""token"": ""haemoglobin"", ""start_span"": 77, ""end_span"": 88, ""type"": ""Chemical""}, {""token"": ""cellular"", ""start_span"": 108, ""end_span"": 116, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 130, ""end_span"": 138, ""type"": ""Cell""}, {""token"": ""haemoglobin"", ""start_span"": 139, ""end_span"": 150, ""type"": ""Chemical""}, {""token"": ""cellular"", ""start_span"": 157, ""end_span"": 165, ""type"": ""Cell""}, {""token"": ""haemoglobin"", ""start_span"": 166, ""end_span"": 177, ""type"": ""Chemical""}, {""token"": ""platelet"", ""start_span"": 193, ""end_span"": 201, ""type"": ""Cell""}, {""token"": ""neutrophiles"", ""start_span"": 210, ""end_span"": 222, ""type"": ""Cell""}, {""token"": ""lymphocytes"", ""start_span"": 224, ""end_span"": 235, ""type"": ""Cell""}, {""token"": ""monocytes"", ""start_span"": 237, ""end_span"": 246, ""type"": ""Cell""}, {""token"": ""eosinophiles"", ""start_span"": 248, ""end_span"": 260, ""type"": ""Cell""}, {""token"": ""basophiles"", ""start_span"": 262, ""end_span"": 272, ""type"": ""Cell""}]"	train
Additional antibodies were as follows: GFAP, 1: 2000 ( DAKO Corporation); calbindin, 1: 5000 ( Sigma); NeuN, 10 mu g / ml ( Chemicon); SV40 T antigen ( Pab 101), 2 mu g / ml ( Santa Cruz Biotechnology); cathepsin D ( C - 20), 2 mu g / ml ( Santa Cruz Biotechnology); cytochrome c oxidase subunit IV ( cox4), 1: 1000 ( BD Biosciences Clontech); PDI ( H - 160), 2 mu g / ml ( Santa Cruz Biotechnology); GM130, 1 mu g / ml ( BD Transduction Labs); alpha - tubulin, 1: 15, 000 ( Sigma); grp75, 1: 200 ( Stressgen); early endosome antigen - 1 ( EEA1), 2 mu g / ml ( Santa Cruz Biotechnology); rab 7, 4 mu g / ml ( Santa Cruz Biotechnology).	antibodies,11,21,GO_ontology	GFAP,39,43,Gene_or_geneproduct	calbindin,74,83,Gene_or_geneproduct	SV40 T antigen,135,149,Gene_or_geneproduct	cathepsin D,203,214,Gene_or_geneproduct	cytochrome c oxidase subunit IV,267,298,Gene_or_geneproduct	cox4,301,305,Gene_or_geneproduct	PDI,344,347,Gene_or_geneproduct	GM130,401,406,Gene_or_geneproduct	tubulin,453,460,GO_ontology	grp75,483,488,Gene_or_geneproduct	early endosome antigen - 1,511,537,Gene_or_geneproduct	EEA1,540,544,Gene_or_geneproduct	rab 7,588,593,Gene_or_geneproduct	"[{""token"": ""antibodies"", ""start_span"": 11, ""end_span"": 21, ""type"": ""GO_ontology""}, {""token"": ""GFAP"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Gene_or_geneproduct""}, {""token"": ""calbindin"", ""start_span"": 74, ""end_span"": 83, ""type"": ""Gene_or_geneproduct""}, {""token"": ""SV40 T antigen"", ""start_span"": 135, ""end_span"": 149, ""type"": ""Gene_or_geneproduct""}, {""token"": ""cathepsin D"", ""start_span"": 203, ""end_span"": 214, ""type"": ""Gene_or_geneproduct""}, {""token"": ""cytochrome c oxidase subunit IV"", ""start_span"": 267, ""end_span"": 298, ""type"": ""Gene_or_geneproduct""}, {""token"": ""cox4"", ""start_span"": 301, ""end_span"": 305, ""type"": ""Gene_or_geneproduct""}, {""token"": ""PDI"", ""start_span"": 344, ""end_span"": 347, ""type"": ""Gene_or_geneproduct""}, {""token"": ""GM130"", ""start_span"": 401, ""end_span"": 406, ""type"": ""Gene_or_geneproduct""}, {""token"": ""tubulin"", ""start_span"": 453, ""end_span"": 460, ""type"": ""GO_ontology""}, {""token"": ""grp75"", ""start_span"": 483, ""end_span"": 488, ""type"": ""Gene_or_geneproduct""}, {""token"": ""early endosome antigen - 1"", ""start_span"": 511, ""end_span"": 537, ""type"": ""Gene_or_geneproduct""}, {""token"": ""EEA1"", ""start_span"": 540, ""end_span"": 544, ""type"": ""Gene_or_geneproduct""}, {""token"": ""rab 7"", ""start_span"": 588, ""end_span"": 593, ""type"": ""Gene_or_geneproduct""}]"	train
Primary newborn mouse keratinocytes were transfected with either the empty K14 expression vector ( K14), or the expression vector driving Snail, full length Ajuba, or the pre - LIM domain of Ajuba in the absence or presence of a peptide inhibitor ( inh) that disrupts the interaction between Grb - 2 and Sos.	mouse,16,21,Organism	keratinocytes,22,35,Cell	K14,75,78,Gene_or_geneproduct	vector,90,96,Sequence	K14,99,102,Gene_or_geneproduct	vector,123,129,Sequence	Snail,138,143,Gene_or_geneproduct	Ajuba,157,162,Gene_or_geneproduct	domain,181,187,Sequence	Ajuba,191,196,Gene_or_geneproduct	peptide,229,236,Sequence	inhibitor,237,246,Chemical	Grb - 2,292,299,Gene_or_geneproduct	Sos,304,307,Gene_or_geneproduct	"[{""token"": ""mouse"", ""start_span"": 16, ""end_span"": 21, ""type"": ""Organism""}, {""token"": ""keratinocytes"", ""start_span"": 22, ""end_span"": 35, ""type"": ""Cell""}, {""token"": ""K14"", ""start_span"": 75, ""end_span"": 78, ""type"": ""Gene_or_geneproduct""}, {""token"": ""vector"", ""start_span"": 90, ""end_span"": 96, ""type"": ""Sequence""}, {""token"": ""K14"", ""start_span"": 99, ""end_span"": 102, ""type"": ""Gene_or_geneproduct""}, {""token"": ""vector"", ""start_span"": 123, ""end_span"": 129, ""type"": ""Sequence""}, {""token"": ""Snail"", ""start_span"": 138, ""end_span"": 143, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Ajuba"", ""start_span"": 157, ""end_span"": 162, ""type"": ""Gene_or_geneproduct""}, {""token"": ""domain"", ""start_span"": 181, ""end_span"": 187, ""type"": ""Sequence""}, {""token"": ""Ajuba"", ""start_span"": 191, ""end_span"": 196, ""type"": ""Gene_or_geneproduct""}, {""token"": ""peptide"", ""start_span"": 229, ""end_span"": 236, ""type"": ""Sequence""}, {""token"": ""inhibitor"", ""start_span"": 237, ""end_span"": 246, ""type"": ""Chemical""}, {""token"": ""Grb - 2"", ""start_span"": 292, ""end_span"": 299, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Sos"", ""start_span"": 304, ""end_span"": 307, ""type"": ""Gene_or_geneproduct""}]"	train
3H - palmitate oxidation rates determined in hepatocytes isolated from PGC - 1 alpha + / + and PGC - 1 alpha - / - mice under cell culture conditions containing BSA or BSA + 50 mu M oleate ( 2: 1 oleate / BSA ratio).	3H,0,2,Chemical	palmitate,5,14,Chemical	hepatocytes,45,56,Cell	PGC - 1 alpha,71,84,Gene_or_geneproduct	+,85,86,Sequence	+,89,90,Sequence	PGC - 1 alpha,95,108,Gene_or_geneproduct	mice,115,119,Organism	cell,126,130,Cell	BSA,161,164,Gene_or_geneproduct	BSA,168,171,Gene_or_geneproduct	oleate,182,188,Chemical	oleate,196,202,Chemical	BSA,205,208,Gene_or_geneproduct	"[{""token"": ""3H"", ""start_span"": 0, ""end_span"": 2, ""type"": ""Chemical""}, {""token"": ""palmitate"", ""start_span"": 5, ""end_span"": 14, ""type"": ""Chemical""}, {""token"": ""hepatocytes"", ""start_span"": 45, ""end_span"": 56, ""type"": ""Cell""}, {""token"": ""PGC - 1 alpha"", ""start_span"": 71, ""end_span"": 84, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 85, ""end_span"": 86, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 89, ""end_span"": 90, ""type"": ""Sequence""}, {""token"": ""PGC - 1 alpha"", ""start_span"": 95, ""end_span"": 108, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Organism""}, {""token"": ""cell"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Cell""}, {""token"": ""BSA"", ""start_span"": 161, ""end_span"": 164, ""type"": ""Gene_or_geneproduct""}, {""token"": ""BSA"", ""start_span"": 168, ""end_span"": 171, ""type"": ""Gene_or_geneproduct""}, {""token"": ""oleate"", ""start_span"": 182, ""end_span"": 188, ""type"": ""Chemical""}, {""token"": ""oleate"", ""start_span"": 196, ""end_span"": 202, ""type"": ""Chemical""}, {""token"": ""BSA"", ""start_span"": 205, ""end_span"": 208, ""type"": ""Gene_or_geneproduct""}]"	train
L - CPT I, liver - type carnitine palmitoyltransferase; MCAD, medium - chain acyl - CoA dehydrogenase; SREBP, sterol regulatory element binding protein; SCD, steroyl - CoA desaturase; FAS, fatty acid synthase; GPAT, glycerol - 3 - phosphate acyltransferase; DGAT, diacylglycerol acyltransferase	L - CPT I,0,9,Gene_or_geneproduct	liver - type carnitine palmitoyltransferase,11,54,Gene_or_geneproduct	MCAD,56,60,Gene_or_geneproduct	medium - chain acyl - CoA dehydrogenase,62,101,Gene_or_geneproduct	SREBP,103,108,Gene_or_geneproduct	sterol regulatory element binding protein,110,151,Gene_or_geneproduct	SCD,153,156,Gene_or_geneproduct	steroyl - CoA desaturase,158,182,Gene_or_geneproduct	FAS,184,187,Gene_or_geneproduct	fatty acid synthase,189,208,Gene_or_geneproduct	GPAT,210,214,Gene_or_geneproduct	glycerol - 3 - phosphate acyltransferase,216,256,Gene_or_geneproduct	DGAT,258,262,Gene_or_geneproduct	diacylglycerol acyltransferase,264,294,Gene_or_geneproduct	"[{""token"": ""L - CPT I"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Gene_or_geneproduct""}, {""token"": ""liver - type carnitine palmitoyltransferase"", ""start_span"": 11, ""end_span"": 54, ""type"": ""Gene_or_geneproduct""}, {""token"": ""MCAD"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Gene_or_geneproduct""}, {""token"": ""medium - chain acyl - CoA dehydrogenase"", ""start_span"": 62, ""end_span"": 101, ""type"": ""Gene_or_geneproduct""}, {""token"": ""SREBP"", ""start_span"": 103, ""end_span"": 108, ""type"": ""Gene_or_geneproduct""}, {""token"": ""sterol regulatory element binding protein"", ""start_span"": 110, ""end_span"": 151, ""type"": ""Gene_or_geneproduct""}, {""token"": ""SCD"", ""start_span"": 153, ""end_span"": 156, ""type"": ""Gene_or_geneproduct""}, {""token"": ""steroyl - CoA desaturase"", ""start_span"": 158, ""end_span"": 182, ""type"": ""Gene_or_geneproduct""}, {""token"": ""FAS"", ""start_span"": 184, ""end_span"": 187, ""type"": ""Gene_or_geneproduct""}, {""token"": ""fatty acid synthase"", ""start_span"": 189, ""end_span"": 208, ""type"": ""Gene_or_geneproduct""}, {""token"": ""GPAT"", ""start_span"": 210, ""end_span"": 214, ""type"": ""Gene_or_geneproduct""}, {""token"": ""glycerol - 3 - phosphate acyltransferase"", ""start_span"": 216, ""end_span"": 256, ""type"": ""Gene_or_geneproduct""}, {""token"": ""DGAT"", ""start_span"": 258, ""end_span"": 262, ""type"": ""Gene_or_geneproduct""}, {""token"": ""diacylglycerol acyltransferase"", ""start_span"": 264, ""end_span"": 294, ""type"": ""Gene_or_geneproduct""}]"	train
Calretinin and Calbindin, two different calcium - binding proteins expressed by subpopulations of DRG neurons in wild - type, Er81EWS - Pea3 / -, and TauEWS - Pea3 / + PVCre / + embryos ( Figure 7E, 7G, and 7H; data not shown) [ 31, 32], were induced in more than 95% of all DRG neurons of TauEWS - Pea3 / + Isl1Cre / + embryos ( Figures 7F and S5).	Calretinin,0,10,Gene_or_geneproduct	Calbindin,15,24,Gene_or_geneproduct	calcium,40,47,Chemical	proteins,58,66,Chemical	neurons,102,109,Cell	wild - type,113,124,Sequence	Pea3,136,140,Gene_or_geneproduct	Pea3,159,163,Gene_or_geneproduct	+,166,167,Sequence	+,176,177,Sequence	neurons,279,286,Cell	Pea3,299,303,Gene_or_geneproduct	+,306,307,Sequence	+,318,319,Sequence	"[{""token"": ""Calretinin"", ""start_span"": 0, ""end_span"": 10, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Calbindin"", ""start_span"": 15, ""end_span"": 24, ""type"": ""Gene_or_geneproduct""}, {""token"": ""calcium"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Chemical""}, {""token"": ""proteins"", ""start_span"": 58, ""end_span"": 66, ""type"": ""Chemical""}, {""token"": ""neurons"", ""start_span"": 102, ""end_span"": 109, ""type"": ""Cell""}, {""token"": ""wild - type"", ""start_span"": 113, ""end_span"": 124, ""type"": ""Sequence""}, {""token"": ""Pea3"", ""start_span"": 136, ""end_span"": 140, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Pea3"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 166, ""end_span"": 167, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 176, ""end_span"": 177, ""type"": ""Sequence""}, {""token"": ""neurons"", ""start_span"": 279, ""end_span"": 286, ""type"": ""Cell""}, {""token"": ""Pea3"", ""start_span"": 299, ""end_span"": 303, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 306, ""end_span"": 307, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 318, ""end_span"": 319, ""type"": ""Sequence""}]"	train
Because of the difficulty of distinguishing the MCAD - / - mutants from the MCAD + / - heterozygous pups by molecular analysis due to the insertion mutation, we could only compare MCAD + / + x MCAD + / + matings with MCAD - / - x MCAD - / - matings.	MCAD,48,52,Gene_or_geneproduct	mutants,59,66,Sequence	MCAD,76,80,Gene_or_geneproduct	+,81,82,Sequence	molecular,108,117,Chemical	insertion mutation,138,156,Sequence	MCAD,180,184,Gene_or_geneproduct	+,185,186,Sequence	+,189,190,Sequence	MCAD,193,197,Gene_or_geneproduct	+,198,199,Sequence	+,202,203,Sequence	MCAD,217,221,Gene_or_geneproduct	MCAD,230,234,Gene_or_geneproduct	"[{""token"": ""MCAD"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mutants"", ""start_span"": 59, ""end_span"": 66, ""type"": ""Sequence""}, {""token"": ""MCAD"", ""start_span"": 76, ""end_span"": 80, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 81, ""end_span"": 82, ""type"": ""Sequence""}, {""token"": ""molecular"", ""start_span"": 108, ""end_span"": 117, ""type"": ""Chemical""}, {""token"": ""insertion mutation"", ""start_span"": 138, ""end_span"": 156, ""type"": ""Sequence""}, {""token"": ""MCAD"", ""start_span"": 180, ""end_span"": 184, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 185, ""end_span"": 186, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 189, ""end_span"": 190, ""type"": ""Sequence""}, {""token"": ""MCAD"", ""start_span"": 193, ""end_span"": 197, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 198, ""end_span"": 199, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 202, ""end_span"": 203, ""type"": ""Sequence""}, {""token"": ""MCAD"", ""start_span"": 217, ""end_span"": 221, ""type"": ""Gene_or_geneproduct""}, {""token"": ""MCAD"", ""start_span"": 230, ""end_span"": 234, ""type"": ""Gene_or_geneproduct""}]"	train
In these crosses the ratios of Capn2 + / + to Capn2 + / - animals among males or females compared well with the ratio in the combined populations; 77% of males and 69% of females were Capn2 + / - when the mutant allele came from the mother, and 62% of males and 55% of females were Capn2 + / - when the mutant allele came from the father.	Capn2,31,36,Gene_or_geneproduct	+,37,38,Sequence	+,41,42,Sequence	Capn2,46,51,Gene_or_geneproduct	+,52,53,Sequence	animals,58,65,Organism	Capn2,184,189,Gene_or_geneproduct	+,190,191,Sequence	mutant,205,211,Sequence	allele,212,218,Sequence	Capn2,282,287,Gene_or_geneproduct	+,288,289,Sequence	mutant,303,309,Sequence	allele,310,316,Sequence	"[{""token"": ""Capn2"", ""start_span"": 31, ""end_span"": 36, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 37, ""end_span"": 38, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 41, ""end_span"": 42, ""type"": ""Sequence""}, {""token"": ""Capn2"", ""start_span"": 46, ""end_span"": 51, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 52, ""end_span"": 53, ""type"": ""Sequence""}, {""token"": ""animals"", ""start_span"": 58, ""end_span"": 65, ""type"": ""Organism""}, {""token"": ""Capn2"", ""start_span"": 184, ""end_span"": 189, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 190, ""end_span"": 191, ""type"": ""Sequence""}, {""token"": ""mutant"", ""start_span"": 205, ""end_span"": 211, ""type"": ""Sequence""}, {""token"": ""allele"", ""start_span"": 212, ""end_span"": 218, ""type"": ""Sequence""}, {""token"": ""Capn2"", ""start_span"": 282, ""end_span"": 287, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 288, ""end_span"": 289, ""type"": ""Sequence""}, {""token"": ""mutant"", ""start_span"": 303, ""end_span"": 309, ""type"": ""Sequence""}, {""token"": ""allele"", ""start_span"": 310, ""end_span"": 316, ""type"": ""Sequence""}]"	train
In the mutant allele, a PGK - Neo cassette replaces a 0. 8 - kb genomic fragment containing exon 7 ( grey rectangle) which encodes the active site asparagine residue ( Asn286) In the targeting vector, the PGK - Neo cassette is flanked by 2. 7 - kb of Capn2 homologous sequence in the upstream ( short) arm and 7. 9 - kb of homology in the downstream ( long) arm.	mutant,7,13,Sequence	allele,14,20,Sequence	cassette,34,42,Sequence	replaces,43,51,Sequence	genomic,64,71,Sequence	fragment,72,80,Sequence	exon,92,96,Sequence	active site,135,146,Sequence	asparagine residue,147,165,Chemical	vector,193,199,Sequence	cassette,215,223,Sequence	flanked,227,234,Sequence	Capn2,251,256,Gene_or_geneproduct	sequence,268,276,Sequence	"[{""token"": ""mutant"", ""start_span"": 7, ""end_span"": 13, ""type"": ""Sequence""}, {""token"": ""allele"", ""start_span"": 14, ""end_span"": 20, ""type"": ""Sequence""}, {""token"": ""cassette"", ""start_span"": 34, ""end_span"": 42, ""type"": ""Sequence""}, {""token"": ""replaces"", ""start_span"": 43, ""end_span"": 51, ""type"": ""Sequence""}, {""token"": ""genomic"", ""start_span"": 64, ""end_span"": 71, ""type"": ""Sequence""}, {""token"": ""fragment"", ""start_span"": 72, ""end_span"": 80, ""type"": ""Sequence""}, {""token"": ""exon"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Sequence""}, {""token"": ""active site"", ""start_span"": 135, ""end_span"": 146, ""type"": ""Sequence""}, {""token"": ""asparagine residue"", ""start_span"": 147, ""end_span"": 165, ""type"": ""Chemical""}, {""token"": ""vector"", ""start_span"": 193, ""end_span"": 199, ""type"": ""Sequence""}, {""token"": ""cassette"", ""start_span"": 215, ""end_span"": 223, ""type"": ""Sequence""}, {""token"": ""flanked"", ""start_span"": 227, ""end_span"": 234, ""type"": ""Sequence""}, {""token"": ""Capn2"", ""start_span"": 251, ""end_span"": 256, ""type"": ""Gene_or_geneproduct""}, {""token"": ""sequence"", ""start_span"": 268, ""end_span"": 276, ""type"": ""Sequence""}]"	train
