To date, there are very few reports describing species - specific splice variants.	"splice variants	66	81	Sequence"	"[{""token"": ""splice variants"", ""start_span"": 66, ""end_span"": 81, ""type"": ""Sequence""}]"
Patients with MLIV do not show mucopolysaccharide excretion, skeletal changes, or organomegaly like the other mucolipidoses.	"mucopolysaccharide	31	49	Chemical"	"[{""token"": ""mucopolysaccharide"", ""start_span"": 31, ""end_span"": 49, ""type"": ""Chemical""}]"
A recent report estimates that the carrier frequency of MLIV in the Ashkenazi Jewish population is 1 in 100, and mutations have been reported in Jewish and non - Jewish families [ 6 - 9].	"mutations	113	122	Sequence"	"[{""token"": ""mutations"", ""start_span"": 113, ""end_span"": 122, ""type"": ""Sequence""}]"
Recent work in Caenorhabditis elegans supports this hypothesis.	"Caenorhabditis elegans	15	37	Organism"	"[{""token"": ""Caenorhabditis elegans"", ""start_span"": 15, ""end_span"": 37, ""type"": ""Organism""}]"
Three clones ( ID Nos. 604971, 1228665, 1247566) from the UniGene cluster Mm.	"clones	6	12	Sequence"	"[{""token"": ""clones"", ""start_span"": 6, ""end_span"": 12, ""type"": ""Sequence""}]"
Characterization of Mcoln1	"Mcoln1	20	26	Gene_or_geneproduct"	"[{""token"": ""Mcoln1"", ""start_span"": 20, ""end_span"": 26, ""type"": ""Gene_or_geneproduct""}]"
Expression analysis of Mcoln1	"Mcoln1	23	29	Gene_or_geneproduct"	"[{""token"": ""Mcoln1"", ""start_span"": 23, ""end_span"": 29, ""type"": ""Gene_or_geneproduct""}]"
The fetal tissue blot shows decreasing levels of the 2. 4 kb message with increasing gestational age.	"message	61	68	Sequence"	"[{""token"": ""message"", ""start_span"": 61, ""end_span"": 68, ""type"": ""Sequence""}]"
Northern analysis of Mcoln1.	"Mcoln1	21	27	Gene_or_geneproduct"	"[{""token"": ""Mcoln1"", ""start_span"": 21, ""end_span"": 27, ""type"": ""Gene_or_geneproduct""}]"
beta - Actin control hybridization is shown below each blot.	"beta - Actin	0	12	Gene_or_geneproduct"	"[{""token"": ""beta - Actin"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Gene_or_geneproduct""}]"
The green box surrounds the divergent c - terminal cytoplasmic tails.	"c - terminal cytoplasmic tails	38	68	Sequence"	"[{""token"": ""c - terminal cytoplasmic tails"", ""start_span"": 38, ""end_span"": 68, ""type"": ""Sequence""}]"
This apparent disparity suggests a major role for alternative splicing in creating genetic complexity, and has brought the study of splicing regulation to the forefront of molecular genetics.	"genetic	83	90	Sequence"	"[{""token"": ""genetic"", ""start_span"": 83, ""end_span"": 90, ""type"": ""Sequence""}]"
