Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	entity_12	entity_13	entity_14	entity_15	json	split
RT - PCR of Cln3 mRNA in wild - type and homozygous CbCln3 Delta ex7 / 8 cells Cln3 Exon1 - forward, Exon 15 - reverse RT - PCR products are shown, from total wild - type ( + / +) or homozygous mutant ( Delta ex7 / 8 / Delta ex7 / 8) brain and cell line RNA.	Cln3,12,16,Gene_or_geneproduct	mRNA,17,21,Chemical	wild - type,25,36,Sequence	cells,73,78,Cell	Cln3,79,83,Gene_or_geneproduct	forward,92,99,Sequence	Exon,101,105,Sequence	reverse,111,118,Sequence	PCR products,124,136,Sequence	wild - type,159,170,Sequence	+,173,174,Sequence	+,177,178,Sequence	mutant,194,200,Sequence	cell,244,248,Cell	RNA,254,257,Sequence	"[{""token"": ""Cln3"", ""start_span"": 12, ""end_span"": 16, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mRNA"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Chemical""}, {""token"": ""wild - type"", ""start_span"": 25, ""end_span"": 36, ""type"": ""Sequence""}, {""token"": ""cells"", ""start_span"": 73, ""end_span"": 78, ""type"": ""Cell""}, {""token"": ""Cln3"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Gene_or_geneproduct""}, {""token"": ""forward"", ""start_span"": 92, ""end_span"": 99, ""type"": ""Sequence""}, {""token"": ""Exon"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Sequence""}, {""token"": ""reverse"", ""start_span"": 111, ""end_span"": 118, ""type"": ""Sequence""}, {""token"": ""PCR products"", ""start_span"": 124, ""end_span"": 136, ""type"": ""Sequence""}, {""token"": ""wild - type"", ""start_span"": 159, ""end_span"": 170, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 173, ""end_span"": 174, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 177, ""end_span"": 178, ""type"": ""Sequence""}, {""token"": ""mutant"", ""start_span"": 194, ""end_span"": 200, ""type"": ""Sequence""}, {""token"": ""cell"", ""start_span"": 244, ""end_span"": 248, ""type"": ""Cell""}, {""token"": ""RNA"", ""start_span"": 254, ""end_span"": 257, ""type"": ""Sequence""}]"	train
These findings prompted us to analyze mice in which we integrated EWS - Pea3, a break - point fusion product between the amino - terminal domain of the Ewing sarcoma ( EWS) gene and the Pea3 DNA binding domain [ 20, 21], into the Er81 locus ( Figure 1).	mice,38,42,Organism	integrated,55,65,Sequence	EWS,66,69,Gene_or_geneproduct	Pea3,72,76,Gene_or_geneproduct	break - point,80,93,Sequence	fusion,94,100,Sequence	amino - terminal domain,121,144,Sequence	Ewing sarcoma,152,165,Gene_or_geneproduct	EWS,168,171,Gene_or_geneproduct	gene,173,177,Sequence	Pea3,186,190,Gene_or_geneproduct	DNA,191,194,Sequence	domain,203,209,Sequence	Er81,230,234,Gene_or_geneproduct	locus,235,240,Sequence	"[{""token"": ""mice"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Organism""}, {""token"": ""integrated"", ""start_span"": 55, ""end_span"": 65, ""type"": ""Sequence""}, {""token"": ""EWS"", ""start_span"": 66, ""end_span"": 69, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Pea3"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Gene_or_geneproduct""}, {""token"": ""break - point"", ""start_span"": 80, ""end_span"": 93, ""type"": ""Sequence""}, {""token"": ""fusion"", ""start_span"": 94, ""end_span"": 100, ""type"": ""Sequence""}, {""token"": ""amino - terminal domain"", ""start_span"": 121, ""end_span"": 144, ""type"": ""Sequence""}, {""token"": ""Ewing sarcoma"", ""start_span"": 152, ""end_span"": 165, ""type"": ""Gene_or_geneproduct""}, {""token"": ""EWS"", ""start_span"": 168, ""end_span"": 171, ""type"": ""Gene_or_geneproduct""}, {""token"": ""gene"", ""start_span"": 173, ""end_span"": 177, ""type"": ""Sequence""}, {""token"": ""Pea3"", ""start_span"": 186, ""end_span"": 190, ""type"": ""Gene_or_geneproduct""}, {""token"": ""DNA"", ""start_span"": 191, ""end_span"": 194, ""type"": ""Sequence""}, {""token"": ""domain"", ""start_span"": 203, ""end_span"": 209, ""type"": ""Sequence""}, {""token"": ""Er81"", ""start_span"": 230, ""end_span"": 234, ""type"": ""Gene_or_geneproduct""}, {""token"": ""locus"", ""start_span"": 235, ""end_span"": 240, ""type"": ""Sequence""}]"	train
Also near the identified markers are a number of QTL associated with body weight: Cfbw1, CF mouse body weight at chr. 1, 85 cM; Obq9, obesity 9 at chr. 1, 88 cM; Bw8q1, body weight 8 at chr. 1, 100 cM; Lbm6, lean body mass 6 at chr. 9, 7. 7 cM; Bwtq4, body weight 4 at chr. 9, 8 cM; Bgeq8, body growth early 8 at chr. 10, 57 cM; and Pbwg5, postnatal body weight growth 5 at chr. 10, 68 cM.	QTL,49,52,Sequence	Cfbw1,82,87,Gene_or_geneproduct	CF mouse body weight,89,109,Gene_or_geneproduct	Obq9,128,132,Gene_or_geneproduct	obesity 9,134,143,Gene_or_geneproduct	Bw8q1,162,167,Gene_or_geneproduct	body weight 8,169,182,Gene_or_geneproduct	Lbm6,202,206,Gene_or_geneproduct	lean body mass 6,208,224,Gene_or_geneproduct	Bwtq4,245,250,Gene_or_geneproduct	body weight 4,252,265,Gene_or_geneproduct	Bgeq8,283,288,Gene_or_geneproduct	body growth early 8,290,309,Gene_or_geneproduct	Pbwg5,333,338,Gene_or_geneproduct	postnatal body weight growth 5,340,370,Gene_or_geneproduct	"[{""token"": ""QTL"", ""start_span"": 49, ""end_span"": 52, ""type"": ""Sequence""}, {""token"": ""Cfbw1"", ""start_span"": 82, ""end_span"": 87, ""type"": ""Gene_or_geneproduct""}, {""token"": ""CF mouse body weight"", ""start_span"": 89, ""end_span"": 109, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Obq9"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Gene_or_geneproduct""}, {""token"": ""obesity 9"", ""start_span"": 134, ""end_span"": 143, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Bw8q1"", ""start_span"": 162, ""end_span"": 167, ""type"": ""Gene_or_geneproduct""}, {""token"": ""body weight 8"", ""start_span"": 169, ""end_span"": 182, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Lbm6"", ""start_span"": 202, ""end_span"": 206, ""type"": ""Gene_or_geneproduct""}, {""token"": ""lean body mass 6"", ""start_span"": 208, ""end_span"": 224, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Bwtq4"", ""start_span"": 245, ""end_span"": 250, ""type"": ""Gene_or_geneproduct""}, {""token"": ""body weight 4"", ""start_span"": 252, ""end_span"": 265, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Bgeq8"", ""start_span"": 283, ""end_span"": 288, ""type"": ""Gene_or_geneproduct""}, {""token"": ""body growth early 8"", ""start_span"": 290, ""end_span"": 309, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Pbwg5"", ""start_span"": 333, ""end_span"": 338, ""type"": ""Gene_or_geneproduct""}, {""token"": ""postnatal body weight growth 5"", ""start_span"": 340, ""end_span"": 370, ""type"": ""Gene_or_geneproduct""}]"	train
If one ( or more) Tas2rs underlie the chromosome 6 QHCl taste sensitivity QTL, we would predict that one ( or more) Tas2r genes would exhibit one of three likely characteristics: ( 1) A Tas2r allele is a pseudogene, or is deleted, in D2 ( QHCL - insensitive), but not B6 ( QHCl - sensitive), mice; ( 2) Missense mutations in the single coding exon of a D2 Tas2r allele impact protein functions such as ligand binding or receptor coupling to downstream signaling cascades; ( 3) Mutations in noncoding or regulatory regions of a D2 Tas2r allele affects expression of the protein product.	chromosome,38,48,GO_ontology	QTL,74,77,Sequence	genes,122,127,Sequence	allele,192,198,Sequence	pseudogene,204,214,Sequence	deleted,222,229,Sequence	mice,292,296,Organism	mutations,312,321,Sequence	coding exon,336,347,Sequence	allele,362,368,Sequence	protein,376,383,Chemical	Mutations,477,486,Sequence	regulatory regions,503,521,Sequence	allele,536,542,Sequence	protein product,569,584,Chemical	"[{""token"": ""chromosome"", ""start_span"": 38, ""end_span"": 48, ""type"": ""GO_ontology""}, {""token"": ""QTL"", ""start_span"": 74, ""end_span"": 77, ""type"": ""Sequence""}, {""token"": ""genes"", ""start_span"": 122, ""end_span"": 127, ""type"": ""Sequence""}, {""token"": ""allele"", ""start_span"": 192, ""end_span"": 198, ""type"": ""Sequence""}, {""token"": ""pseudogene"", ""start_span"": 204, ""end_span"": 214, ""type"": ""Sequence""}, {""token"": ""deleted"", ""start_span"": 222, ""end_span"": 229, ""type"": ""Sequence""}, {""token"": ""mice"", ""start_span"": 292, ""end_span"": 296, ""type"": ""Organism""}, {""token"": ""mutations"", ""start_span"": 312, ""end_span"": 321, ""type"": ""Sequence""}, {""token"": ""coding exon"", ""start_span"": 336, ""end_span"": 347, ""type"": ""Sequence""}, {""token"": ""allele"", ""start_span"": 362, ""end_span"": 368, ""type"": ""Sequence""}, {""token"": ""protein"", ""start_span"": 376, ""end_span"": 383, ""type"": ""Chemical""}, {""token"": ""Mutations"", ""start_span"": 477, ""end_span"": 486, ""type"": ""Sequence""}, {""token"": ""regulatory regions"", ""start_span"": 503, ""end_span"": 521, ""type"": ""Sequence""}, {""token"": ""allele"", ""start_span"": 536, ""end_span"": 542, ""type"": ""Sequence""}, {""token"": ""protein product"", ""start_span"": 569, ""end_span"": 584, ""type"": ""Chemical""}]"	train
PAX6PST, PAX6 PST domain; PAX6PST / Q422R, PAX6 PST domain with the Q422R mutation; PAX6PST / X423L, PAX6 PST domain with the X423L mutation, PAX6PST / 1615del10, PAX6 PST domain with the 1615 del10 mutation; PAX6PST - CT, PAX6 PST domain minus the C - terminal peptide.	PAX6,0,4,Gene_or_geneproduct	domain,18,24,Sequence	PAX6,26,30,Gene_or_geneproduct	domain,52,58,Sequence	mutation,74,82,Sequence	PAX6,84,88,Gene_or_geneproduct	domain,110,116,Sequence	mutation,132,140,Sequence	PAX6,142,146,Gene_or_geneproduct	domain,172,178,Sequence	mutation,199,207,Sequence	PAX6,209,213,Gene_or_geneproduct	domain,232,238,Sequence	C - terminal,249,261,Sequence	peptide,262,269,Sequence	"[{""token"": ""PAX6"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_geneproduct""}, {""token"": ""domain"", ""start_span"": 18, ""end_span"": 24, ""type"": ""Sequence""}, {""token"": ""PAX6"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Gene_or_geneproduct""}, {""token"": ""domain"", ""start_span"": 52, ""end_span"": 58, ""type"": ""Sequence""}, {""token"": ""mutation"", ""start_span"": 74, ""end_span"": 82, ""type"": ""Sequence""}, {""token"": ""PAX6"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Gene_or_geneproduct""}, {""token"": ""domain"", ""start_span"": 110, ""end_span"": 116, ""type"": ""Sequence""}, {""token"": ""mutation"", ""start_span"": 132, ""end_span"": 140, ""type"": ""Sequence""}, {""token"": ""PAX6"", ""start_span"": 142, ""end_span"": 146, ""type"": ""Gene_or_geneproduct""}, {""token"": ""domain"", ""start_span"": 172, ""end_span"": 178, ""type"": ""Sequence""}, {""token"": ""mutation"", ""start_span"": 199, ""end_span"": 207, ""type"": ""Sequence""}, {""token"": ""PAX6"", ""start_span"": 209, ""end_span"": 213, ""type"": ""Gene_or_geneproduct""}, {""token"": ""domain"", ""start_span"": 232, ""end_span"": 238, ""type"": ""Sequence""}, {""token"": ""C - terminal"", ""start_span"": 249, ""end_span"": 261, ""type"": ""Sequence""}, {""token"": ""peptide"", ""start_span"": 262, ""end_span"": 269, ""type"": ""Sequence""}]"	train
In library screens, HOMER3 and DNCL1 interacted with the C - terminal peptide and the PST domain while TRIM11 interacted only with the PST domain, suggesting that HOMER3 and DNCL1 specifically interact with the C - terminal peptide while TRIM11 interacts with a more N - terminal part of the PST domain.	HOMER3,20,26,Gene_or_geneproduct	DNCL1,31,36,Gene_or_geneproduct	C - terminal,57,69,Sequence	peptide,70,77,Sequence	domain,90,96,Sequence	TRIM11,103,109,Gene_or_geneproduct	domain,139,145,Sequence	HOMER3,163,169,Gene_or_geneproduct	DNCL1,174,179,Gene_or_geneproduct	C - terminal,211,223,Sequence	peptide,224,231,Sequence	TRIM11,238,244,Gene_or_geneproduct	N - terminal,267,279,Sequence	part,280,284,Sequence	domain,296,302,Sequence	"[{""token"": ""HOMER3"", ""start_span"": 20, ""end_span"": 26, ""type"": ""Gene_or_geneproduct""}, {""token"": ""DNCL1"", ""start_span"": 31, ""end_span"": 36, ""type"": ""Gene_or_geneproduct""}, {""token"": ""C - terminal"", ""start_span"": 57, ""end_span"": 69, ""type"": ""Sequence""}, {""token"": ""peptide"", ""start_span"": 70, ""end_span"": 77, ""type"": ""Sequence""}, {""token"": ""domain"", ""start_span"": 90, ""end_span"": 96, ""type"": ""Sequence""}, {""token"": ""TRIM11"", ""start_span"": 103, ""end_span"": 109, ""type"": ""Gene_or_geneproduct""}, {""token"": ""domain"", ""start_span"": 139, ""end_span"": 145, ""type"": ""Sequence""}, {""token"": ""HOMER3"", ""start_span"": 163, ""end_span"": 169, ""type"": ""Gene_or_geneproduct""}, {""token"": ""DNCL1"", ""start_span"": 174, ""end_span"": 179, ""type"": ""Gene_or_geneproduct""}, {""token"": ""C - terminal"", ""start_span"": 211, ""end_span"": 223, ""type"": ""Sequence""}, {""token"": ""peptide"", ""start_span"": 224, ""end_span"": 231, ""type"": ""Sequence""}, {""token"": ""TRIM11"", ""start_span"": 238, ""end_span"": 244, ""type"": ""Gene_or_geneproduct""}, {""token"": ""N - terminal"", ""start_span"": 267, ""end_span"": 279, ""type"": ""Sequence""}, {""token"": ""part"", ""start_span"": 280, ""end_span"": 284, ""type"": ""Sequence""}, {""token"": ""domain"", ""start_span"": 296, ""end_span"": 302, ""type"": ""Sequence""}]"	train
RT - PCR amplification from exon 7 to 11 from total heart RNA amplified the expected 600 - base pair ( bp) fragment in MCAD + / + and MCAD + / - mice, and a 1. 5 - kb fragment in MCAD - / - mice ( data not shown).	exon,28,32,Sequence	RNA,58,61,Sequence	expected,76,84,Sequence	base pair,91,100,Sequence	bp,103,105,Sequence	fragment,107,115,Sequence	MCAD,119,123,Gene_or_geneproduct	+,124,125,Sequence	+,128,129,Sequence	MCAD,134,138,Gene_or_geneproduct	+,139,140,Sequence	mice,145,149,Organism	fragment,167,175,Sequence	MCAD,179,183,Gene_or_geneproduct	mice,190,194,Organism	"[{""token"": ""exon"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Sequence""}, {""token"": ""RNA"", ""start_span"": 58, ""end_span"": 61, ""type"": ""Sequence""}, {""token"": ""expected"", ""start_span"": 76, ""end_span"": 84, ""type"": ""Sequence""}, {""token"": ""base pair"", ""start_span"": 91, ""end_span"": 100, ""type"": ""Sequence""}, {""token"": ""bp"", ""start_span"": 103, ""end_span"": 105, ""type"": ""Sequence""}, {""token"": ""fragment"", ""start_span"": 107, ""end_span"": 115, ""type"": ""Sequence""}, {""token"": ""MCAD"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 124, ""end_span"": 125, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 128, ""end_span"": 129, ""type"": ""Sequence""}, {""token"": ""MCAD"", ""start_span"": 134, ""end_span"": 138, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 139, ""end_span"": 140, ""type"": ""Sequence""}, {""token"": ""mice"", ""start_span"": 145, ""end_span"": 149, ""type"": ""Organism""}, {""token"": ""fragment"", ""start_span"": 167, ""end_span"": 175, ""type"": ""Sequence""}, {""token"": ""MCAD"", ""start_span"": 179, ""end_span"": 183, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 190, ""end_span"": 194, ""type"": ""Organism""}]"	train
By comparing the sequence of a 1. 3 kb junction fragment amplified from deH / deH genomic DNA to publicly available mouse genome sequence, we identified a 216 kb deletion that extends from Tbx15 intron 1 to 148 kb downstream of the polyadenylation sequence in a region annotated as a mannose - 6 - phosphate receptor pseudogene, M6pr - ps ( Figure 3B and 3C).	sequence,17,25,Sequence	junction,39,47,Sequence	fragment,48,56,Sequence	genomic DNA,82,93,Sequence	mouse,116,121,Organism	genome sequence,122,137,Sequence	deletion,162,170,Sequence	Tbx15,189,194,Gene_or_geneproduct	intron,195,201,Sequence	polyadenylation sequence,232,256,Sequence	region,262,268,Sequence	mannose - 6 - phosphate receptor,284,316,Gene_or_geneproduct	pseudogene,317,327,Sequence	M6pr,329,333,Gene_or_geneproduct	ps,336,338,Sequence	"[{""token"": ""sequence"", ""start_span"": 17, ""end_span"": 25, ""type"": ""Sequence""}, {""token"": ""junction"", ""start_span"": 39, ""end_span"": 47, ""type"": ""Sequence""}, {""token"": ""fragment"", ""start_span"": 48, ""end_span"": 56, ""type"": ""Sequence""}, {""token"": ""genomic DNA"", ""start_span"": 82, ""end_span"": 93, ""type"": ""Sequence""}, {""token"": ""mouse"", ""start_span"": 116, ""end_span"": 121, ""type"": ""Organism""}, {""token"": ""genome sequence"", ""start_span"": 122, ""end_span"": 137, ""type"": ""Sequence""}, {""token"": ""deletion"", ""start_span"": 162, ""end_span"": 170, ""type"": ""Sequence""}, {""token"": ""Tbx15"", ""start_span"": 189, ""end_span"": 194, ""type"": ""Gene_or_geneproduct""}, {""token"": ""intron"", ""start_span"": 195, ""end_span"": 201, ""type"": ""Sequence""}, {""token"": ""polyadenylation sequence"", ""start_span"": 232, ""end_span"": 256, ""type"": ""Sequence""}, {""token"": ""region"", ""start_span"": 262, ""end_span"": 268, ""type"": ""Sequence""}, {""token"": ""mannose - 6 - phosphate receptor"", ""start_span"": 284, ""end_span"": 316, ""type"": ""Gene_or_geneproduct""}, {""token"": ""pseudogene"", ""start_span"": 317, ""end_span"": 327, ""type"": ""Sequence""}, {""token"": ""M6pr"", ""start_span"": 329, ""end_span"": 333, ""type"": ""Gene_or_geneproduct""}, {""token"": ""ps"", ""start_span"": 336, ""end_span"": 338, ""type"": ""Sequence""}]"	valid
These proteins bridge ceTAC to other elements of the cytoskeleton and microtubule network, as well as to components of the ribosome, the histone deacetylase chromatin remodeling machinery such as egr - 1 and lin - 53 ( the C. elegans homologues of the human MTA - 1 and RbAP48), and to transcription factors such as the PAL1 homeobox and the nuclear hormone receptor nhr - 86 [ 28] ( Fig. 6A).	proteins,6,14,Chemical	ceTAC,22,27,Gene_or_geneproduct	cytoskeleton,53,65,GO_ontology	microtubule,70,81,GO_ontology	ribosome,123,131,GO_ontology	histone,137,144,Chemical	chromatin,157,166,GO_ontology	egr - 1,196,203,Gene_or_geneproduct	lin - 53,208,216,Gene_or_geneproduct	homologues,234,244,Sequence	human MTA - 1 and RbAP48,252,276,Gene_or_geneproduct	PAL1,320,324,Gene_or_geneproduct	nuclear,342,349,GO_ontology	hormone,350,357,Chemical	nhr - 86,367,375,Gene_or_geneproduct	"[{""token"": ""proteins"", ""start_span"": 6, ""end_span"": 14, ""type"": ""Chemical""}, {""token"": ""ceTAC"", ""start_span"": 22, ""end_span"": 27, ""type"": ""Gene_or_geneproduct""}, {""token"": ""cytoskeleton"", ""start_span"": 53, ""end_span"": 65, ""type"": ""GO_ontology""}, {""token"": ""microtubule"", ""start_span"": 70, ""end_span"": 81, ""type"": ""GO_ontology""}, {""token"": ""ribosome"", ""start_span"": 123, ""end_span"": 131, ""type"": ""GO_ontology""}, {""token"": ""histone"", ""start_span"": 137, ""end_span"": 144, ""type"": ""Chemical""}, {""token"": ""chromatin"", ""start_span"": 157, ""end_span"": 166, ""type"": ""GO_ontology""}, {""token"": ""egr - 1"", ""start_span"": 196, ""end_span"": 203, ""type"": ""Gene_or_geneproduct""}, {""token"": ""lin - 53"", ""start_span"": 208, ""end_span"": 216, ""type"": ""Gene_or_geneproduct""}, {""token"": ""homologues"", ""start_span"": 234, ""end_span"": 244, ""type"": ""Sequence""}, {""token"": ""human MTA - 1 and RbAP48"", ""start_span"": 252, ""end_span"": 276, ""type"": ""Gene_or_geneproduct""}, {""token"": ""PAL1"", ""start_span"": 320, ""end_span"": 324, ""type"": ""Gene_or_geneproduct""}, {""token"": ""nuclear"", ""start_span"": 342, ""end_span"": 349, ""type"": ""GO_ontology""}, {""token"": ""hormone"", ""start_span"": 350, ""end_span"": 357, ""type"": ""Chemical""}, {""token"": ""nhr - 86"", ""start_span"": 367, ""end_span"": 375, ""type"": ""Gene_or_geneproduct""}]"	valid
The abbreviations used are: MSUD, Maple Syrup Urine Disease; BCKDH, branched chain ketoacid dehydrogenase; BCAA, branched chain amino acids; ENU, N - ethyl - N - nitrosourea; BCAT, branched chain aminotransferase; ES cell, embryonic stem cell; TRE, tetracycline responsive element; MEF, mouse embryonic fibroblast.	Maple,34,39,Organism	BCKDH,61,66,GO_ontology	branched chain ketoacid dehydrogenase,68,105,GO_ontology	BCAA,107,111,Chemical	branched chain amino acids,113,139,Chemical	ENU,141,144,Chemical	N - ethyl - N - nitrosourea,146,173,Chemical	BCAT,175,179,Gene_or_geneproduct	branched chain aminotransferase,181,212,Gene_or_geneproduct	cell,217,221,Cell	stem cell,233,242,Cell	tetracycline,249,261,Chemical	element,273,280,Sequence	mouse,287,292,Organism	fibroblast,303,313,Cell	"[{""token"": ""Maple"", ""start_span"": 34, ""end_span"": 39, ""type"": ""Organism""}, {""token"": ""BCKDH"", ""start_span"": 61, ""end_span"": 66, ""type"": ""GO_ontology""}, {""token"": ""branched chain ketoacid dehydrogenase"", ""start_span"": 68, ""end_span"": 105, ""type"": ""GO_ontology""}, {""token"": ""BCAA"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Chemical""}, {""token"": ""branched chain amino acids"", ""start_span"": 113, ""end_span"": 139, ""type"": ""Chemical""}, {""token"": ""ENU"", ""start_span"": 141, ""end_span"": 144, ""type"": ""Chemical""}, {""token"": ""N - ethyl - N - nitrosourea"", ""start_span"": 146, ""end_span"": 173, ""type"": ""Chemical""}, {""token"": ""BCAT"", ""start_span"": 175, ""end_span"": 179, ""type"": ""Gene_or_geneproduct""}, {""token"": ""branched chain aminotransferase"", ""start_span"": 181, ""end_span"": 212, ""type"": ""Gene_or_geneproduct""}, {""token"": ""cell"", ""start_span"": 217, ""end_span"": 221, ""type"": ""Cell""}, {""token"": ""stem cell"", ""start_span"": 233, ""end_span"": 242, ""type"": ""Cell""}, {""token"": ""tetracycline"", ""start_span"": 249, ""end_span"": 261, ""type"": ""Chemical""}, {""token"": ""element"", ""start_span"": 273, ""end_span"": 280, ""type"": ""Sequence""}, {""token"": ""mouse"", ""start_span"": 287, ""end_span"": 292, ""type"": ""Organism""}, {""token"": ""fibroblast"", ""start_span"": 303, ""end_span"": 313, ""type"": ""Cell""}]"	valid
