To assign cDNAs to their corresponding olfactory receptor genes, we first defined a genomic ' territory ' for each gene, with the following attributes: strand, start position ( 100 kb upstream of the start codon or 1 kb after the previous gene upstream on the same strand, whichever is closer) and end position ( 1 kb downstream of the stop codon).	"cDNAs	10	15	Sequence"	"genes	58	63	Sequence"	"genomic ' territory	84	103	Sequence"	"gene	115	119	Sequence"	"strand	152	158	Sequence"	"position	166	174	Sequence"	"start codon	200	211	Sequence"	"gene	239	243	Sequence"	"strand	265	271	Sequence"	"position	302	310	Sequence"	"stop codon	336	346	Sequence"	"[{""token"": ""cDNAs"", ""start_span"": 10, ""end_span"": 15, ""type"": ""Sequence""}, {""token"": ""genes"", ""start_span"": 58, ""end_span"": 63, ""type"": ""Sequence""}, {""token"": ""genomic ' territory"", ""start_span"": 84, ""end_span"": 103, ""type"": ""Sequence""}, {""token"": ""gene"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Sequence""}, {""token"": ""strand"", ""start_span"": 152, ""end_span"": 158, ""type"": ""Sequence""}, {""token"": ""position"", ""start_span"": 166, ""end_span"": 174, ""type"": ""Sequence""}, {""token"": ""start codon"", ""start_span"": 200, ""end_span"": 211, ""type"": ""Sequence""}, {""token"": ""gene"", ""start_span"": 239, ""end_span"": 243, ""type"": ""Sequence""}, {""token"": ""strand"", ""start_span"": 265, ""end_span"": 271, ""type"": ""Sequence""}, {""token"": ""position"", ""start_span"": 302, ""end_span"": 310, ""type"": ""Sequence""}, {""token"": ""stop codon"", ""start_span"": 336, ""end_span"": 346, ""type"": ""Sequence""}]"
These included: cDNAs where the insert appeared to be cloned in the reverse orientation ( six cDNAs); sequences from recently duplicated gene pairs, where sim4 assigned coding region and upstream exons to different members of the pair, although exons could equally well have been aligned closer to one another ( six cDNAs); and artifacts due to use of sim4 ' s N = 1 parameter ( nine cDNAs).	"cDNAs	16	21	Sequence"	"insert	32	38	Sequence"	"reverse	68	75	Sequence"	"cDNAs	94	99	Sequence"	"sequences	102	111	Sequence"	"gene	137	141	Sequence"	"coding region	169	182	Sequence"	"exons	196	201	Sequence"	"exons	245	250	Sequence"	"cDNAs	316	321	Sequence"	"cDNAs	384	389	Sequence"	"[{""token"": ""cDNAs"", ""start_span"": 16, ""end_span"": 21, ""type"": ""Sequence""}, {""token"": ""insert"", ""start_span"": 32, ""end_span"": 38, ""type"": ""Sequence""}, {""token"": ""reverse"", ""start_span"": 68, ""end_span"": 75, ""type"": ""Sequence""}, {""token"": ""cDNAs"", ""start_span"": 94, ""end_span"": 99, ""type"": ""Sequence""}, {""token"": ""sequences"", ""start_span"": 102, ""end_span"": 111, ""type"": ""Sequence""}, {""token"": ""gene"", ""start_span"": 137, ""end_span"": 141, ""type"": ""Sequence""}, {""token"": ""coding region"", ""start_span"": 169, ""end_span"": 182, ""type"": ""Sequence""}, {""token"": ""exons"", ""start_span"": 196, ""end_span"": 201, ""type"": ""Sequence""}, {""token"": ""exons"", ""start_span"": 245, ""end_span"": 250, ""type"": ""Sequence""}, {""token"": ""cDNAs"", ""start_span"": 316, ""end_span"": 321, ""type"": ""Sequence""}, {""token"": ""cDNAs"", ""start_span"": 384, ""end_span"": 389, ""type"": ""Sequence""}]"
The other three Acdp genes ( Acdp2, 3 and 4) contain 3, 244 bp, 2, 684 bp and 2, 743 bp of cDNA sequences, and encode deduced proteins of 874 amino acids, 713 amino acids and 771 amino acids, respectively.	"genes	21	26	Sequence"	"Acdp2	29	34	Gene_or_geneproduct"	"bp	60	62	Sequence"	"bp	71	73	Sequence"	"bp	85	87	Sequence"	"cDNA sequences	91	105	Sequence"	"deduced	118	125	Sequence"	"proteins	126	134	Chemical"	"amino acids	142	153	Chemical"	"amino acids	159	170	Chemical"	"amino acids	179	190	Chemical"	"[{""token"": ""genes"", ""start_span"": 21, ""end_span"": 26, ""type"": ""Sequence""}, {""token"": ""Acdp2"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Gene_or_geneproduct""}, {""token"": ""bp"", ""start_span"": 60, ""end_span"": 62, ""type"": ""Sequence""}, {""token"": ""bp"", ""start_span"": 71, ""end_span"": 73, ""type"": ""Sequence""}, {""token"": ""bp"", ""start_span"": 85, ""end_span"": 87, ""type"": ""Sequence""}, {""token"": ""cDNA sequences"", ""start_span"": 91, ""end_span"": 105, ""type"": ""Sequence""}, {""token"": ""deduced"", ""start_span"": 118, ""end_span"": 125, ""type"": ""Sequence""}, {""token"": ""proteins"", ""start_span"": 126, ""end_span"": 134, ""type"": ""Chemical""}, {""token"": ""amino acids"", ""start_span"": 142, ""end_span"": 153, ""type"": ""Chemical""}, {""token"": ""amino acids"", ""start_span"": 159, ""end_span"": 170, ""type"": ""Chemical""}, {""token"": ""amino acids"", ""start_span"": 179, ""end_span"": 190, ""type"": ""Chemical""}]"
In addition, the 5 ' UTR nucleotide sequences ( 20 bp of nucleotides before start codon) also showed high homologies to the human homologs, for example, the Acdp2 5 ' UTR sequence showed 95% identities to its human homolog.	"5 ' UTR nucleotide sequences	17	45	Sequence"	"bp	51	53	Sequence"	"nucleotides	57	68	Chemical"	"start codon	76	87	Sequence"	"homologies	106	116	Sequence"	"human	124	129	Organism"	"homologs	130	138	Sequence"	"Acdp2	157	162	Gene_or_geneproduct"	"5 ' UTR sequence	163	179	Sequence"	"human	209	214	Organism"	"homolog	215	222	Sequence"	"[{""token"": ""5 ' UTR nucleotide sequences"", ""start_span"": 17, ""end_span"": 45, ""type"": ""Sequence""}, {""token"": ""bp"", ""start_span"": 51, ""end_span"": 53, ""type"": ""Sequence""}, {""token"": ""nucleotides"", ""start_span"": 57, ""end_span"": 68, ""type"": ""Chemical""}, {""token"": ""start codon"", ""start_span"": 76, ""end_span"": 87, ""type"": ""Sequence""}, {""token"": ""homologies"", ""start_span"": 106, ""end_span"": 116, ""type"": ""Sequence""}, {""token"": ""human"", ""start_span"": 124, ""end_span"": 129, ""type"": ""Organism""}, {""token"": ""homologs"", ""start_span"": 130, ""end_span"": 138, ""type"": ""Sequence""}, {""token"": ""Acdp2"", ""start_span"": 157, ""end_span"": 162, ""type"": ""Gene_or_geneproduct""}, {""token"": ""5 ' UTR sequence"", ""start_span"": 163, ""end_span"": 179, ""type"": ""Sequence""}, {""token"": ""human"", ""start_span"": 209, ""end_span"": 214, ""type"": ""Organism""}, {""token"": ""homolog"", ""start_span"": 215, ""end_span"": 222, ""type"": ""Sequence""}]"
Acdp proteins also possess the domains that are found in bacteria CorC and yeast Amip3 proteins, such as the CBS domains, DUF21 domain and transmembrane domains.	"proteins	5	13	Chemical"	"domains	31	38	Sequence"	"bacteria	57	65	Organism"	"CorC	66	70	Gene_or_geneproduct"	"yeast	75	80	Organism"	"Amip3	81	86	Gene_or_geneproduct"	"proteins	87	95	Chemical"	"domains	113	120	Sequence"	"domain	128	134	Sequence"	"transmembrane	139	152	GO_ontology"	"domains	153	160	Sequence"	"[{""token"": ""proteins"", ""start_span"": 5, ""end_span"": 13, ""type"": ""Chemical""}, {""token"": ""domains"", ""start_span"": 31, ""end_span"": 38, ""type"": ""Sequence""}, {""token"": ""bacteria"", ""start_span"": 57, ""end_span"": 65, ""type"": ""Organism""}, {""token"": ""CorC"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Gene_or_geneproduct""}, {""token"": ""yeast"", ""start_span"": 75, ""end_span"": 80, ""type"": ""Organism""}, {""token"": ""Amip3"", ""start_span"": 81, ""end_span"": 86, ""type"": ""Gene_or_geneproduct""}, {""token"": ""proteins"", ""start_span"": 87, ""end_span"": 95, ""type"": ""Chemical""}, {""token"": ""domains"", ""start_span"": 113, ""end_span"": 120, ""type"": ""Sequence""}, {""token"": ""domain"", ""start_span"": 128, ""end_span"": 134, ""type"": ""Sequence""}, {""token"": ""transmembrane"", ""start_span"": 139, ""end_span"": 152, ""type"": ""GO_ontology""}, {""token"": ""domains"", ""start_span"": 153, ""end_span"": 160, ""type"": ""Sequence""}]"
Mutations in either of two genes comprising the STSL locus, ATP - binding cassette ( ABC) - transporters ABCG5 ( encoding sterolin - 1) and ABCG8 ( encoding sterolin - 2), result in sitosterolemia, a rare autosomal recessive disorder of sterol trafficking characterized by increased plasma plant sterol levels.	"Mutations	0	9	Sequence"	"genes	27	32	Sequence"	"locus	53	58	Sequence"	"ATP	60	63	Chemical"	"ABCG5	105	110	Gene_or_geneproduct"	"sterolin - 1	122	134	Gene_or_geneproduct"	"ABCG8	140	145	Gene_or_geneproduct"	"sterolin - 2	157	169	Gene_or_geneproduct"	"autosomal	205	214	GO_ontology"	"sterol	237	243	Chemical"	"plant sterol	290	302	Chemical"	"[{""token"": ""Mutations"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Sequence""}, {""token"": ""genes"", ""start_span"": 27, ""end_span"": 32, ""type"": ""Sequence""}, {""token"": ""locus"", ""start_span"": 53, ""end_span"": 58, ""type"": ""Sequence""}, {""token"": ""ATP"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Chemical""}, {""token"": ""ABCG5"", ""start_span"": 105, ""end_span"": 110, ""type"": ""Gene_or_geneproduct""}, {""token"": ""sterolin - 1"", ""start_span"": 122, ""end_span"": 134, ""type"": ""Gene_or_geneproduct""}, {""token"": ""ABCG8"", ""start_span"": 140, ""end_span"": 145, ""type"": ""Gene_or_geneproduct""}, {""token"": ""sterolin - 2"", ""start_span"": 157, ""end_span"": 169, ""type"": ""Gene_or_geneproduct""}, {""token"": ""autosomal"", ""start_span"": 205, ""end_span"": 214, ""type"": ""GO_ontology""}, {""token"": ""sterol"", ""start_span"": 237, ""end_span"": 243, ""type"": ""Chemical""}, {""token"": ""plant sterol"", ""start_span"": 290, ""end_span"": 302, ""type"": ""Chemical""}]"
Positively targeted ES cell clones were confirmed by Southern blotting, using ES cell DNA digested by BamHI and a probe comprising of a 562 bp PCR fragment from partial intron 2 and exon 3 of Abcg8 gene.	"cell	23	27	Cell"	"clones	28	34	Sequence"	"cell	81	85	Cell"	"DNA	86	89	Sequence"	"probe	114	119	Sequence"	"bp	140	142	Sequence"	"fragment	147	155	Sequence"	"partial intron	161	175	Sequence"	"exon	182	186	Sequence"	"Abcg8	192	197	Gene_or_geneproduct"	"gene	198	202	Sequence"	"[{""token"": ""cell"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Cell""}, {""token"": ""clones"", ""start_span"": 28, ""end_span"": 34, ""type"": ""Sequence""}, {""token"": ""cell"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Cell""}, {""token"": ""DNA"", ""start_span"": 86, ""end_span"": 89, ""type"": ""Sequence""}, {""token"": ""probe"", ""start_span"": 114, ""end_span"": 119, ""type"": ""Sequence""}, {""token"": ""bp"", ""start_span"": 140, ""end_span"": 142, ""type"": ""Sequence""}, {""token"": ""fragment"", ""start_span"": 147, ""end_span"": 155, ""type"": ""Sequence""}, {""token"": ""partial intron"", ""start_span"": 161, ""end_span"": 175, ""type"": ""Sequence""}, {""token"": ""exon"", ""start_span"": 182, ""end_span"": 186, ""type"": ""Sequence""}, {""token"": ""Abcg8"", ""start_span"": 192, ""end_span"": 197, ""type"": ""Gene_or_geneproduct""}, {""token"": ""gene"", ""start_span"": 198, ""end_span"": 202, ""type"": ""Sequence""}]"
No mRNA for Abcg8 / sterolin - 2 was detected containing any sequences downstream of exon 4 in the Abcg8 - deficient mice, whether primers were located in exons 4 and 13, exons 9 and 13 or exons 10 and 13 ( Figure 1d, 1e).	"mRNA	3	7	Chemical"	"Abcg8	12	17	Gene_or_geneproduct"	"sterolin - 2	20	32	Gene_or_geneproduct"	"sequences	61	70	Sequence"	"exon	85	89	Sequence"	"Abcg8	99	104	Gene_or_geneproduct"	"mice	117	121	Organism"	"primers	131	138	Sequence"	"exons	155	160	Sequence"	"exons	171	176	Sequence"	"exons	189	194	Sequence"	"[{""token"": ""mRNA"", ""start_span"": 3, ""end_span"": 7, ""type"": ""Chemical""}, {""token"": ""Abcg8"", ""start_span"": 12, ""end_span"": 17, ""type"": ""Gene_or_geneproduct""}, {""token"": ""sterolin - 2"", ""start_span"": 20, ""end_span"": 32, ""type"": ""Gene_or_geneproduct""}, {""token"": ""sequences"", ""start_span"": 61, ""end_span"": 70, ""type"": ""Sequence""}, {""token"": ""exon"", ""start_span"": 85, ""end_span"": 89, ""type"": ""Sequence""}, {""token"": ""Abcg8"", ""start_span"": 99, ""end_span"": 104, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 117, ""end_span"": 121, ""type"": ""Organism""}, {""token"": ""primers"", ""start_span"": 131, ""end_span"": 138, ""type"": ""Sequence""}, {""token"": ""exons"", ""start_span"": 155, ""end_span"": 160, ""type"": ""Sequence""}, {""token"": ""exons"", ""start_span"": 171, ""end_span"": 176, ""type"": ""Sequence""}, {""token"": ""exons"", ""start_span"": 189, ""end_span"": 194, ""type"": ""Sequence""}]"
Co - transfection of COS - 1 cells with both Abcg5 and Abcg8 cDNAs did not alter the pattern of immunofluorescence, although we are not able to confirm simultaneous expression of Abcg8 in cells expressing Abcg5 / sterolin - 1, as we have no suitable antibody for Abcg8 / sterolin - 2 ( Figure 6d).	"cells	29	34	Cell"	"Abcg5	45	50	Gene_or_geneproduct"	"Abcg8	55	60	Gene_or_geneproduct"	"cDNAs	61	66	Sequence"	"Abcg8	179	184	Gene_or_geneproduct"	"cells	188	193	Cell"	"Abcg5	205	210	Gene_or_geneproduct"	"sterolin - 1	213	225	Gene_or_geneproduct"	"antibody	250	258	GO_ontology"	"Abcg8	263	268	Gene_or_geneproduct"	"sterolin - 2	271	283	Gene_or_geneproduct"	"[{""token"": ""cells"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Cell""}, {""token"": ""Abcg5"", ""start_span"": 45, ""end_span"": 50, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Abcg8"", ""start_span"": 55, ""end_span"": 60, ""type"": ""Gene_or_geneproduct""}, {""token"": ""cDNAs"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Sequence""}, {""token"": ""Abcg8"", ""start_span"": 179, ""end_span"": 184, ""type"": ""Gene_or_geneproduct""}, {""token"": ""cells"", ""start_span"": 188, ""end_span"": 193, ""type"": ""Cell""}, {""token"": ""Abcg5"", ""start_span"": 205, ""end_span"": 210, ""type"": ""Gene_or_geneproduct""}, {""token"": ""sterolin - 1"", ""start_span"": 213, ""end_span"": 225, ""type"": ""Gene_or_geneproduct""}, {""token"": ""antibody"", ""start_span"": 250, ""end_span"": 258, ""type"": ""GO_ontology""}, {""token"": ""Abcg8"", ""start_span"": 263, ""end_span"": 268, ""type"": ""Gene_or_geneproduct""}, {""token"": ""sterolin - 2"", ""start_span"": 271, ""end_span"": 283, ""type"": ""Gene_or_geneproduct""}]"
Northern blot analysis of hepatic RNA showed a loss of Abcg8 / sterolin - 2 mRNA in the homozygote and decreased Abcg8 / sterolin - 2 mRNA in the heterozygote, although Abcg5 / sterolin - 1 mRNA appeared relatively unaffected in the knockout mice ( panel c).	"RNA	34	37	Sequence"	"Abcg8	55	60	Gene_or_geneproduct"	"sterolin - 2	63	75	Gene_or_geneproduct"	"mRNA	76	80	Chemical"	"Abcg8	113	118	Gene_or_geneproduct"	"sterolin - 2	121	133	Gene_or_geneproduct"	"mRNA	134	138	Chemical"	"Abcg5	169	174	Gene_or_geneproduct"	"sterolin - 1	177	189	Gene_or_geneproduct"	"mRNA	190	194	Chemical"	"mice	242	246	Organism"	"[{""token"": ""RNA"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Sequence""}, {""token"": ""Abcg8"", ""start_span"": 55, ""end_span"": 60, ""type"": ""Gene_or_geneproduct""}, {""token"": ""sterolin - 2"", ""start_span"": 63, ""end_span"": 75, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mRNA"", ""start_span"": 76, ""end_span"": 80, ""type"": ""Chemical""}, {""token"": ""Abcg8"", ""start_span"": 113, ""end_span"": 118, ""type"": ""Gene_or_geneproduct""}, {""token"": ""sterolin - 2"", ""start_span"": 121, ""end_span"": 133, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mRNA"", ""start_span"": 134, ""end_span"": 138, ""type"": ""Chemical""}, {""token"": ""Abcg5"", ""start_span"": 169, ""end_span"": 174, ""type"": ""Gene_or_geneproduct""}, {""token"": ""sterolin - 1"", ""start_span"": 177, ""end_span"": 189, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mRNA"", ""start_span"": 190, ""end_span"": 194, ""type"": ""Chemical""}, {""token"": ""mice"", ""start_span"": 242, ""end_span"": 246, ""type"": ""Organism""}]"
