Sentence	entity_1	json	split
The TGF - beta type II receptor in chronic myeloid leukemia: analysis of microsatellite regions and gene expression.	TGF - beta type II receptor,4,31,Gene_or_gene_product	"[{""token"": ""TGF - beta type II receptor"", ""start_span"": 4, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}]"	train
As TGF - beta is a potent negative growth regulator of hematopoietic cells, investigations were undertaken to determine whether inactivation of the receptor by microsatellite alteration might be involved in the progression of CML.	TGF - beta,3,13,Gene_or_gene_product	"[{""token"": ""TGF - beta"", ""start_span"": 3, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}]"	train
However, during each phase of the disease, low levels of TGF - beta RII were detected when compared with the hematopoietic cells of normal donors.	TGF - beta RII,57,71,Gene_or_gene_product	"[{""token"": ""TGF - beta RII"", ""start_span"": 57, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}]"	train
The leukemia cell lines K562 and HL - 60 had no detectable TGF - beta RII mRNA.	TGF - beta RII,59,73,Gene_or_gene_product	"[{""token"": ""TGF - beta RII"", ""start_span"": 59, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}]"	train
These results suggest that alterations of the microsatellite regions in the TGF - beta RII gene are not involved in the progression of CML.	TGF - beta RII,76,90,Gene_or_gene_product	"[{""token"": ""TGF - beta RII"", ""start_span"": 76, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}]"	train
Decreased expression of TGF - beta RII in CML cells and leukemia cell lines raises the possibility that altered expression of the receptor may play a role in the initiation and / or maintenance of the disease state.	TGF - beta RII,24,38,Gene_or_gene_product	"[{""token"": ""TGF - beta RII"", ""start_span"": 24, ""end_span"": 38, ""type"": ""Gene_or_gene_product""}]"	train
To elucidate the role of N - glycosylation in the functional activity of the universal glucose transporter, Glut - 1, we investigated effects of the N - glycosylation inhibitor, tunicamycin, on glucose transport by human leukemic cell lines K562, U937 and HL60.	Glut - 1,108,116,Gene_or_gene_product	"[{""token"": ""Glut - 1"", ""start_span"": 108, ""end_span"": 116, ""type"": ""Gene_or_gene_product""}]"	train
Leukemic K562, U937 and HL60 cells expressed Glut - 1 transporter protein.	Glut - 1,45,53,Gene_or_gene_product	"[{""token"": ""Glut - 1"", ""start_span"": 45, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}]"	train
With K562 cells Glut - 1 appeared as a broad band of 50 - 60 kDa, whereas with U937 and HL60 cells a diffuse band was observed at approximately 55 kDa.	Glut - 1,16,24,Gene_or_gene_product	"[{""token"": ""Glut - 1"", ""start_span"": 16, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}]"	train
Treatment of K562 cells with tunicamycin for 18 h, resulted in extensive loss of the 50 - 60 kDa glycoprotein, appearance of a 30 - 40 kDa band and increased staining of a 45 kDa band.	glycoprotein,97,109,Gene_or_gene_product	"[{""token"": ""glycoprotein"", ""start_span"": 97, ""end_span"": 109, ""type"": ""Gene_or_gene_product""}]"	train
