The Cdc6 protein is ubiquitinated in vivo for proteolysis in Saccharomyces cerevisiae.	"Cdc6	4	8	Gene_or_gene_product"	"[{""token"": ""Cdc6"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Cdc6p protein levels oscillate during the cell cycle.	"Cdc6p	0	5	Gene_or_gene_product"	"[{""token"": ""Cdc6p"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}]"
Cloning and characterization of retinol dehydrogenase transcripts expressed in human epidermal keratinocytes.	"retinol dehydrogenase	32	53	Gene_or_gene_product"	"[{""token"": ""retinol dehydrogenase"", ""start_span"": 32, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}]"
The normal growth and differentiation of the epidermis require an adequate supply of vitamin A.	"vitamin A	85	94	Chemical"	"[{""token"": ""vitamin A"", ""start_span"": 85, ""end_span"": 94, ""type"": ""Chemical""}]"
The message conveyed by RA is likely modulated by the concentration of the ligand available for binding to the receptors.	"RA	24	26	Chemical"	"[{""token"": ""RA"", ""start_span"": 24, ""end_span"": 26, ""type"": ""Chemical""}]"
Our work describes the first member of the RDH family found in epidermis.	"RDH	43	46	Gene_or_gene_product"	"[{""token"": ""RDH"", ""start_span"": 43, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
We show that this gene is expressed predominantly in the differentiating spinous layers and that it is under positive, feed - forward regulation by retinoic acid.	"retinoic acid	148	161	Chemical"	"[{""token"": ""retinoic acid"", ""start_span"": 148, ""end_span"": 161, ""type"": ""Chemical""}]"
We now report the identification and characterization of a novel IRAK - like molecule.	"IRAK	65	69	Gene_or_gene_product"	"[{""token"": ""IRAK"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
However, the molecular mechanism by which A20 exerts this effect is still unclear.	"A20	42	45	Gene_or_gene_product"	"[{""token"": ""A20"", ""start_span"": 42, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}]"
The stabilization of beta - catenin is a key regulatory step during cell fate changes and transformations to tumor cells.	"beta - catenin	21	35	Gene_or_gene_product"	"[{""token"": ""beta - catenin"", ""start_span"": 21, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}]"
NuA4 has an apparent molecular mass of 1. 3 MDa.	"NuA4	0	4	Complex"	"[{""token"": ""NuA4"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Complex""}]"
We have identified the catalytic subunit of the complex as the product of ESA1, an essential gene required for cell cycle progression in yeast.	"ESA1	74	78	Gene_or_gene_product"	"[{""token"": ""ESA1"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Gene_or_gene_product""}]"
The structure of phosphorylated p38gamma is monomeric and reveals a conserved activation - loop conformation.	"p38gamma	32	40	Gene_or_gene_product"	"[{""token"": ""p38gamma"", ""start_span"": 32, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
The structure of P38alpha MAP kinase has been determined in the apo, unphosphorylated, inactive form.	"P38alpha MAP kinase	17	36	Gene_or_gene_product"	"[{""token"": ""P38alpha MAP kinase"", ""start_span"": 17, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}]"
This is the first report of a structure of an activated kinase in the P38 subfamily, and the first bound to a nucleotide.	"P38	70	73	Gene_or_gene_product"	"[{""token"": ""P38"", ""start_span"": 70, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}]"
Role of two upstream open reading frames in the translational control of oncogene mdm2.	"mdm2	82	86	Gene_or_gene_product"	"[{""token"": ""mdm2"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Gene_or_gene_product""}]"
Overexpression of oncoprotein MDM2 has been found in a significant number of human soft tissue tumors.	"MDM2	30	34	Gene_or_gene_product"	"[{""token"": ""MDM2"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}]"
In a subset of these tumors, overexpression is a result of enhanced translation of mdm2 mRNA.	"mdm2	83	87	Gene_or_gene_product"	"[{""token"": ""mdm2"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Gene_or_gene_product""}]"
The 5 ' leader of L - mdm2 was sufficient to transfer translational repression to a reporter gene and the two uORFs acted synergistically to achieve full suppression.	"L - mdm2	18	26	Gene_or_gene_product"	"[{""token"": ""L - mdm2"", ""start_span"": 18, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"
In contrast, the 5 ' leader of S - mdm2 allowed efficient translation of an attached reporter gene in the tumor cells.	"S - mdm2	31	39	Gene_or_gene_product"	"[{""token"": ""S - mdm2"", ""start_span"": 31, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
These results are consistent with a model in which overexpression of MDM2 in certain tumors results from a change in mRNA structure due to a switch in promoter usage.	"MDM2	69	73	Gene_or_gene_product"	"[{""token"": ""MDM2"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}]"
