Acid pH activation of the PmrA / PmrB two - component regulatory system of Salmonella enterica	"Salmonella enterica	75	94	Organism"	"[{""token"": ""Salmonella enterica"", ""start_span"": 75, ""end_span"": 94, ""type"": ""Organism""}]"
The Gram - negative pathogen Salmonella enterica serovar Typhimurium experiences a number of acidic environments both inside and outside animal hosts.	"Salmonella enterica serovar Typhimurium	29	68	Organism"	"[{""token"": ""Salmonella enterica serovar Typhimurium"", ""start_span"": 29, ""end_span"": 68, ""type"": ""Organism""}]"
Wild - type Salmonella grown at pH 5. 8 were > 100 000 - fold more resistant to polymyxin B than organisms grown at pH 7. 7.	"Salmonella	12	22	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 12, ""end_span"": 22, ""type"": ""Organism""}]"
The Gram - negative bacterium Salmonella enterica serovar Typhimurium, for example, experiences a number of acidic environments both inside and outside animal hosts.	"Salmonella enterica serovar Typhimurium	30	69	Organism"	"[{""token"": ""Salmonella enterica serovar Typhimurium"", ""start_span"": 30, ""end_span"": 69, ""type"": ""Organism""}]"
During infection of a mammalian host, Salmonella is exposed to severe acidity in the stomach ( Rychlik and Barrow, 2005) and mild acidification in the endocytic vacuoles of intestinal epithelia and macrophages ( Brumell and Grinstein, 2004).	"Salmonella	38	48	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 38, ""end_span"": 48, ""type"": ""Organism""}]"
Moreover, Salmonella has been recovered from soil and water ( Winfield and Groisman, 2003) where the pH can be significantly low.	"Salmonella	10	20	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 10, ""end_span"": 20, ""type"": ""Organism""}]"
Previous studies have revealed that Salmonella responds to acidic challenges through an adaptive system called the acid tolerance response in which adaptation to mild acid conditions enables the organism to survive periods of severe acid stress ( Foster and Hall, 1990; Foster, 1995).	"Salmonella	36	46	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 36, ""end_span"": 46, ""type"": ""Organism""}]"
Growth of Salmonella in mild acid ( pH 5. 8) also promotes transcription of genes regulated by the response regulator PmrA ( Soncini and Groisman, 1996).	"Salmonella	10	20	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 10, ""end_span"": 20, ""type"": ""Organism""}]"
The expression of these genes has been shown to be dispensable for the acid tolerance response ( Bearson et al., 1998) which suggests that there are still uncharacterized cellular function ( s) that Salmonella needs to regulate in acidic environments.	"Salmonella	199	209	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 199, ""end_span"": 209, ""type"": ""Organism""}]"
While other PmrA - regulated genes have been identified ( Marchal et al., 2004; Tamayo et al., 2005), their biochemical activities and the role ( s) that they play in Salmonella ' s life remain unknown.	"Salmonella	167	177	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 167, ""end_span"": 177, ""type"": ""Organism""}]"
Mild acid pH induces transcription of PmrA - regulated genes To examine the mild acid pH induction of PmrA - activated genes, we grew Salmonella cells harbouring chromosomal lacZYA transcriptional fusions to the PmrA - regulated genes pbgP, pmrC and ugd ( Wosten and Groisman, 1999) in N - minimal media buffered at pH 5. 8 or 7. 7.	"Salmonella	134	144	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 134, ""end_span"": 144, ""type"": ""Organism""}]"
