Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	json	split
Three embryotoxic phthalate monoesters, monobutyl phthalate ( MBuP), monobenzyl phthalate ( MBzP) and mono - ( 2 - ethylhexyl) phthalate ( MEHP) and the non - embryotoxic monomethyl phthalate ( MMP) were studied for their effects on gene expression.	phthalate monoesters,18,38,Chemical/Drug	monobutyl phthalate,40,59,Chemical/Drug	MBuP,62,66,Chemical/Drug	monobenzyl phthalate,69,89,Chemical/Drug	MBzP,92,96,Chemical/Drug	MEHP,139,143,Chemical/Drug	monomethyl phthalate,171,191,Chemical/Drug	MMP,194,197,Chemical/Drug	"[{""token"": ""phthalate monoesters"", ""start_span"": 18, ""end_span"": 38, ""type"": ""Chemical/Drug""}, {""token"": ""monobutyl phthalate"", ""start_span"": 40, ""end_span"": 59, ""type"": ""Chemical/Drug""}, {""token"": ""MBuP"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Chemical/Drug""}, {""token"": ""monobenzyl phthalate"", ""start_span"": 69, ""end_span"": 89, ""type"": ""Chemical/Drug""}, {""token"": ""MBzP"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Chemical/Drug""}, {""token"": ""MEHP"", ""start_span"": 139, ""end_span"": 143, ""type"": ""Chemical/Drug""}, {""token"": ""monomethyl phthalate"", ""start_span"": 171, ""end_span"": 191, ""type"": ""Chemical/Drug""}, {""token"": ""MMP"", ""start_span"": 194, ""end_span"": 197, ""type"": ""Chemical/Drug""}]"	train
A significant decrease of aspartate aminotransferase, alanine aminotransferase, lactate dehydrogenase ( LDH) activities and glutathione ( GSH) levels and an increase of malondialdehyde ( MDA) quantity was observed after CCl4 and PC administration alone.	aspartate,26,35,Chemical/Drug	alanine,54,61,Chemical/Drug	lactate,80,87,Chemical/Drug	glutathione,124,135,Chemical/Drug	GSH,138,141,Chemical/Drug	malondialdehyde,169,184,Chemical/Drug	MDA,187,190,Chemical/Drug	CCl4,220,224,Chemical/Drug	"[{""token"": ""aspartate"", ""start_span"": 26, ""end_span"": 35, ""type"": ""Chemical/Drug""}, {""token"": ""alanine"", ""start_span"": 54, ""end_span"": 61, ""type"": ""Chemical/Drug""}, {""token"": ""lactate"", ""start_span"": 80, ""end_span"": 87, ""type"": ""Chemical/Drug""}, {""token"": ""glutathione"", ""start_span"": 124, ""end_span"": 135, ""type"": ""Chemical/Drug""}, {""token"": ""GSH"", ""start_span"": 138, ""end_span"": 141, ""type"": ""Chemical/Drug""}, {""token"": ""malondialdehyde"", ""start_span"": 169, ""end_span"": 184, ""type"": ""Chemical/Drug""}, {""token"": ""MDA"", ""start_span"": 187, ""end_span"": 190, ""type"": ""Chemical/Drug""}, {""token"": ""CCl4"", ""start_span"": 220, ""end_span"": 224, ""type"": ""Chemical/Drug""}]"	train
The modulating effect of peroxisome proliferator - activated receptor alpha ligand on haemodynamic effects of phenylepherine ( PE), angiotensin II ( AII), endothelin 1 ( ET1), acetylcholine ( Ach), sodium nitroprusside ( SNP) and isoproterenol ( ISO) were evaluated in glycerol - induced acute kidney injury in rats.	phenylepherine,110,124,Chemical/Drug	acetylcholine,176,189,Chemical/Drug	Ach,192,195,Chemical/Drug	sodium nitroprusside,198,218,Chemical/Drug	SNP,221,224,Chemical/Drug	isoproterenol,230,243,Chemical/Drug	ISO,246,249,Chemical/Drug	glycerol,269,277,Chemical/Drug	"[{""token"": ""phenylepherine"", ""start_span"": 110, ""end_span"": 124, ""type"": ""Chemical/Drug""}, {""token"": ""acetylcholine"", ""start_span"": 176, ""end_span"": 189, ""type"": ""Chemical/Drug""}, {""token"": ""Ach"", ""start_span"": 192, ""end_span"": 195, ""type"": ""Chemical/Drug""}, {""token"": ""sodium nitroprusside"", ""start_span"": 198, ""end_span"": 218, ""type"": ""Chemical/Drug""}, {""token"": ""SNP"", ""start_span"": 221, ""end_span"": 224, ""type"": ""Chemical/Drug""}, {""token"": ""isoproterenol"", ""start_span"": 230, ""end_span"": 243, ""type"": ""Chemical/Drug""}, {""token"": ""ISO"", ""start_span"": 246, ""end_span"": 249, ""type"": ""Chemical/Drug""}, {""token"": ""glycerol"", ""start_span"": 269, ""end_span"": 277, ""type"": ""Chemical/Drug""}]"	train
The antioxidant capacities of novel heterocyclic compounds, including the compounds acting either by prevention of formation or catalyzed decomposition of peroxynitrite anion ( ONOO -), namely the peroxynitrite decomposition catalysts or as superoxide ( O2 * -) - scavengers which are the functional mimetics of superoxide dismutase ( SOD) enzymes ( SODm), as well as the derivatives of 6 - nitro - 3, 4 - methylenedioxyphenyl - Nacylhydrazone ( LASSBio - 881) or gamma - butyrolactone ( LPP1, BM113, BM113A, BM138 and BM138A) are also discussed as potent and promising future heterocyclic analgesics.	peroxynitrite,155,168,Chemical/Drug	ONOO -,177,183,Chemical/Drug	peroxynitrite,197,210,Chemical/Drug	superoxide,241,251,Chemical/Drug	O2 * -,254,260,Chemical/Drug	superoxide,312,322,Chemical/Drug	LASSBio - 881,446,459,Chemical/Drug	gamma - butyrolactone,464,485,Chemical/Drug	"[{""token"": ""peroxynitrite"", ""start_span"": 155, ""end_span"": 168, ""type"": ""Chemical/Drug""}, {""token"": ""ONOO -"", ""start_span"": 177, ""end_span"": 183, ""type"": ""Chemical/Drug""}, {""token"": ""peroxynitrite"", ""start_span"": 197, ""end_span"": 210, ""type"": ""Chemical/Drug""}, {""token"": ""superoxide"", ""start_span"": 241, ""end_span"": 251, ""type"": ""Chemical/Drug""}, {""token"": ""O2 * -"", ""start_span"": 254, ""end_span"": 260, ""type"": ""Chemical/Drug""}, {""token"": ""superoxide"", ""start_span"": 312, ""end_span"": 322, ""type"": ""Chemical/Drug""}, {""token"": ""LASSBio - 881"", ""start_span"": 446, ""end_span"": 459, ""type"": ""Chemical/Drug""}, {""token"": ""gamma - butyrolactone"", ""start_span"": 464, ""end_span"": 485, ""type"": ""Chemical/Drug""}]"	train
Using p53 wild type and mutant human colon cells, we determined the effects of hydroxyethyl disulfide ( HEDS) on NADPH, GSH, GSSG, total glutathione, total non - protein and protein thiol levels, the function of the DNA repair protein Ku, and the susceptibility to radiation - induced free radicals under normal glucose or glucose - deprived conditions.	hydroxyethyl disulfide,79,101,Chemical/Drug	HEDS,104,108,Chemical/Drug	NADPH,113,118,Chemical/Drug	GSH,120,123,Chemical/Drug	GSSG,125,129,Chemical/Drug	glutathione,137,148,Chemical/Drug	glucose,312,319,Chemical/Drug	glucose,323,330,Chemical/Drug	"[{""token"": ""hydroxyethyl disulfide"", ""start_span"": 79, ""end_span"": 101, ""type"": ""Chemical/Drug""}, {""token"": ""HEDS"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Chemical/Drug""}, {""token"": ""NADPH"", ""start_span"": 113, ""end_span"": 118, ""type"": ""Chemical/Drug""}, {""token"": ""GSH"", ""start_span"": 120, ""end_span"": 123, ""type"": ""Chemical/Drug""}, {""token"": ""GSSG"", ""start_span"": 125, ""end_span"": 129, ""type"": ""Chemical/Drug""}, {""token"": ""glutathione"", ""start_span"": 137, ""end_span"": 148, ""type"": ""Chemical/Drug""}, {""token"": ""glucose"", ""start_span"": 312, ""end_span"": 319, ""type"": ""Chemical/Drug""}, {""token"": ""glucose"", ""start_span"": 323, ""end_span"": 330, ""type"": ""Chemical/Drug""}]"	train
Parabens are a group of alkyl esters of p - hydroxybenzoic acid that include methylparaben, ethylparaben, propylparaben, butylparaben, and benzylparaben.	Parabens,0,8,Chemical/Drug	alkyl esters,24,36,Chemical/Drug	p - hydroxybenzoic acid,40,63,Chemical/Drug	methylparaben,77,90,Chemical/Drug	ethylparaben,92,104,Chemical/Drug	propylparaben,106,119,Chemical/Drug	butylparaben,121,133,Chemical/Drug	benzylparaben,139,152,Chemical/Drug	"[{""token"": ""Parabens"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Chemical/Drug""}, {""token"": ""alkyl esters"", ""start_span"": 24, ""end_span"": 36, ""type"": ""Chemical/Drug""}, {""token"": ""p - hydroxybenzoic acid"", ""start_span"": 40, ""end_span"": 63, ""type"": ""Chemical/Drug""}, {""token"": ""methylparaben"", ""start_span"": 77, ""end_span"": 90, ""type"": ""Chemical/Drug""}, {""token"": ""ethylparaben"", ""start_span"": 92, ""end_span"": 104, ""type"": ""Chemical/Drug""}, {""token"": ""propylparaben"", ""start_span"": 106, ""end_span"": 119, ""type"": ""Chemical/Drug""}, {""token"": ""butylparaben"", ""start_span"": 121, ""end_span"": 133, ""type"": ""Chemical/Drug""}, {""token"": ""benzylparaben"", ""start_span"": 139, ""end_span"": 152, ""type"": ""Chemical/Drug""}]"	train
To address this, we compared potencies of DON, 15 - acetyldeoxynivalenol ( 15 - ADON), 3 - acetyldeoxynivalenol ( 3 - ADON), fusarenon X ( FX), and nivalenol ( NIV) in the mink emesis model following intraperitoneal ( ip) and oral administration.	DON,42,45,Chemical/Drug	15 - acetyldeoxynivalenol,47,72,Chemical/Drug	15 - ADON,75,84,Chemical/Drug	3 - acetyldeoxynivalenol,87,111,Chemical/Drug	3 - ADON,114,122,Chemical/Drug	fusarenon X,125,136,Chemical/Drug	nivalenol,148,157,Chemical/Drug	NIV,160,163,Chemical/Drug	"[{""token"": ""DON"", ""start_span"": 42, ""end_span"": 45, ""type"": ""Chemical/Drug""}, {""token"": ""15 - acetyldeoxynivalenol"", ""start_span"": 47, ""end_span"": 72, ""type"": ""Chemical/Drug""}, {""token"": ""15 - ADON"", ""start_span"": 75, ""end_span"": 84, ""type"": ""Chemical/Drug""}, {""token"": ""3 - acetyldeoxynivalenol"", ""start_span"": 87, ""end_span"": 111, ""type"": ""Chemical/Drug""}, {""token"": ""3 - ADON"", ""start_span"": 114, ""end_span"": 122, ""type"": ""Chemical/Drug""}, {""token"": ""fusarenon X"", ""start_span"": 125, ""end_span"": 136, ""type"": ""Chemical/Drug""}, {""token"": ""nivalenol"", ""start_span"": 148, ""end_span"": 157, ""type"": ""Chemical/Drug""}, {""token"": ""NIV"", ""start_span"": 160, ""end_span"": 163, ""type"": ""Chemical/Drug""}]"	train
Sprague - Dawley rats were randomly divided into five groups: control group, PTU group, PTU + Vit E group, PTU + L - T4 group, and PTU + L - T4 + Vit E group.	PTU,77,80,Chemical/Drug	PTU,88,91,Chemical/Drug	Vit E,94,99,Chemical/Drug	PTU,107,110,Chemical/Drug	L - T4,113,119,Chemical/Drug	PTU,131,134,Chemical/Drug	L - T4,137,143,Chemical/Drug	Vit E,146,151,Chemical/Drug	"[{""token"": ""PTU"", ""start_span"": 77, ""end_span"": 80, ""type"": ""Chemical/Drug""}, {""token"": ""PTU"", ""start_span"": 88, ""end_span"": 91, ""type"": ""Chemical/Drug""}, {""token"": ""Vit E"", ""start_span"": 94, ""end_span"": 99, ""type"": ""Chemical/Drug""}, {""token"": ""PTU"", ""start_span"": 107, ""end_span"": 110, ""type"": ""Chemical/Drug""}, {""token"": ""L - T4"", ""start_span"": 113, ""end_span"": 119, ""type"": ""Chemical/Drug""}, {""token"": ""PTU"", ""start_span"": 131, ""end_span"": 134, ""type"": ""Chemical/Drug""}, {""token"": ""L - T4"", ""start_span"": 137, ""end_span"": 143, ""type"": ""Chemical/Drug""}, {""token"": ""Vit E"", ""start_span"": 146, ""end_span"": 151, ""type"": ""Chemical/Drug""}]"	train
In the femur, ELD, ELD + ALN, and ALF + ALN treatment significantly increased the ultimate load, compared with the OVX - control group, and ELD + ALN resulted in a significantly higher ultimate load than ALN monotherapy.	ELD,14,17,Chemical/Drug	ELD,19,22,Chemical/Drug	ALN,25,28,Chemical/Drug	ALF,34,37,Chemical/Drug	ALN,40,43,Chemical/Drug	ELD,140,143,Chemical/Drug	ALN,146,149,Chemical/Drug	ALN,204,207,Chemical/Drug	"[{""token"": ""ELD"", ""start_span"": 14, ""end_span"": 17, ""type"": ""Chemical/Drug""}, {""token"": ""ELD"", ""start_span"": 19, ""end_span"": 22, ""type"": ""Chemical/Drug""}, {""token"": ""ALN"", ""start_span"": 25, ""end_span"": 28, ""type"": ""Chemical/Drug""}, {""token"": ""ALF"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Chemical/Drug""}, {""token"": ""ALN"", ""start_span"": 40, ""end_span"": 43, ""type"": ""Chemical/Drug""}, {""token"": ""ELD"", ""start_span"": 140, ""end_span"": 143, ""type"": ""Chemical/Drug""}, {""token"": ""ALN"", ""start_span"": 146, ""end_span"": 149, ""type"": ""Chemical/Drug""}, {""token"": ""ALN"", ""start_span"": 204, ""end_span"": 207, ""type"": ""Chemical/Drug""}]"	train
These results suggested that ELD or ALF used in combination with ALN has therapeutic advantages over ALN monotherapy, with ELD + ALN combination treatment producing an especially beneficial anti - osteoporotic effect by inhibiting osteoclastic bone resorption and maintaining osteoblastic function, compared with ALF + ALN combination treatment.	ELD,29,32,Chemical/Drug	ALF,36,39,Chemical/Drug	ALN,65,68,Chemical/Drug	ALN,101,104,Chemical/Drug	ELD,123,126,Chemical/Drug	ALN,129,132,Chemical/Drug	ALF,313,316,Chemical/Drug	ALN,319,322,Chemical/Drug	"[{""token"": ""ELD"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Chemical/Drug""}, {""token"": ""ALF"", ""start_span"": 36, ""end_span"": 39, ""type"": ""Chemical/Drug""}, {""token"": ""ALN"", ""start_span"": 65, ""end_span"": 68, ""type"": ""Chemical/Drug""}, {""token"": ""ALN"", ""start_span"": 101, ""end_span"": 104, ""type"": ""Chemical/Drug""}, {""token"": ""ELD"", ""start_span"": 123, ""end_span"": 126, ""type"": ""Chemical/Drug""}, {""token"": ""ALN"", ""start_span"": 129, ""end_span"": 132, ""type"": ""Chemical/Drug""}, {""token"": ""ALF"", ""start_span"": 313, ""end_span"": 316, ""type"": ""Chemical/Drug""}, {""token"": ""ALN"", ""start_span"": 319, ""end_span"": 322, ""type"": ""Chemical/Drug""}]"	train
