Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	entity_12	entity_13	json	split
The major biochemicals ( metabolites) that contributed to discrimination between cabbages grown in the two regions were 4 - aminobutyrate ( GABA), acetate, asparagine, leucine, isoleucine, O - phosphocholine, phenylacetate, phenylalanine, succinate, sucrose, tyrosine, and valine.	4 - aminobutyrate,120,137,Chemical/Drug	GABA,140,144,Chemical/Drug	acetate,147,154,Chemical/Drug	asparagine,156,166,Chemical/Drug	leucine,168,175,Chemical/Drug	isoleucine,177,187,Chemical/Drug	O - phosphocholine,189,207,Chemical/Drug	phenylacetate,209,222,Chemical/Drug	phenylalanine,224,237,Chemical/Drug	succinate,239,248,Chemical/Drug	sucrose,250,257,Chemical/Drug	tyrosine,259,267,Chemical/Drug	valine,273,279,Chemical/Drug	"[{""token"": ""4 - aminobutyrate"", ""start_span"": 120, ""end_span"": 137, ""type"": ""Chemical/Drug""}, {""token"": ""GABA"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Chemical/Drug""}, {""token"": ""acetate"", ""start_span"": 147, ""end_span"": 154, ""type"": ""Chemical/Drug""}, {""token"": ""asparagine"", ""start_span"": 156, ""end_span"": 166, ""type"": ""Chemical/Drug""}, {""token"": ""leucine"", ""start_span"": 168, ""end_span"": 175, ""type"": ""Chemical/Drug""}, {""token"": ""isoleucine"", ""start_span"": 177, ""end_span"": 187, ""type"": ""Chemical/Drug""}, {""token"": ""O - phosphocholine"", ""start_span"": 189, ""end_span"": 207, ""type"": ""Chemical/Drug""}, {""token"": ""phenylacetate"", ""start_span"": 209, ""end_span"": 222, ""type"": ""Chemical/Drug""}, {""token"": ""phenylalanine"", ""start_span"": 224, ""end_span"": 237, ""type"": ""Chemical/Drug""}, {""token"": ""succinate"", ""start_span"": 239, ""end_span"": 248, ""type"": ""Chemical/Drug""}, {""token"": ""sucrose"", ""start_span"": 250, ""end_span"": 257, ""type"": ""Chemical/Drug""}, {""token"": ""tyrosine"", ""start_span"": 259, ""end_span"": 267, ""type"": ""Chemical/Drug""}, {""token"": ""valine"", ""start_span"": 273, ""end_span"": 279, ""type"": ""Chemical/Drug""}]"	train
Overall, there is compelling evidence that salivary TDM can be usefully applied so as to optimize the treatment of epilepsy with carbamazepine, clobazam, ethosuximide, gabapentin, lacosamide, lamotrigine, levetiracetam, oxcarbazepine, phenobarbital, phenytoin, primidone, topiramate, and zonisamide.	carbamazepine,129,142,Chemical/Drug	clobazam,144,152,Chemical/Drug	ethosuximide,154,166,Chemical/Drug	gabapentin,168,178,Chemical/Drug	lacosamide,180,190,Chemical/Drug	lamotrigine,192,203,Chemical/Drug	levetiracetam,205,218,Chemical/Drug	oxcarbazepine,220,233,Chemical/Drug	phenobarbital,235,248,Chemical/Drug	phenytoin,250,259,Chemical/Drug	primidone,261,270,Chemical/Drug	topiramate,272,282,Chemical/Drug	zonisamide,288,298,Chemical/Drug	"[{""token"": ""carbamazepine"", ""start_span"": 129, ""end_span"": 142, ""type"": ""Chemical/Drug""}, {""token"": ""clobazam"", ""start_span"": 144, ""end_span"": 152, ""type"": ""Chemical/Drug""}, {""token"": ""ethosuximide"", ""start_span"": 154, ""end_span"": 166, ""type"": ""Chemical/Drug""}, {""token"": ""gabapentin"", ""start_span"": 168, ""end_span"": 178, ""type"": ""Chemical/Drug""}, {""token"": ""lacosamide"", ""start_span"": 180, ""end_span"": 190, ""type"": ""Chemical/Drug""}, {""token"": ""lamotrigine"", ""start_span"": 192, ""end_span"": 203, ""type"": ""Chemical/Drug""}, {""token"": ""levetiracetam"", ""start_span"": 205, ""end_span"": 218, ""type"": ""Chemical/Drug""}, {""token"": ""oxcarbazepine"", ""start_span"": 220, ""end_span"": 233, ""type"": ""Chemical/Drug""}, {""token"": ""phenobarbital"", ""start_span"": 235, ""end_span"": 248, ""type"": ""Chemical/Drug""}, {""token"": ""phenytoin"", ""start_span"": 250, ""end_span"": 259, ""type"": ""Chemical/Drug""}, {""token"": ""primidone"", ""start_span"": 261, ""end_span"": 270, ""type"": ""Chemical/Drug""}, {""token"": ""topiramate"", ""start_span"": 272, ""end_span"": 282, ""type"": ""Chemical/Drug""}, {""token"": ""zonisamide"", ""start_span"": 288, ""end_span"": 298, ""type"": ""Chemical/Drug""}]"	train
Twenty - five elements were identifiable from 18 positions on the cardiac calculus by EDXRF spectrometer, in which the highest concentrations of toxic TEs ( Ni, Pt, Hg, Sn, Pb, W, Au, Al, Si) and higher levels of essential TEs ( Ca, Sr, Cr, P) were detected.	Ni,157,159,Chemical/Drug	Pt,161,163,Chemical/Drug	Hg,165,167,Chemical/Drug	Sn,169,171,Chemical/Drug	Pb,173,175,Chemical/Drug	W,177,178,Chemical/Drug	Au,180,182,Chemical/Drug	Al,184,186,Chemical/Drug	Si,188,190,Chemical/Drug	Ca,229,231,Chemical/Drug	Sr,233,235,Chemical/Drug	Cr,237,239,Chemical/Drug	P,241,242,Chemical/Drug	"[{""token"": ""Ni"", ""start_span"": 157, ""end_span"": 159, ""type"": ""Chemical/Drug""}, {""token"": ""Pt"", ""start_span"": 161, ""end_span"": 163, ""type"": ""Chemical/Drug""}, {""token"": ""Hg"", ""start_span"": 165, ""end_span"": 167, ""type"": ""Chemical/Drug""}, {""token"": ""Sn"", ""start_span"": 169, ""end_span"": 171, ""type"": ""Chemical/Drug""}, {""token"": ""Pb"", ""start_span"": 173, ""end_span"": 175, ""type"": ""Chemical/Drug""}, {""token"": ""W"", ""start_span"": 177, ""end_span"": 178, ""type"": ""Chemical/Drug""}, {""token"": ""Au"", ""start_span"": 180, ""end_span"": 182, ""type"": ""Chemical/Drug""}, {""token"": ""Al"", ""start_span"": 184, ""end_span"": 186, ""type"": ""Chemical/Drug""}, {""token"": ""Si"", ""start_span"": 188, ""end_span"": 190, ""type"": ""Chemical/Drug""}, {""token"": ""Ca"", ""start_span"": 229, ""end_span"": 231, ""type"": ""Chemical/Drug""}, {""token"": ""Sr"", ""start_span"": 233, ""end_span"": 235, ""type"": ""Chemical/Drug""}, {""token"": ""Cr"", ""start_span"": 237, ""end_span"": 239, ""type"": ""Chemical/Drug""}, {""token"": ""P"", ""start_span"": 241, ""end_span"": 242, ""type"": ""Chemical/Drug""}]"	train
Silica gel column chromatography of the aqueous extract with a linear gradient of ethyl acetate, acetonitrile and carbon tetrachloride ( v / v) yielded five new metabolites named benzopranyl capriate ( 9H - 1 - isoprenyl - benzopyran - 5 - isopropanoic acid - 6 - ol - 6 - n - decanoate), shorghumoic acid ( n - octadec - 8, 11 - dien - 7 alpha - ol - 1 - oic acid) and sorghumflavin A ( 2 - n - butyloxo - 6 - beta - hydroxy - 7 - beta - isoprenyl ankaflavin) from Monascus - fermented S. bicolor, while hordeumflavin B ( 2 - n - undecanyloxo - 7 - beta - isoprenyl ankaflavin) and vulgaredilone ( 2 - dodecanyl - 7 - beta isopranyl monoscodilone) from Monascus - fermented H. vulgare.	Silica gel,0,10,Chemical/Drug	ethyl acetate,82,95,Chemical/Drug	acetonitrile,97,109,Chemical/Drug	carbon tetrachloride,114,134,Chemical/Drug	benzopranyl capriate,179,199,Chemical/Drug	9H - 1 - isoprenyl - benzopyran - 5 - isopropanoic acid - 6 - ol - 6 - n - decanoate,202,286,Chemical/Drug	shorghumoic acid,289,305,Chemical/Drug	sorghumflavin A,370,385,Chemical/Drug	2 - n - butyloxo - 6 - beta - hydroxy - 7 - beta - isoprenyl ankaflavin,388,459,Chemical/Drug	hordeumflavin B,505,520,Chemical/Drug	2 - n - undecanyloxo - 7 - beta - isoprenyl ankaflavin,523,577,Chemical/Drug	vulgaredilone,583,596,Chemical/Drug	2 - dodecanyl - 7 - beta isopranyl monoscodilone,599,647,Chemical/Drug	"[{""token"": ""Silica gel"", ""start_span"": 0, ""end_span"": 10, ""type"": ""Chemical/Drug""}, {""token"": ""ethyl acetate"", ""start_span"": 82, ""end_span"": 95, ""type"": ""Chemical/Drug""}, {""token"": ""acetonitrile"", ""start_span"": 97, ""end_span"": 109, ""type"": ""Chemical/Drug""}, {""token"": ""carbon tetrachloride"", ""start_span"": 114, ""end_span"": 134, ""type"": ""Chemical/Drug""}, {""token"": ""benzopranyl capriate"", ""start_span"": 179, ""end_span"": 199, ""type"": ""Chemical/Drug""}, {""token"": ""9H - 1 - isoprenyl - benzopyran - 5 - isopropanoic acid - 6 - ol - 6 - n - decanoate"", ""start_span"": 202, ""end_span"": 286, ""type"": ""Chemical/Drug""}, {""token"": ""shorghumoic acid"", ""start_span"": 289, ""end_span"": 305, ""type"": ""Chemical/Drug""}, {""token"": ""sorghumflavin A"", ""start_span"": 370, ""end_span"": 385, ""type"": ""Chemical/Drug""}, {""token"": ""2 - n - butyloxo - 6 - beta - hydroxy - 7 - beta - isoprenyl ankaflavin"", ""start_span"": 388, ""end_span"": 459, ""type"": ""Chemical/Drug""}, {""token"": ""hordeumflavin B"", ""start_span"": 505, ""end_span"": 520, ""type"": ""Chemical/Drug""}, {""token"": ""2 - n - undecanyloxo - 7 - beta - isoprenyl ankaflavin"", ""start_span"": 523, ""end_span"": 577, ""type"": ""Chemical/Drug""}, {""token"": ""vulgaredilone"", ""start_span"": 583, ""end_span"": 596, ""type"": ""Chemical/Drug""}, {""token"": ""2 - dodecanyl - 7 - beta isopranyl monoscodilone"", ""start_span"": 599, ""end_span"": 647, ""type"": ""Chemical/Drug""}]"	train
At noncytotoxic concentrations of individual mycotoxins, all mixtures were cytotoxic with DON - NIV, DON - ZEA, DON - NIV - FB1, DON - ZEA - FB1, NIV - ZEA - FB1 and all four mixed causing the greatest loss of cell viability.	DON,90,93,Chemical/Drug	NIV,96,99,Chemical/Drug	DON,101,104,Chemical/Drug	ZEA,107,110,Chemical/Drug	DON,112,115,Chemical/Drug	NIV,118,121,Chemical/Drug	FB1,124,127,Chemical/Drug	DON,129,132,Chemical/Drug	ZEA,135,138,Chemical/Drug	FB1,141,144,Chemical/Drug	NIV,146,149,Chemical/Drug	ZEA,152,155,Chemical/Drug	FB1,158,161,Chemical/Drug	"[{""token"": ""DON"", ""start_span"": 90, ""end_span"": 93, ""type"": ""Chemical/Drug""}, {""token"": ""NIV"", ""start_span"": 96, ""end_span"": 99, ""type"": ""Chemical/Drug""}, {""token"": ""DON"", ""start_span"": 101, ""end_span"": 104, ""type"": ""Chemical/Drug""}, {""token"": ""ZEA"", ""start_span"": 107, ""end_span"": 110, ""type"": ""Chemical/Drug""}, {""token"": ""DON"", ""start_span"": 112, ""end_span"": 115, ""type"": ""Chemical/Drug""}, {""token"": ""NIV"", ""start_span"": 118, ""end_span"": 121, ""type"": ""Chemical/Drug""}, {""token"": ""FB1"", ""start_span"": 124, ""end_span"": 127, ""type"": ""Chemical/Drug""}, {""token"": ""DON"", ""start_span"": 129, ""end_span"": 132, ""type"": ""Chemical/Drug""}, {""token"": ""ZEA"", ""start_span"": 135, ""end_span"": 138, ""type"": ""Chemical/Drug""}, {""token"": ""FB1"", ""start_span"": 141, ""end_span"": 144, ""type"": ""Chemical/Drug""}, {""token"": ""NIV"", ""start_span"": 146, ""end_span"": 149, ""type"": ""Chemical/Drug""}, {""token"": ""ZEA"", ""start_span"": 152, ""end_span"": 155, ""type"": ""Chemical/Drug""}, {""token"": ""FB1"", ""start_span"": 158, ""end_span"": 161, ""type"": ""Chemical/Drug""}]"	train
Then, the effect of UVA - irradiation over NCTC2544 cells treated with increasing concentrations of 15 compounds including photoallergens ( benzophenone, 4 - ter - butyl - 4 - methoxy - dibenzoylmethane, 2 - ethylexyl - p - methoxycinnamate, ketoprofen, 6 - methylcumarin); photoirritant and photoallergen ( 4 - aminobenzoic acid, chlorpromazine, promethazine); photoirritants ( acridine, ibuprofen, 8 - methoxypsoralen, retinoic acid); and negative compounds ( lactic acid, SDS and p - phenilendiamine) was investigated.	benzophenone,140,152,Chemical/Drug	ketoprofen,242,252,Chemical/Drug	6 - methylcumarin,254,271,Chemical/Drug	4 - aminobenzoic acid,308,329,Chemical/Drug	chlorpromazine,331,345,Chemical/Drug	promethazine,347,359,Chemical/Drug	acridine,379,387,Chemical/Drug	ibuprofen,389,398,Chemical/Drug	8 - methoxypsoralen,400,419,Chemical/Drug	retinoic acid,421,434,Chemical/Drug	lactic acid,462,473,Chemical/Drug	SDS,475,478,Chemical/Drug	p - phenilendiamine,483,502,Chemical/Drug	"[{""token"": ""benzophenone"", ""start_span"": 140, ""end_span"": 152, ""type"": ""Chemical/Drug""}, {""token"": ""ketoprofen"", ""start_span"": 242, ""end_span"": 252, ""type"": ""Chemical/Drug""}, {""token"": ""6 - methylcumarin"", ""start_span"": 254, ""end_span"": 271, ""type"": ""Chemical/Drug""}, {""token"": ""4 - aminobenzoic acid"", ""start_span"": 308, ""end_span"": 329, ""type"": ""Chemical/Drug""}, {""token"": ""chlorpromazine"", ""start_span"": 331, ""end_span"": 345, ""type"": ""Chemical/Drug""}, {""token"": ""promethazine"", ""start_span"": 347, ""end_span"": 359, ""type"": ""Chemical/Drug""}, {""token"": ""acridine"", ""start_span"": 379, ""end_span"": 387, ""type"": ""Chemical/Drug""}, {""token"": ""ibuprofen"", ""start_span"": 389, ""end_span"": 398, ""type"": ""Chemical/Drug""}, {""token"": ""8 - methoxypsoralen"", ""start_span"": 400, ""end_span"": 419, ""type"": ""Chemical/Drug""}, {""token"": ""retinoic acid"", ""start_span"": 421, ""end_span"": 434, ""type"": ""Chemical/Drug""}, {""token"": ""lactic acid"", ""start_span"": 462, ""end_span"": 473, ""type"": ""Chemical/Drug""}, {""token"": ""SDS"", ""start_span"": 475, ""end_span"": 478, ""type"": ""Chemical/Drug""}, {""token"": ""p - phenilendiamine"", ""start_span"": 483, ""end_span"": 502, ""type"": ""Chemical/Drug""}]"	valid
The aim of this work is to evaluate vitamins B antimutagenic effect against alkylatings methyl - N - nitro - N - nitrosoguanidine ( MNNG), ethyl - N - nitro - N ' - nitrosoguanidine ( ENNG), frameshift mutagens 2 - aminoanthracene ( 2AA) and 2 - acetyl - amino - fluorene ( 2AF) and ROS - generating antibiotics norfloxacin ( NOR) and nalidixic acid ( NLX), using the in vitro Ames test.	vitamins B,36,46,Chemical/Drug	methyl - N - nitro - N - nitrosoguanidine,88,129,Chemical/Drug	MNNG,132,136,Chemical/Drug	ethyl - N - nitro - N ' - nitrosoguanidine,139,181,Chemical/Drug	ENNG,184,188,Chemical/Drug	2 - aminoanthracene,211,230,Chemical/Drug	2AA,233,236,Chemical/Drug	2 - acetyl - amino - fluorene,242,271,Chemical/Drug	2AF,274,277,Chemical/Drug	norfloxacin,312,323,Chemical/Drug	NOR,326,329,Chemical/Drug	nalidixic acid,335,349,Chemical/Drug	NLX,352,355,Chemical/Drug	"[{""token"": ""vitamins B"", ""start_span"": 36, ""end_span"": 46, ""type"": ""Chemical/Drug""}, {""token"": ""methyl - N - nitro - N - nitrosoguanidine"", ""start_span"": 88, ""end_span"": 129, ""type"": ""Chemical/Drug""}, {""token"": ""MNNG"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Chemical/Drug""}, {""token"": ""ethyl - N - nitro - N ' - nitrosoguanidine"", ""start_span"": 139, ""end_span"": 181, ""type"": ""Chemical/Drug""}, {""token"": ""ENNG"", ""start_span"": 184, ""end_span"": 188, ""type"": ""Chemical/Drug""}, {""token"": ""2 - aminoanthracene"", ""start_span"": 211, ""end_span"": 230, ""type"": ""Chemical/Drug""}, {""token"": ""2AA"", ""start_span"": 233, ""end_span"": 236, ""type"": ""Chemical/Drug""}, {""token"": ""2 - acetyl - amino - fluorene"", ""start_span"": 242, ""end_span"": 271, ""type"": ""Chemical/Drug""}, {""token"": ""2AF"", ""start_span"": 274, ""end_span"": 277, ""type"": ""Chemical/Drug""}, {""token"": ""norfloxacin"", ""start_span"": 312, ""end_span"": 323, ""type"": ""Chemical/Drug""}, {""token"": ""NOR"", ""start_span"": 326, ""end_span"": 329, ""type"": ""Chemical/Drug""}, {""token"": ""nalidixic acid"", ""start_span"": 335, ""end_span"": 349, ""type"": ""Chemical/Drug""}, {""token"": ""NLX"", ""start_span"": 352, ""end_span"": 355, ""type"": ""Chemical/Drug""}]"	valid
Particularly, an increase in - pentadecenoic MUFA ( 15: 1), two n - 3 PUFAs alpha - linolenic acid [ ALA: 18: 3 n3] and eicosapentaenoic acid [ EPA: 20: 5 n - 3] and n - 6 PUFA: arachidonic acid [ ARA: 20: 4 n6], docosapentaenoic acid ( DPA) by PFOA and PFOS were observed.	pentadecenoic MUFA,31,49,Chemical/Drug	PUFAs,70,75,Chemical/Drug	alpha - linolenic acid,76,98,Chemical/Drug	ALA,101,104,Chemical/Drug	eicosapentaenoic acid,120,141,Chemical/Drug	EPA,144,147,Chemical/Drug	PUFA,172,176,Chemical/Drug	arachidonic acid,178,194,Chemical/Drug	ARA,197,200,Chemical/Drug	docosapentaenoic acid,213,234,Chemical/Drug	DPA,237,240,Chemical/Drug	PFOA,245,249,Chemical/Drug	PFOS,254,258,Chemical/Drug	"[{""token"": ""pentadecenoic MUFA"", ""start_span"": 31, ""end_span"": 49, ""type"": ""Chemical/Drug""}, {""token"": ""PUFAs"", ""start_span"": 70, ""end_span"": 75, ""type"": ""Chemical/Drug""}, {""token"": ""alpha - linolenic acid"", ""start_span"": 76, ""end_span"": 98, ""type"": ""Chemical/Drug""}, {""token"": ""ALA"", ""start_span"": 101, ""end_span"": 104, ""type"": ""Chemical/Drug""}, {""token"": ""eicosapentaenoic acid"", ""start_span"": 120, ""end_span"": 141, ""type"": ""Chemical/Drug""}, {""token"": ""EPA"", ""start_span"": 144, ""end_span"": 147, ""type"": ""Chemical/Drug""}, {""token"": ""PUFA"", ""start_span"": 172, ""end_span"": 176, ""type"": ""Chemical/Drug""}, {""token"": ""arachidonic acid"", ""start_span"": 178, ""end_span"": 194, ""type"": ""Chemical/Drug""}, {""token"": ""ARA"", ""start_span"": 197, ""end_span"": 200, ""type"": ""Chemical/Drug""}, {""token"": ""docosapentaenoic acid"", ""start_span"": 213, ""end_span"": 234, ""type"": ""Chemical/Drug""}, {""token"": ""DPA"", ""start_span"": 237, ""end_span"": 240, ""type"": ""Chemical/Drug""}, {""token"": ""PFOA"", ""start_span"": 245, ""end_span"": 249, ""type"": ""Chemical/Drug""}, {""token"": ""PFOS"", ""start_span"": 254, ""end_span"": 258, ""type"": ""Chemical/Drug""}]"	valid
Cereal - based food products ( n = 174) were analysed for the occurrence of deoxynivalenol, 3 - acetyldeoxynivalenol, 15 - acetyldeoxynivalenol, zearalenone, alpha - zearalenol, beta - zearalenol, T - 2 - toxin, HT - 2 - toxin, and their respective masked forms, including, deoxynivalenol - 3 - glucoside, zearalenone - 4 - glucoside, alpha - zearalenol - 4 - glucoside, beta - zearalenol - 4 - glucoside and zearalenone - 4 - sulfate.	deoxynivalenol,76,90,Chemical/Drug	3 - acetyldeoxynivalenol,92,116,Chemical/Drug	15 - acetyldeoxynivalenol,118,143,Chemical/Drug	zearalenone,145,156,Chemical/Drug	alpha - zearalenol,158,176,Chemical/Drug	beta - zearalenol,178,195,Chemical/Drug	T - 2 - toxin,197,210,Chemical/Drug	HT - 2 - toxin,212,226,Chemical/Drug	deoxynivalenol - 3 - glucoside,274,304,Chemical/Drug	zearalenone - 4 - glucoside,306,333,Chemical/Drug	alpha - zearalenol - 4 - glucoside,335,369,Chemical/Drug	beta - zearalenol - 4 - glucoside,371,404,Chemical/Drug	zearalenone - 4 - sulfate,409,434,Chemical/Drug	"[{""token"": ""deoxynivalenol"", ""start_span"": 76, ""end_span"": 90, ""type"": ""Chemical/Drug""}, {""token"": ""3 - acetyldeoxynivalenol"", ""start_span"": 92, ""end_span"": 116, ""type"": ""Chemical/Drug""}, {""token"": ""15 - acetyldeoxynivalenol"", ""start_span"": 118, ""end_span"": 143, ""type"": ""Chemical/Drug""}, {""token"": ""zearalenone"", ""start_span"": 145, ""end_span"": 156, ""type"": ""Chemical/Drug""}, {""token"": ""alpha - zearalenol"", ""start_span"": 158, ""end_span"": 176, ""type"": ""Chemical/Drug""}, {""token"": ""beta - zearalenol"", ""start_span"": 178, ""end_span"": 195, ""type"": ""Chemical/Drug""}, {""token"": ""T - 2 - toxin"", ""start_span"": 197, ""end_span"": 210, ""type"": ""Chemical/Drug""}, {""token"": ""HT - 2 - toxin"", ""start_span"": 212, ""end_span"": 226, ""type"": ""Chemical/Drug""}, {""token"": ""deoxynivalenol - 3 - glucoside"", ""start_span"": 274, ""end_span"": 304, ""type"": ""Chemical/Drug""}, {""token"": ""zearalenone - 4 - glucoside"", ""start_span"": 306, ""end_span"": 333, ""type"": ""Chemical/Drug""}, {""token"": ""alpha - zearalenol - 4 - glucoside"", ""start_span"": 335, ""end_span"": 369, ""type"": ""Chemical/Drug""}, {""token"": ""beta - zearalenol - 4 - glucoside"", ""start_span"": 371, ""end_span"": 404, ""type"": ""Chemical/Drug""}, {""token"": ""zearalenone - 4 - sulfate"", ""start_span"": 409, ""end_span"": 434, ""type"": ""Chemical/Drug""}]"	valid
Baseline cortisol ( Cor0), DHEA - S ( DHEA - S0), cortisol binding globulin ( CBG), ACTH, calculated free cortisol ( by Coolen ' s equation = CFC), free cortisol index ( FCI), 60 - min cortisol ( Cor60), and DHEA - S ( DHEA - S60), delta cortisol ( Delta Cor), delta DHEA - S ( Delta DHEA - S) responses were evaluated.	cortisol,9,17,Chemical/Drug	DHEA,27,31,Chemical/Drug	DHEA,38,42,Chemical/Drug	cortisol,50,58,Chemical/Drug	cortisol,106,114,Chemical/Drug	cortisol,153,161,Chemical/Drug	cortisol,185,193,Chemical/Drug	DHEA,208,212,Chemical/Drug	DHEA,219,223,Chemical/Drug	delta cortisol,232,246,Chemical/Drug	Delta Cor,249,258,Chemical/Drug	delta DHEA,261,271,Chemical/Drug	Delta DHEA,278,288,Chemical/Drug	"[{""token"": ""cortisol"", ""start_span"": 9, ""end_span"": 17, ""type"": ""Chemical/Drug""}, {""token"": ""DHEA"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Chemical/Drug""}, {""token"": ""DHEA"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Chemical/Drug""}, {""token"": ""cortisol"", ""start_span"": 50, ""end_span"": 58, ""type"": ""Chemical/Drug""}, {""token"": ""cortisol"", ""start_span"": 106, ""end_span"": 114, ""type"": ""Chemical/Drug""}, {""token"": ""cortisol"", ""start_span"": 153, ""end_span"": 161, ""type"": ""Chemical/Drug""}, {""token"": ""cortisol"", ""start_span"": 185, ""end_span"": 193, ""type"": ""Chemical/Drug""}, {""token"": ""DHEA"", ""start_span"": 208, ""end_span"": 212, ""type"": ""Chemical/Drug""}, {""token"": ""DHEA"", ""start_span"": 219, ""end_span"": 223, ""type"": ""Chemical/Drug""}, {""token"": ""delta cortisol"", ""start_span"": 232, ""end_span"": 246, ""type"": ""Chemical/Drug""}, {""token"": ""Delta Cor"", ""start_span"": 249, ""end_span"": 258, ""type"": ""Chemical/Drug""}, {""token"": ""delta DHEA"", ""start_span"": 261, ""end_span"": 271, ""type"": ""Chemical/Drug""}, {""token"": ""Delta DHEA"", ""start_span"": 278, ""end_span"": 288, ""type"": ""Chemical/Drug""}]"	valid
