Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	json	split
Using hypoxia - inducible factor - 1alpha ( HIF - 1alpha), a substrate of the Elongin B / C - Cul2 - VHL ligase, we demonstrate the critical role of substrate binding to promote Cul2 neddylation in a manner that does not require substrate ubiquitination but may involve a conformational change.	hypoxia - inducible factor - 1alpha,6,41,Protein	HIF - 1alpha,44,56,Protein	Elongin B,78,87,Protein	C,90,91,Protein	Cul2,94,98,Protein	VHL,101,104,Protein	Cul2,178,182,Protein	"[{""token"": ""hypoxia - inducible factor - 1alpha"", ""start_span"": 6, ""end_span"": 41, ""type"": ""Protein""}, {""token"": ""HIF - 1alpha"", ""start_span"": 44, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""Elongin B"", ""start_span"": 78, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""C"", ""start_span"": 90, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""Cul2"", ""start_span"": 94, ""end_span"": 98, ""type"": ""Protein""}, {""token"": ""VHL"", ""start_span"": 101, ""end_span"": 104, ""type"": ""Protein""}, {""token"": ""Cul2"", ""start_span"": 178, ""end_span"": 182, ""type"": ""Protein""}]"	train
Here we report the isolation of a novel protein, sentrin, which interacts with Fas / APO - 1 and TNF receptor 1 but not with FADD / MORT1 or CD40.	sentrin,49,56,Protein	Fas,79,82,Protein	APO - 1,85,92,Protein	TNF receptor 1,97,111,Protein	FADD,125,129,Protein	MORT1,132,137,Protein	CD40,141,145,Protein	"[{""token"": ""sentrin"", ""start_span"": 49, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""Fas"", ""start_span"": 79, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""APO - 1"", ""start_span"": 85, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""TNF receptor 1"", ""start_span"": 97, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""FADD"", ""start_span"": 125, ""end_span"": 129, ""type"": ""Protein""}, {""token"": ""MORT1"", ""start_span"": 132, ""end_span"": 137, ""type"": ""Protein""}, {""token"": ""CD40"", ""start_span"": 141, ""end_span"": 145, ""type"": ""Protein""}]"	valid
The site of Nedd8 ligation to Cul - 1 is essential, as SCF ( beta ( TrCP)) containing a K720R mutant of Cul - 1 only weakly supported IkappaBalpha ubiquitination compared to SCF ( beta ( TrCP)) containing WT Cul - 1, suggesting that the Nedd8 ligation of Cul - 1 affects the ubiquitination activity of SCF ( beta ( TrCP)).	Nedd8,12,17,Protein	Cul - 1,30,37,Protein	Cul - 1,104,111,Protein	IkappaBalpha,134,146,Protein	Cul - 1,208,215,Protein	Nedd8,237,242,Protein	Cul - 1,255,262,Protein	"[{""token"": ""Nedd8"", ""start_span"": 12, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""Cul - 1"", ""start_span"": 30, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""Cul - 1"", ""start_span"": 104, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""IkappaBalpha"", ""start_span"": 134, ""end_span"": 146, ""type"": ""Protein""}, {""token"": ""Cul - 1"", ""start_span"": 208, ""end_span"": 215, ""type"": ""Protein""}, {""token"": ""Nedd8"", ""start_span"": 237, ""end_span"": 242, ""type"": ""Protein""}, {""token"": ""Cul - 1"", ""start_span"": 255, ""end_span"": 262, ""type"": ""Protein""}]"	test
While nontransforming Src kinases including c - Src, nonmyristoylated forms of v - Src had no inhibitory effect on SHPS - 1 expression, transforming Src kinases including wild - type v - Src and chimeric mutant of c - Src bearing v - Src SH3 substantially suppressed the SHPS - 1 expression.	c - Src,44,51,Protein	v - Src,79,86,Protein	SHPS - 1,115,123,Protein	v - Src,183,190,Protein	c - Src,214,221,Protein	v - Src,230,237,Protein	SHPS - 1,271,279,Protein	"[{""token"": ""c - Src"", ""start_span"": 44, ""end_span"": 51, ""type"": ""Protein""}, {""token"": ""v - Src"", ""start_span"": 79, ""end_span"": 86, ""type"": ""Protein""}, {""token"": ""SHPS - 1"", ""start_span"": 115, ""end_span"": 123, ""type"": ""Protein""}, {""token"": ""v - Src"", ""start_span"": 183, ""end_span"": 190, ""type"": ""Protein""}, {""token"": ""c - Src"", ""start_span"": 214, ""end_span"": 221, ""type"": ""Protein""}, {""token"": ""v - Src"", ""start_span"": 230, ""end_span"": 237, ""type"": ""Protein""}, {""token"": ""SHPS - 1"", ""start_span"": 271, ""end_span"": 279, ""type"": ""Protein""}]"	test
Ubiquitin level was not significantly different between wild - type and Uchl3 knockout mice, whereas the levels of Nedd8 and the apoptotic proteins p53, Bax, and caspase3 were elevated in Uchl3 knockout mice.	Ubiquitin,0,9,Protein	Uchl3,72,77,Protein	Nedd8,115,120,Protein	p53,148,151,Protein	Bax,153,156,Protein	caspase3,162,170,Protein	Uchl3,188,193,Protein	"[{""token"": ""Ubiquitin"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Protein""}, {""token"": ""Uchl3"", ""start_span"": 72, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""Nedd8"", ""start_span"": 115, ""end_span"": 120, ""type"": ""Protein""}, {""token"": ""p53"", ""start_span"": 148, ""end_span"": 151, ""type"": ""Protein""}, {""token"": ""Bax"", ""start_span"": 153, ""end_span"": 156, ""type"": ""Protein""}, {""token"": ""caspase3"", ""start_span"": 162, ""end_span"": 170, ""type"": ""Protein""}, {""token"": ""Uchl3"", ""start_span"": 188, ""end_span"": 193, ""type"": ""Protein""}]"	test
To elucidate the mechanisms used during substrate lysine deconjugation, SUMO isoform processing and SUMO isoform interactions, X - ray structures were determined for a catalytically inert SENP2 protease domain in complex with conjugated RanGAP1 - SUMO - 1 or RanGAP1 - SUMO - 2, or in complex with SUMO - 2 or SUMO - 3 precursors.	SENP2,188,193,Protein	RanGAP1,237,244,Protein	SUMO - 1,247,255,Protein	RanGAP1,259,266,Protein	SUMO - 2,269,277,Protein	SUMO - 2,298,306,Protein	SUMO - 3,310,318,Protein	"[{""token"": ""SENP2"", ""start_span"": 188, ""end_span"": 193, ""type"": ""Protein""}, {""token"": ""RanGAP1"", ""start_span"": 237, ""end_span"": 244, ""type"": ""Protein""}, {""token"": ""SUMO - 1"", ""start_span"": 247, ""end_span"": 255, ""type"": ""Protein""}, {""token"": ""RanGAP1"", ""start_span"": 259, ""end_span"": 266, ""type"": ""Protein""}, {""token"": ""SUMO - 2"", ""start_span"": 269, ""end_span"": 277, ""type"": ""Protein""}, {""token"": ""SUMO - 2"", ""start_span"": 298, ""end_span"": 306, ""type"": ""Protein""}, {""token"": ""SUMO - 3"", ""start_span"": 310, ""end_span"": 318, ""type"": ""Protein""}]"	test
The von Hippel - Lindau ( VHL) tumour suppressor protein is important in the E3 ubiquitin ligase ECV ( Elongin B / C - CUL2 - VHL) - mediated destruction of hypoxia - inducible factor and the promotion of fibronectin ( FN) extracellular matrix assembly.	ubiquitin,80,89,Protein	Elongin B,103,112,Protein	C,115,116,Protein	CUL2,119,123,Protein	VHL,126,129,Protein	fibronectin,205,216,Protein	FN,219,221,Protein	"[{""token"": ""ubiquitin"", ""start_span"": 80, ""end_span"": 89, ""type"": ""Protein""}, {""token"": ""Elongin B"", ""start_span"": 103, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""C"", ""start_span"": 115, ""end_span"": 116, ""type"": ""Protein""}, {""token"": ""CUL2"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Protein""}, {""token"": ""VHL"", ""start_span"": 126, ""end_span"": 129, ""type"": ""Protein""}, {""token"": ""fibronectin"", ""start_span"": 205, ""end_span"": 216, ""type"": ""Protein""}, {""token"": ""FN"", ""start_span"": 219, ""end_span"": 221, ""type"": ""Protein""}]"	test
Furthermore, we reveal that IKK ' s phosphorylate not only IkappaBalpha, but also the CSN - subunit Csn5 / JAB1 ( c - Jun activation domain binding protein - 1) and that IKK2 influences ubiquitination of Csn5 / JAB1.	IkappaBalpha,59,71,Protein	Csn5,100,104,Protein	JAB1,107,111,Protein	c - Jun activation domain binding protein - 1,114,159,Protein	IKK2,170,174,Protein	Csn5,204,208,Protein	JAB1,211,215,Protein	"[{""token"": ""IkappaBalpha"", ""start_span"": 59, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""Csn5"", ""start_span"": 100, ""end_span"": 104, ""type"": ""Protein""}, {""token"": ""JAB1"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""c - Jun activation domain binding protein - 1"", ""start_span"": 114, ""end_span"": 159, ""type"": ""Protein""}, {""token"": ""IKK2"", ""start_span"": 170, ""end_span"": 174, ""type"": ""Protein""}, {""token"": ""Csn5"", ""start_span"": 204, ""end_span"": 208, ""type"": ""Protein""}, {""token"": ""JAB1"", ""start_span"": 211, ""end_span"": 215, ""type"": ""Protein""}]"	test
Among 10 miRNAs with known sequences, we have determined that miR - 148a reduces the expression of cullin - associated and neddylation - dissociated 1 ( CAND1), a negative regulator of SKP1 - Cullin1 - F - box ( SCF) ubiquitin ligases, by binding to the 3 ' - untranslated region of CAND1 mRNA.	miR - 148a,62,72,Protein	cullin - associated and neddylation - dissociated 1,99,150,Protein	CAND1,153,158,Protein	SKP1,185,189,Protein	Cullin1,192,199,Protein	ubiquitin,217,226,Protein	CAND1,283,288,Protein	"[{""token"": ""miR - 148a"", ""start_span"": 62, ""end_span"": 72, ""type"": ""Protein""}, {""token"": ""cullin - associated and neddylation - dissociated 1"", ""start_span"": 99, ""end_span"": 150, ""type"": ""Protein""}, {""token"": ""CAND1"", ""start_span"": 153, ""end_span"": 158, ""type"": ""Protein""}, {""token"": ""SKP1"", ""start_span"": 185, ""end_span"": 189, ""type"": ""Protein""}, {""token"": ""Cullin1"", ""start_span"": 192, ""end_span"": 199, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 217, ""end_span"": 226, ""type"": ""Protein""}, {""token"": ""CAND1"", ""start_span"": 283, ""end_span"": 288, ""type"": ""Protein""}]"	test
Sumo conjugation is initiated by the heterodimeric Aos1 - Uba2 E1 enzyme ( in humans called Sae1 - Uba2), which activates Sumo ' s C - terminus, binds the dedicated E2 enzyme Ubc9, and promotes Sumo C - terminal transfer between the Uba2 and Ubc9 catalytic cysteines.	Aos1,51,55,Protein	Uba2,58,62,Protein	Sae1,92,96,Protein	Uba2,99,103,Protein	Ubc9,175,179,Protein	Uba2,233,237,Protein	Ubc9,242,246,Protein	"[{""token"": ""Aos1"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""Uba2"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""Sae1"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""Uba2"", ""start_span"": 99, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""Ubc9"", ""start_span"": 175, ""end_span"": 179, ""type"": ""Protein""}, {""token"": ""Uba2"", ""start_span"": 233, ""end_span"": 237, ""type"": ""Protein""}, {""token"": ""Ubc9"", ""start_span"": 242, ""end_span"": 246, ""type"": ""Protein""}]"	test
