Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	json	split
"Our data recall the "" feed - forward "" interaction between T - bet and Runx3 that we previously described in CD4 + ( Th1) T cells ( 15) but are distinct in two respects: in differentiating Th1 cells, T - bet is induced by TCR signals and IFN - gamma, and in turn induces Runx3 ( 15), whereas in differentiating CD8 + T cells, preexisting Runx3 is required to induce the T - box transcription factor Eomes."	T - bet,59,66,Protein	Runx3,71,76,Protein	CD4,109,112,Protein	T - bet,200,207,Protein	IFN - gamma,238,249,Protein	Runx3,271,276,Protein	CD8,311,314,Protein	Runx3,338,343,Protein	Eomes,399,404,Protein	"[{""token"": ""T - bet"", ""start_span"": 59, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""Runx3"", ""start_span"": 71, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 109, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""T - bet"", ""start_span"": 200, ""end_span"": 207, ""type"": ""Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 238, ""end_span"": 249, ""type"": ""Protein""}, {""token"": ""Runx3"", ""start_span"": 271, ""end_span"": 276, ""type"": ""Protein""}, {""token"": ""CD8"", ""start_span"": 311, ""end_span"": 314, ""type"": ""Protein""}, {""token"": ""Runx3"", ""start_span"": 338, ""end_span"": 343, ""type"": ""Protein""}, {""token"": ""Eomes"", ""start_span"": 399, ""end_span"": 404, ""type"": ""Protein""}]"	train
Runx3 + / + or Runx3 - / - CD8 + T cells were activated and transduced with retroviruses bearing an empty IRES - GFP cassette ( GFP) or also encoding Eomes - VP16 ( Eo - VP16) or Myc - Runx3 ( Runx3).	Runx3,0,5,Protein	Runx3,15,20,Protein	CD8,27,30,Protein	GFP,113,116,Protein	Eomes - VP16,150,162,Protein	Eo - VP16,165,174,Protein	Myc,179,182,Protein	Runx3,185,190,Protein	Runx3,193,198,Protein	"[{""token"": ""Runx3"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""Runx3"", ""start_span"": 15, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""CD8"", ""start_span"": 27, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""GFP"", ""start_span"": 113, ""end_span"": 116, ""type"": ""Protein""}, {""token"": ""Eomes - VP16"", ""start_span"": 150, ""end_span"": 162, ""type"": ""Protein""}, {""token"": ""Eo - VP16"", ""start_span"": 165, ""end_span"": 174, ""type"": ""Protein""}, {""token"": ""Myc"", ""start_span"": 179, ""end_span"": 182, ""type"": ""Protein""}, {""token"": ""Runx3"", ""start_span"": 185, ""end_span"": 190, ""type"": ""Protein""}, {""token"": ""Runx3"", ""start_span"": 193, ""end_span"": 198, ""type"": ""Protein""}]"	train
Th1 cell development requires signal transducer and activator of transcription ( STAT) 1 activation, induced by type I IFN or IFN - gamma, the transcription factor T - box 21 ( T - bet), and IL - 12 - induced STAT4 signaling, which can couple with IL - 18 - induced IRAK and NF - kappaB transcription factors to drive the high amounts of IFN - gamma required to eradicate intracellular pathogens ( Glimcher and Murphy, 2000).	type I IFN,112,122,Protein	IFN - gamma,126,137,Protein	T - box 21,164,174,Protein	T - bet,177,184,Protein	IL - 12,191,198,Protein	STAT4,209,214,Protein	IL - 18,248,255,Protein	IRAK,266,270,Protein	IFN - gamma,338,349,Protein	"[{""token"": ""type I IFN"", ""start_span"": 112, ""end_span"": 122, ""type"": ""Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 126, ""end_span"": 137, ""type"": ""Protein""}, {""token"": ""T - box 21"", ""start_span"": 164, ""end_span"": 174, ""type"": ""Protein""}, {""token"": ""T - bet"", ""start_span"": 177, ""end_span"": 184, ""type"": ""Protein""}, {""token"": ""IL - 12"", ""start_span"": 191, ""end_span"": 198, ""type"": ""Protein""}, {""token"": ""STAT4"", ""start_span"": 209, ""end_span"": 214, ""type"": ""Protein""}, {""token"": ""IL - 18"", ""start_span"": 248, ""end_span"": 255, ""type"": ""Protein""}, {""token"": ""IRAK"", ""start_span"": 266, ""end_span"": 270, ""type"": ""Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 338, ""end_span"": 349, ""type"": ""Protein""}]"	train
Mutant BMDC had defective activation of NF - kappaB signaling, whereas the MAPK1 / 3 ( ERK1 / 2) and MAPK11 / 12 / 13 / 14 ( p38 MAP kinase isoforms) and TBK1 signaling pathways were intact.	MAPK1,75,80,Protein	3,83,84,Protein	ERK1,87,91,Protein	2,94,95,Protein	MAPK11,101,107,Protein	12,110,112,Protein	13,115,117,Protein	14,120,122,Protein	TBK1,154,158,Protein	"[{""token"": ""MAPK1"", ""start_span"": 75, ""end_span"": 80, ""type"": ""Protein""}, {""token"": ""3"", ""start_span"": 83, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""ERK1"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""2"", ""start_span"": 94, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""MAPK11"", ""start_span"": 101, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""12"", ""start_span"": 110, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""13"", ""start_span"": 115, ""end_span"": 117, ""type"": ""Protein""}, {""token"": ""14"", ""start_span"": 120, ""end_span"": 122, ""type"": ""Protein""}, {""token"": ""TBK1"", ""start_span"": 154, ""end_span"": 158, ""type"": ""Protein""}]"	train
Immunoblots were performed with antibodies ( Cell Signaling Technology) against p - IKK1 / 2 ( # 2697), p - IkappaBalpha ( # 9246), IkappaBalpha ( # 4814), p - TBK1 ( # 5483), p - p38 ( # 9216), p38 ( # 9212), p - ERK1 / 2 ( # 4376), and ERK1 / 2 ( # 4695).	IKK1,84,88,Protein	2,91,92,Protein	IkappaBalpha,108,120,Protein	IkappaBalpha,132,144,Protein	TBK1,160,164,Protein	ERK1,214,218,Protein	2,221,222,Protein	ERK1,238,242,Protein	2,245,246,Protein	"[{""token"": ""IKK1"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""2"", ""start_span"": 91, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""IkappaBalpha"", ""start_span"": 108, ""end_span"": 120, ""type"": ""Protein""}, {""token"": ""IkappaBalpha"", ""start_span"": 132, ""end_span"": 144, ""type"": ""Protein""}, {""token"": ""TBK1"", ""start_span"": 160, ""end_span"": 164, ""type"": ""Protein""}, {""token"": ""ERK1"", ""start_span"": 214, ""end_span"": 218, ""type"": ""Protein""}, {""token"": ""2"", ""start_span"": 221, ""end_span"": 222, ""type"": ""Protein""}, {""token"": ""ERK1"", ""start_span"": 238, ""end_span"": 242, ""type"": ""Protein""}, {""token"": ""2"", ""start_span"": 245, ""end_span"": 246, ""type"": ""Protein""}]"	train
The CD4 + CD25 -, CD45RA +, CD45RO +, and CD4 + CD45RO + CD25 - were able to significantly induce FOXP3 mRNA up to 30 - fold upon TCR activation and addition of TGF - beta.	CD4,4,7,Protein	CD25,10,14,Protein	CD45RA,18,24,Protein	CD45RO,28,34,Protein	CD4,42,45,Protein	CD45RO,48,54,Protein	CD25,57,61,Protein	FOXP3,98,103,Protein	TGF - beta,161,171,Protein	"[{""token"": ""CD4"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 10, ""end_span"": 14, ""type"": ""Protein""}, {""token"": ""CD45RA"", ""start_span"": 18, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""CD45RO"", ""start_span"": 28, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 42, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""CD45RO"", ""start_span"": 48, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""FOXP3"", ""start_span"": 98, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""TGF - beta"", ""start_span"": 161, ""end_span"": 171, ""type"": ""Protein""}]"	valid
Upon administration of rmIL - 4 plus anti - IL - 4 mAb complexes, the total number of CD4 + CD25 + T cell, as well as the Foxp3 + T cells diminished by half ( Figure S2G and S2H), confirming that the lower percentage was not due to an increase in the CD4 + CD25 - cells, but a real decrease of CD4 + CD25 + T cells.	rmIL - 4,23,31,Protein	IL - 4,44,50,Protein	CD4,86,89,Protein	CD25,92,96,Protein	Foxp3,122,127,Protein	CD4,251,254,Protein	CD25,257,261,Protein	CD4,294,297,Protein	CD25,300,304,Protein	"[{""token"": ""rmIL - 4"", ""start_span"": 23, ""end_span"": 31, ""type"": ""Protein""}, {""token"": ""IL - 4"", ""start_span"": 44, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 86, ""end_span"": 89, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 122, ""end_span"": 127, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 251, ""end_span"": 254, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 257, ""end_span"": 261, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 294, ""end_span"": 297, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 300, ""end_span"": 304, ""type"": ""Protein""}]"	valid
CD4 + T cells were gated on the basis of CD45RO and CD25 surface expression ( upper panel), and gated cells are shown below for the CD45RO + CD25 - ( A, left panel), the CD45RO + CD25 + ( right panel), and the CD45RO - CD25 - subsets ( central panel).	CD4,0,3,Protein	CD45RO,41,47,Protein	CD25,52,56,Protein	CD45RO,132,138,Protein	CD25,141,145,Protein	CD45RO,170,176,Protein	CD25,179,183,Protein	CD45RO,210,216,Protein	CD25,219,223,Protein	"[{""token"": ""CD4"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Protein""}, {""token"": ""CD45RO"", ""start_span"": 41, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 52, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""CD45RO"", ""start_span"": 132, ""end_span"": 138, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 141, ""end_span"": 145, ""type"": ""Protein""}, {""token"": ""CD45RO"", ""start_span"": 170, ""end_span"": 176, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 179, ""end_span"": 183, ""type"": ""Protein""}, {""token"": ""CD45RO"", ""start_span"": 210, ""end_span"": 216, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 219, ""end_span"": 223, ""type"": ""Protein""}]"	valid
Human CD4 + CD127 - CD25high and CD4 + CD127 + CD25neg cells were purified by flow cytometry using anti - CD127, anti - CD25 - PC5 ( Beckman Coulter), and anti - CD4 - FITC antibodies ( Dako).	CD4,6,9,Protein	CD127,12,17,Protein	CD25high,20,28,Protein	CD4,33,36,Protein	CD127,39,44,Protein	CD25neg,47,54,Protein	CD127,106,111,Protein	CD25,120,124,Protein	CD4,162,165,Protein	"[{""token"": ""CD4"", ""start_span"": 6, ""end_span"": 9, ""type"": ""Protein""}, {""token"": ""CD127"", ""start_span"": 12, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""CD25high"", ""start_span"": 20, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 33, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""CD127"", ""start_span"": 39, ""end_span"": 44, ""type"": ""Protein""}, {""token"": ""CD25neg"", ""start_span"": 47, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""CD127"", ""start_span"": 106, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 120, ""end_span"": 124, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 162, ""end_span"": 165, ""type"": ""Protein""}]"	valid
( A) RUNX1, RUNX3, and FOXP3 mRNA induction in human naive CD4 + T cells after alone or combined anti - CD2 / 3 / 28 mAb and TGF - beta stimulation in the presence of IL - 2.	RUNX1,5,10,Protein	RUNX3,12,17,Protein	FOXP3,23,28,Protein	CD4,59,62,Protein	CD2,104,107,Protein	3,110,111,Protein	28,114,116,Protein	TGF - beta,125,135,Protein	IL - 2,167,173,Protein	"[{""token"": ""RUNX1"", ""start_span"": 5, ""end_span"": 10, ""type"": ""Protein""}, {""token"": ""RUNX3"", ""start_span"": 12, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""FOXP3"", ""start_span"": 23, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 59, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""CD2"", ""start_span"": 104, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""3"", ""start_span"": 110, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""28"", ""start_span"": 114, ""end_span"": 116, ""type"": ""Protein""}, {""token"": ""TGF - beta"", ""start_span"": 125, ""end_span"": 135, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 167, ""end_span"": 173, ""type"": ""Protein""}]"	valid
