Sentence	entity_1	entity_2	entity_3	json	split
The same reactor was used in three different experiments: ( i) determination of the optimal Hydraulic Retention Time ( HRT) ( Alk - HRT); ( ii) determination of the optimal Organic Loading Rate ( OLR) ( Alk - OLR) and ( iii) operation at optimal identified parameters ( Alk - Opt).	reactor,9,16,engineered	Alk - OLR,203,212,engineered	Alk - Opt,270,279,engineered	"[{""token"": ""reactor"", ""start_span"": 9, ""end_span"": 16, ""type"": ""engineered""}, {""token"": ""Alk - OLR"", ""start_span"": 203, ""end_span"": 212, ""type"": ""engineered""}, {""token"": ""Alk - Opt"", ""start_span"": 270, ""end_span"": 279, ""type"": ""engineered""}]"	train
Sample collection Samples of microbial consortia involved in biogas production were collected from ( i) the fermenter tank of an agricultural two - stage biogas plant anaerobic digester ( AD) in Miedzyrzec Podlaski ( Poland) and ( ii) an effluent sludge tank from a one - stage wastewater treatment plant anaerobic digester ( WD) at MPWIK Pulawy ( Poland).	fermenter tank,108,122,engineered	effluent sludge tank,238,258,engineered	MPWIK,333,338,engineered	"[{""token"": ""fermenter tank"", ""start_span"": 108, ""end_span"": 122, ""type"": ""engineered""}, {""token"": ""effluent sludge tank"", ""start_span"": 238, ""end_span"": 258, ""type"": ""engineered""}, {""token"": ""MPWIK"", ""start_span"": 333, ""end_span"": 338, ""type"": ""engineered""}]"	train
The warming treatment simulates the predictions derived from six atmosphere general circulation models for the second half of the twenty - first century in the Western Mediterranean region ( De Castro et al., 2005), and was achieved by installing ventilated open - top chambers ( OTCs), which are hexagonal chambers with sloping slides of 40 cm x 50 cm x 32 cm ( Fig. S2).	chambers,269,277,engineered	OTCs,280,284,engineered	chambers,307,315,engineered	"[{""token"": ""chambers"", ""start_span"": 269, ""end_span"": 277, ""type"": ""engineered""}, {""token"": ""OTCs"", ""start_span"": 280, ""end_span"": 284, ""type"": ""engineered""}, {""token"": ""chambers"", ""start_span"": 307, ""end_span"": 315, ""type"": ""engineered""}]"	train
Anaerobic Membrane Bioreactor Operation A side - stream AnMBR with a bioreactor with working volume of 29 L was used to treat synthetic domestic wastewater ( Figure 1).	Bioreactor,19,29,engineered	AnMBR,56,61,engineered	bioreactor,69,79,engineered	"[{""token"": ""Bioreactor"", ""start_span"": 19, ""end_span"": 29, ""type"": ""engineered""}, {""token"": ""AnMBR"", ""start_span"": 56, ""end_span"": 61, ""type"": ""engineered""}, {""token"": ""bioreactor"", ""start_span"": 69, ""end_span"": 79, ""type"": ""engineered""}]"	train
In order to better understand the methanogenic communities that are responsible for methane production in acetate - fed MECs operated with current generation, we examined microbial communities and gas production rates in MECs using two different inoculum sources: sediments from a natural bog; and anaerobic digester ( AD) sludge from a local wastewater treatment plant.	MECs,120,124,engineered	MECs,221,225,engineered	wastewater treatment plant,343,369,engineered	"[{""token"": ""MECs"", ""start_span"": 120, ""end_span"": 124, ""type"": ""engineered""}, {""token"": ""MECs"", ""start_span"": 221, ""end_span"": 225, ""type"": ""engineered""}, {""token"": ""wastewater treatment plant"", ""start_span"": 343, ""end_span"": 369, ""type"": ""engineered""}]"	train
Activated sludge bacterial communities of typical wastewater treatment plants: distinct genera identification and metabolic potential differential analysis To investigate the differences in activated sludge microbial communities of different wastewater treatment plants ( WWTPs) and understand their metabolic potentials, we sampled sludge from every biological treatment unit of 5 full - scale waste water treatment systems in 3 typical Chinese municipal WWTPs.	biological treatment unit,351,376,engineered	waste water treatment systems,395,424,engineered	WWTPs,456,461,engineered	"[{""token"": ""biological treatment unit"", ""start_span"": 351, ""end_span"": 376, ""type"": ""engineered""}, {""token"": ""waste water treatment systems"", ""start_span"": 395, ""end_span"": 424, ""type"": ""engineered""}, {""token"": ""WWTPs"", ""start_span"": 456, ""end_span"": 461, ""type"": ""engineered""}]"	train
Materials and methods Study design and subjects This study was performed in healthy infants whose mothers delivered at the Research Institute of Tropical medicine associated clinic in Muntinlupa City, Philippines or Chris Hani Baragwanath Hospital in Johannesburg, South Africa between June 2012 and January 2013.	Research Institute of Tropical medicine,123,162,engineered	clinic,174,180,engineered	Chris Hani Baragwanath Hospital,216,247,engineered	"[{""token"": ""Research Institute of Tropical medicine"", ""start_span"": 123, ""end_span"": 162, ""type"": ""engineered""}, {""token"": ""clinic"", ""start_span"": 174, ""end_span"": 180, ""type"": ""engineered""}, {""token"": ""Chris Hani Baragwanath Hospital"", ""start_span"": 216, ""end_span"": 247, ""type"": ""engineered""}]"	train
The laboratory - scale CMSS system consisting of a 10L gas - tight continuously stirred tank reactor, and two clarifier tanks were operated at ambient temperature ( 23C).	CMSS system,23,34,engineered	tank reactor,88,100,engineered	clarifier tanks,110,125,engineered	"[{""token"": ""CMSS system"", ""start_span"": 23, ""end_span"": 34, ""type"": ""engineered""}, {""token"": ""tank reactor"", ""start_span"": 88, ""end_span"": 100, ""type"": ""engineered""}, {""token"": ""clarifier tanks"", ""start_span"": 110, ""end_span"": 125, ""type"": ""engineered""}]"	train
In the case of M1B, after taking samples for total DNA isolation, the medium flow was switched off for 3weeks during which the COD of the fluid phase in the bioreactor dropped below 100mg O2 / L. Then, the medium with a known carbon isotopic composition was supplied to the bioreactor again and fermentation gas samples were taken for isotope analyses over the next 7weeks.	M1B,15,18,engineered	bioreactor,157,167,engineered	bioreactor,274,284,engineered	"[{""token"": ""M1B"", ""start_span"": 15, ""end_span"": 18, ""type"": ""engineered""}, {""token"": ""bioreactor"", ""start_span"": 157, ""end_span"": 167, ""type"": ""engineered""}, {""token"": ""bioreactor"", ""start_span"": 274, ""end_span"": 284, ""type"": ""engineered""}]"	train
The inoculum anaerobic granular sludge originated from a full - scale reactor treating brewery wastewater, information regarding operational conditions of this reactor was reported previously ( Gonzalez - Gil et al., 2001).	reactor,70,77,engineered	brewery,87,94,engineered	reactor,160,167,engineered	"[{""token"": ""reactor"", ""start_span"": 70, ""end_span"": 77, ""type"": ""engineered""}, {""token"": ""brewery"", ""start_span"": 87, ""end_span"": 94, ""type"": ""engineered""}, {""token"": ""reactor"", ""start_span"": 160, ""end_span"": 167, ""type"": ""engineered""}]"	train
