The leukemia cell lines K562 and HL - 60 had no detectable TGF - beta RII mRNA.	"leukemia cell lines K562	4	28	Cell"	"HL - 60	33	40	Cell"	"[{""token"": ""leukemia cell lines K562"", ""start_span"": 4, ""end_span"": 28, ""type"": ""Cell""}, {""token"": ""HL - 60"", ""start_span"": 33, ""end_span"": 40, ""type"": ""Cell""}]"
Decreased expression of TGF - beta RII in CML cells and leukemia cell lines raises the possibility that altered expression of the receptor may play a role in the initiation and / or maintenance of the disease state.	"CML cells	42	51	Cell"	"leukemia cell lines	56	75	Cell"	"[{""token"": ""CML cells"", ""start_span"": 42, ""end_span"": 51, ""type"": ""Cell""}, {""token"": ""leukemia cell lines"", ""start_span"": 56, ""end_span"": 75, ""type"": ""Cell""}]"
Conditioned media from insulin - treated RPE cells were assayed for VEGF protein and capillary endothelial cell proliferation.	"RPE cells	41	50	Cell"	"capillary endothelial cell	85	111	Cell"	"[{""token"": ""RPE cells"", ""start_span"": 41, ""end_span"": 50, ""type"": ""Cell""}, {""token"": ""capillary endothelial cell"", ""start_span"": 85, ""end_span"": 111, ""type"": ""Cell""}]"
The insulin - conditioned RPE cell media stimulated capillary endothelial cell proliferation, an effect that was completely blocked by anti - VEGF neutralizing antibody.	"RPE cell	26	34	Cell"	"capillary endothelial cell	52	78	Cell"	"[{""token"": ""RPE cell"", ""start_span"": 26, ""end_span"": 34, ""type"": ""Cell""}, {""token"": ""capillary endothelial cell"", ""start_span"": 52, ""end_span"": 78, ""type"": ""Cell""}]"
LMP1 of Epstein - Barr virus induces proliferation of primary mouse embryonic fibroblasts and cooperatively transforms the cells with a p16 - insensitive CDK4 oncogene.	"embryonic fibroblasts	68	89	Cell"	"cells	123	128	Cell"	"[{""token"": ""embryonic fibroblasts"", ""start_span"": 68, ""end_span"": 89, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 123, ""end_span"": 128, ""type"": ""Cell""}]"
Previous work demonstrates that the LMP1 gene of EBV is sufficient to transform certain established rodent fibroblast cell lines and to induce the tumorigenicity of some human epithelial cell lines.	"fibroblast cell lines	107	128	Cell"	"epithelial cell lines	176	197	Cell"	"[{""token"": ""fibroblast cell lines"", ""start_span"": 107, ""end_span"": 128, ""type"": ""Cell""}, {""token"": ""epithelial cell lines"", ""start_span"": 176, ""end_span"": 197, ""type"": ""Cell""}]"
In addition, LMP1 plays pleiotropic roles in cell growth arrest, differentiation, and apoptosis, depending on the background of the target cells.	"cell	45	49	Cell"	"cells	139	144	Cell"	"[{""token"": ""cell"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 139, ""end_span"": 144, ""type"": ""Cell""}]"
To examine the roles of LMP1 in cell proliferation and growth regulation in primary culture cells, we constructed a recombinant retrovirus containing an LMP1 gene.	"cell	32	36	Cell"	"primary culture cells	76	97	Cell"	"[{""token"": ""cell"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Cell""}, {""token"": ""primary culture cells"", ""start_span"": 76, ""end_span"": 97, ""type"": ""Cell""}]"
With this retrovirus, LMP1 was shown to stimulate the proliferation of primary mouse embryonic fibroblasts ( MEF cells).	"embryonic fibroblasts	85	106	Cell"	"MEF cells	109	118	Cell"	"[{""token"": ""embryonic fibroblasts"", ""start_span"": 85, ""end_span"": 106, ""type"": ""Cell""}, {""token"": ""MEF cells"", ""start_span"": 109, ""end_span"": 118, ""type"": ""Cell""}]"
It has a mitogenic activity for MEF cells, as demonstrated by an immediate induction of cell doubling time.	"MEF cells	32	41	Cell"	"cell	88	92	Cell"	"[{""token"": ""MEF cells"", ""start_span"": 32, ""end_span"": 41, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Cell""}]"
In addition, it significantly extends the passage number of MEF cells to more than 30 after retroviral infection, compared with less than 5 for uninfected MEF cells.	"MEF cells	60	69	Cell"	"MEF cells	155	164	Cell"	"[{""token"": ""MEF cells"", ""start_span"": 60, ""end_span"": 69, ""type"": ""Cell""}, {""token"": ""MEF cells"", ""start_span"": 155, ""end_span"": 164, ""type"": ""Cell""}]"
The ras - transformed, ATX - secreting subclones had enhanced motility to ATX as chemoattractant, but there was little difference in the motility responses of NIH3T3 cells transfected with atx, an inactive mutant gene, or empty vector.	"subclones	39	48	Cell"	"NIH3T3 cells	159	171	Cell"	"[{""token"": ""subclones"", ""start_span"": 39, ""end_span"": 48, ""type"": ""Cell""}, {""token"": ""NIH3T3 cells"", ""start_span"": 159, ""end_span"": 171, ""type"": ""Cell""}]"
Combination of ATX expression with ras transformation produced cells with greatly amplified tumorigenesis and metastatic potential compared to ras - transformed controls.	"cells	63	68	Cell"	"controls	161	169	Cell"	"[{""token"": ""cells"", ""start_span"": 63, ""end_span"": 68, ""type"": ""Cell""}, {""token"": ""controls"", ""start_span"": 161, ""end_span"": 169, ""type"": ""Cell""}]"
Here we describe a 185 - kDa tandem duplication mutant ( TDM) that is expressed in KE and A - 1235 glioma cells, along with certain functional characteristics of the mutants.	"KE	83	85	Cell"	"A - 1235 glioma cells	90	111	Cell"	"[{""token"": ""KE"", ""start_span"": 83, ""end_span"": 85, ""type"": ""Cell""}, {""token"": ""A - 1235 glioma cells"", ""start_span"": 90, ""end_span"": 111, ""type"": ""Cell""}]"
The corresponding transcripts in KE and A - 1235 cells contain 1053 additional nucleotides representing an in - frame duplication of exons 18 through 25 which encode the entire TK region and a portion of the CAIN domain.	"KE	33	35	Cell"	"A - 1235 cells	40	54	Cell"	"[{""token"": ""KE"", ""start_span"": 33, ""end_span"": 35, ""type"": ""Cell""}, {""token"": ""A - 1235 cells"", ""start_span"": 40, ""end_span"": 54, ""type"": ""Cell""}]"
This is primarily based on limited in vitro studies on tumor cells derived from transitional cell carcinoma of the bladder that revealed a dose - and time - dependent inhibition of cell growth by ciprofloxacin at concentrations that are easily attainable in the urine of patients.	"tumor cells	55	66	Cell"	"cell	93	97	Cell"	"[{""token"": ""tumor cells"", ""start_span"": 55, ""end_span"": 66, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Cell""}]"
Hence, the down - regulation of p21WAF1, together with the alterations in Bax and cdk2 as observed in our studies, may define a novel mechanism by which ciprofloxacin inhibits tumor cell growth and induces apoptotic cell death.	"tumor cell	176	186	Cell"	"cell	216	220	Cell"	"[{""token"": ""tumor cell"", ""start_span"": 176, ""end_span"": 186, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 216, ""end_span"": 220, ""type"": ""Cell""}]"
MATERIALS AND METHODS: Human neuroblastoma cells and human Chang hepatocytes are grown in a noncontact, coculture system.	"neuroblastoma cells	29	48	Cell"	"Chang hepatocytes	59	76	Cell"	"[{""token"": ""neuroblastoma cells"", ""start_span"": 29, ""end_span"": 48, ""type"": ""Cell""}, {""token"": ""Chang hepatocytes"", ""start_span"": 59, ""end_span"": 76, ""type"": ""Cell""}]"
Neuroblastoma cells and Chang hepatocytes are then plated separately with the conditioned medium and their own standard growth medium as controls.	"Neuroblastoma cells	0	19	Cell"	"Chang hepatocytes	24	41	Cell"	"[{""token"": ""Neuroblastoma cells"", ""start_span"": 0, ""end_span"": 19, ""type"": ""Cell""}, {""token"": ""Chang hepatocytes"", ""start_span"": 24, ""end_span"": 41, ""type"": ""Cell""}]"
Previously we demonstrated that N1 ( ic) and N2 ( ic) could transform E1A immortalized baby rat kidney cells ( RKE) in vitro.	"kidney cells	96	108	Cell"	"RKE	111	114	Cell"	"[{""token"": ""kidney cells"", ""start_span"": 96, ""end_span"": 108, ""type"": ""Cell""}, {""token"": ""RKE"", ""start_span"": 111, ""end_span"": 114, ""type"": ""Cell""}]"
Here we show that expression of TEL in Ras - transformed NIH 3T3 cells inhibits cell growth in soft agar and in normal cultures.	"NIH 3T3 cells	57	70	Cell"	"cell	80	84	Cell"	"[{""token"": ""NIH 3T3 cells"", ""start_span"": 57, ""end_span"": 70, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Cell""}]"
When BB - 94, a matrix metalloproteinase inhibitor, was added to the culture medium of Ras - expressing cells, it caused a cell aggregation phenotype similar to that caused by TEL expression.	"cells	104	109	Cell"	"cell	123	127	Cell"	"[{""token"": ""cells"", ""start_span"": 104, ""end_span"": 109, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 123, ""end_span"": 127, ""type"": ""Cell""}]"
These data provide a mechanism whereby VASP can influence endothelial migration and organization during capillary formation and modulate vascular permeability via effects on endothelial cell contractility.	"endothelial	58	69	Cell"	"endothelial cell	174	190	Cell"	"[{""token"": ""endothelial"", ""start_span"": 58, ""end_span"": 69, ""type"": ""Cell""}, {""token"": ""endothelial cell"", ""start_span"": 174, ""end_span"": 190, ""type"": ""Cell""}]"
The formation of functional units with these various proteins allows the uPAR to mediate the focused proteolysis required for cell migration and invasion and to contribute both directly and indirectly to cell adhesive processes in a non - proteolytic fashion.	"cell	126	130	Cell"	"cell	204	208	Cell"	"[{""token"": ""cell"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 204, ""end_span"": 208, ""type"": ""Cell""}]"
