Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
Unlike the regulatory mechanism of FimA by FimR, this regulation of the mfa1 gene is accomplished by FimR directly binding to the promoter region of mfa1.	FimA,35,39,Protein	FimR,43,47,Protein	mfa1,72,76,Protein	FimR,101,105,Protein	mfa1,149,153,Protein	"[{""token"": ""FimA"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 149, ""end_span"": 153, ""type"": ""Protein""}]"	train
FimR, a response regulator of the fimS / fimR two - component system was identified, and FimA expression was found to be dramatically reduced in fimR mutants ( Hayashi et al., 2000).	FimR,0,4,Protein	fimS,34,38,Protein	fimR,41,45,Protein	FimA,89,93,Protein	fimR,145,149,Protein	"[{""token"": ""FimR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""fimS"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""FimA"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 145, ""end_span"": 149, ""type"": ""Protein""}]"	train
Evidence is provided that unlike FimR - dependent fimA expression, FimR regulates mfa1 expression by directly binding to the promoter region of mfa1.	FimR,33,37,Protein	fimA,50,54,Protein	FimR,67,71,Protein	mfa1,82,86,Protein	mfa1,144,148,Protein	"[{""token"": ""FimR"", ""start_span"": 33, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 144, ""end_span"": 148, ""type"": ""Protein""}]"	train
Role of FimR in mfa1 expression The fimA gene is the only gene known to be tightly controlled by the FimS / FimR system.	FimR,8,12,Protein	mfa1,16,20,Protein	fimA,36,40,Protein	FimS,101,105,Protein	FimR,108,112,Protein	"[{""token"": ""FimR"", ""start_span"": 8, ""end_span"": 12, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""FimS"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Protein""}]"	train
It was postulated that different mechanisms might be involved in FimR - mediated mfa1 expression, since expression regulation of mfa1 by FimR was not controlled as tightly as observed for fimA expression.	FimR,65,69,Protein	mfa1,81,85,Protein	mfa1,129,133,Protein	FimR,137,141,Protein	fimA,188,192,Protein	"[{""token"": ""FimR"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 129, ""end_span"": 133, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 137, ""end_span"": 141, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 188, ""end_span"": 192, ""type"": ""Protein""}]"	train
A comparison of the transcriptional level of the mfa1 in P. gingivalis wild - type strain and in the fimR mutant indicates that the FimS / FimR system is a positive regulator for the mfa1 gene, although the system controls two fimbrial genes at different levels.	mfa1,49,53,Protein	fimR,101,105,Protein	FimS,132,136,Protein	FimR,139,143,Protein	mfa1,183,187,Protein	"[{""token"": ""mfa1"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""FimS"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 139, ""end_span"": 143, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 183, ""end_span"": 187, ""type"": ""Protein""}]"	train
As depicted in Figure S2, hybridization of SpeI - digested genomic DNA with a 32P labeled phoP probe resulted in two bands of different sizes, one corresponding to the SpeI fragment harboring the H37Ra phoP gene ( 50 kb), and the other to the larger SpeI fragment created by integration of the I36 cosmid into the genome of H37Ra at the attB site.	SpeI,43,47,Protein	phoP,90,94,Protein	SpeI,168,172,Protein	phoP,202,206,Protein	SpeI,250,254,Protein	"[{""token"": ""SpeI"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""SpeI"", ""start_span"": 168, ""end_span"": 172, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 202, ""end_span"": 206, ""type"": ""Protein""}, {""token"": ""SpeI"", ""start_span"": 250, ""end_span"": 254, ""type"": ""Protein""}]"	train
As shown in Figure 3, splenocytes from mice that were inoculated with H37Rv produced high amounts of IFN - gamma upon stimulation with ESAT - 6 or CFP - 10, whereas the responses of H37Ra, H37Ra:: fadE5, and H37Ra:: rpsL infected mice were extremely weak.	IFN - gamma,101,112,Protein	ESAT - 6,135,143,Protein	CFP - 10,147,155,Protein	fadE5,197,202,Protein	rpsL,216,220,Protein	"[{""token"": ""IFN - gamma"", ""start_span"": 101, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 135, ""end_span"": 143, ""type"": ""Protein""}, {""token"": ""CFP - 10"", ""start_span"": 147, ""end_span"": 155, ""type"": ""Protein""}, {""token"": ""fadE5"", ""start_span"": 197, ""end_span"": 202, ""type"": ""Protein""}, {""token"": ""rpsL"", ""start_span"": 216, ""end_span"": 220, ""type"": ""Protein""}]"	train
The observation that knocking - in the ESX - 1 region of H37Rv into H37Ra ( H37Ra:: RD1 - ppe68 - ko), and the resultant diploidy, did not improve the ESAT - 6 - specific T cell responses ( Figure 3B), further argues that PhoP - dependent ESAT - secretion might be regulated via a mechanism that lies outside the RD1 region.	ESX - 1,39,46,Protein	RD1,84,87,Protein	ppe68,90,95,Protein	ESAT - 6,151,159,Protein	PhoP,222,226,Protein	"[{""token"": ""ESX - 1"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""RD1"", ""start_span"": 84, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""ppe68"", ""start_span"": 90, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 151, ""end_span"": 159, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 222, ""end_span"": 226, ""type"": ""Protein""}]"	train
As closer inspection of the available literature on transcriptional analyses of a H37Rv - phoP ko strain [ 21] and H37Ra [ 12] suggested that the expression of gene cluster rv3612c - rv3616c is reduced in both strains, we evaluated the expression level of rv3614c in H37Rv, H37Ra, and H37Ra:: phoP by quantitative real time PCR ( qRT - PCR).	phoP,90,94,Protein	rv3612c,173,180,Protein	rv3616c,183,190,Protein	rv3614c,256,263,Protein	phoP,293,297,Protein	"[{""token"": ""phoP"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""rv3612c"", ""start_span"": 173, ""end_span"": 180, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 183, ""end_span"": 190, ""type"": ""Protein""}, {""token"": ""rv3614c"", ""start_span"": 256, ""end_span"": 263, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 293, ""end_span"": 297, ""type"": ""Protein""}]"	train
