Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	json	split
In the present study we investigated the possible involvement of the mitogen - activated protein kinase family members extracellular - regulated kinase 1 / 2 ( ERK1 / 2) and c - Jun N - terminal kinase ( JNK) in mediating IL - 6 gene expression in human monocytes, in particular their role in enhancing NF - kappa B activity.	extracellular - regulated kinase 1,119,153,Protein	2,156,157,Protein	ERK1,160,164,Protein	2,167,168,Protein	c - Jun N - terminal kinase,174,201,Protein	JNK,204,207,Protein	IL - 6,222,228,Protein	"[{""token"": ""extracellular - regulated kinase 1"", ""start_span"": 119, ""end_span"": 153, ""type"": ""Protein""}, {""token"": ""2"", ""start_span"": 156, ""end_span"": 157, ""type"": ""Protein""}, {""token"": ""ERK1"", ""start_span"": 160, ""end_span"": 164, ""type"": ""Protein""}, {""token"": ""2"", ""start_span"": 167, ""end_span"": 168, ""type"": ""Protein""}, {""token"": ""c - Jun N - terminal kinase"", ""start_span"": 174, ""end_span"": 201, ""type"": ""Protein""}, {""token"": ""JNK"", ""start_span"": 204, ""end_span"": 207, ""type"": ""Protein""}, {""token"": ""IL - 6"", ""start_span"": 222, ""end_span"": 228, ""type"": ""Protein""}]"	train
Th1 cells produce IL - 2 and IFN - gamma, whereas Th2 cells produce IL - 4, IL - 5, IL - 6, IL - 10, and IL - 13.	IL - 2,18,24,Protein	IFN - gamma,29,40,Protein	IL - 4,68,74,Protein	IL - 5,76,82,Protein	IL - 6,84,90,Protein	IL - 10,92,99,Protein	IL - 13,105,112,Protein	"[{""token"": ""IL - 2"", ""start_span"": 18, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 29, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""IL - 4"", ""start_span"": 68, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""IL - 5"", ""start_span"": 76, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""IL - 6"", ""start_span"": 84, ""end_span"": 90, ""type"": ""Protein""}, {""token"": ""IL - 10"", ""start_span"": 92, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""IL - 13"", ""start_span"": 105, ""end_span"": 112, ""type"": ""Protein""}]"	train
In addition, sodium salicylate and additional NSAIDs used at concentrations that activate HSF1 also inhibited the expression of other monocytic genes ( TNF - alpha, IL - 1beta, IL - 6, IL - 8, IL - 10, ICAM - 1) activated by exposure to a pro - inflammatory stimulus ( lipopolysaccharide, LPS).	HSF1,90,94,Protein	TNF - alpha,152,163,Protein	IL - 1beta,165,175,Protein	IL - 6,177,183,Protein	IL - 8,185,191,Protein	IL - 10,193,200,Protein	ICAM - 1,202,210,Protein	"[{""token"": ""HSF1"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""TNF - alpha"", ""start_span"": 152, ""end_span"": 163, ""type"": ""Protein""}, {""token"": ""IL - 1beta"", ""start_span"": 165, ""end_span"": 175, ""type"": ""Protein""}, {""token"": ""IL - 6"", ""start_span"": 177, ""end_span"": 183, ""type"": ""Protein""}, {""token"": ""IL - 8"", ""start_span"": 185, ""end_span"": 191, ""type"": ""Protein""}, {""token"": ""IL - 10"", ""start_span"": 193, ""end_span"": 200, ""type"": ""Protein""}, {""token"": ""ICAM - 1"", ""start_span"": 202, ""end_span"": 210, ""type"": ""Protein""}]"	train
In this study, we demonstrate reconstitution of a cell - free processing system and demonstrate directly that: ( a) the ubiquitin - proteasome system is involved in processing of the intact p105 precursor, ( b) conjugation of ubiquitin to the precursor is an essential intermediate step in the processing, ( c) the recently discovered novel species of the ubiquitin - carrier protein, E2 - F1, that is involved in the conjugation and degradation of p53, is also required for the limited processing of the p105 precursor, and ( d) a novel, approximately 320 - kDa species of ubiquitin - protein ligase, is involved in the process.	ubiquitin,120,129,Protein	p105,190,194,Protein	ubiquitin,226,235,Protein	E2 - F1,385,392,Protein	p53,449,452,Protein	p105,505,509,Protein	ubiquitin,574,583,Protein	"[{""token"": ""ubiquitin"", ""start_span"": 120, ""end_span"": 129, ""type"": ""Protein""}, {""token"": ""p105"", ""start_span"": 190, ""end_span"": 194, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 226, ""end_span"": 235, ""type"": ""Protein""}, {""token"": ""E2 - F1"", ""start_span"": 385, ""end_span"": 392, ""type"": ""Protein""}, {""token"": ""p53"", ""start_span"": 449, ""end_span"": 452, ""type"": ""Protein""}, {""token"": ""p105"", ""start_span"": 505, ""end_span"": 509, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 574, ""end_span"": 583, ""type"": ""Protein""}]"	train
Expression and genomic configuration of GM - CSF, IL - 3, M - CSF receptor ( C - FMS), early growth response gene - 1 ( EGR - 1) and M - CSF genes in primary myelodysplastic syndromes.	GM - CSF,40,48,Protein	IL - 3,50,56,Protein	M - CSF receptor,58,74,Protein	C - FMS,77,84,Protein	early growth response gene - 1,87,117,Protein	EGR - 1,120,127,Protein	M - CSF,133,140,Protein	"[{""token"": ""GM - CSF"", ""start_span"": 40, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""IL - 3"", ""start_span"": 50, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""M - CSF receptor"", ""start_span"": 58, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""C - FMS"", ""start_span"": 77, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""early growth response gene - 1"", ""start_span"": 87, ""end_span"": 117, ""type"": ""Protein""}, {""token"": ""EGR - 1"", ""start_span"": 120, ""end_span"": 127, ""type"": ""Protein""}, {""token"": ""M - CSF"", ""start_span"": 133, ""end_span"": 140, ""type"": ""Protein""}]"	train
This activation was due to the translocation of p65 and c - Rel NF. kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL - 2R alpha promoter either as p50. p65 or as p50. c - Rel heterodimers.	p65,48,51,Protein	c - Rel,56,63,Protein	IL - 2R alpha,170,183,Protein	p50,203,206,Protein	p65,208,211,Protein	p50,218,221,Protein	c - Rel,223,230,Protein	"[{""token"": ""p65"", ""start_span"": 48, ""end_span"": 51, ""type"": ""Protein""}, {""token"": ""c - Rel"", ""start_span"": 56, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""IL - 2R alpha"", ""start_span"": 170, ""end_span"": 183, ""type"": ""Protein""}, {""token"": ""p50"", ""start_span"": 203, ""end_span"": 206, ""type"": ""Protein""}, {""token"": ""p65"", ""start_span"": 208, ""end_span"": 211, ""type"": ""Protein""}, {""token"": ""p50"", ""start_span"": 218, ""end_span"": 221, ""type"": ""Protein""}, {""token"": ""c - Rel"", ""start_span"": 223, ""end_span"": 230, ""type"": ""Protein""}]"	train
EBNA - 2 trans - activates cellular and viral genes like CD23, c - fgr, latent membrane protein 1 ( LMP1) and terminal protein 1 ( TP1).	EBNA - 2,0,8,Protein	CD23,57,61,Protein	c - fgr,63,70,Protein	latent membrane protein 1,72,97,Protein	LMP1,100,104,Protein	terminal protein 1,110,128,Protein	TP1,131,134,Protein	"[{""token"": ""EBNA - 2"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""CD23"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""c - fgr"", ""start_span"": 63, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""latent membrane protein 1"", ""start_span"": 72, ""end_span"": 97, ""type"": ""Protein""}, {""token"": ""LMP1"", ""start_span"": 100, ""end_span"": 104, ""type"": ""Protein""}, {""token"": ""terminal protein 1"", ""start_span"": 110, ""end_span"": 128, ""type"": ""Protein""}, {""token"": ""TP1"", ""start_span"": 131, ""end_span"": 134, ""type"": ""Protein""}]"	train
IL - 4 down - regulated mRNA accumulation of the proinflammatory cytokines IL - 1 beta, IL - 8, and TNF - alpha in monocytes stimulated with IL - 2, IL - 3, and GM - CSF.	IL - 4,0,6,Protein	IL - 1 beta,75,86,Protein	IL - 8,88,94,Protein	TNF - alpha,100,111,Protein	IL - 2,141,147,Protein	IL - 3,149,155,Protein	GM - CSF,161,169,Protein	"[{""token"": ""IL - 4"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Protein""}, {""token"": ""IL - 1 beta"", ""start_span"": 75, ""end_span"": 86, ""type"": ""Protein""}, {""token"": ""IL - 8"", ""start_span"": 88, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""TNF - alpha"", ""start_span"": 100, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 141, ""end_span"": 147, ""type"": ""Protein""}, {""token"": ""IL - 3"", ""start_span"": 149, ""end_span"": 155, ""type"": ""Protein""}, {""token"": ""GM - CSF"", ""start_span"": 161, ""end_span"": 169, ""type"": ""Protein""}]"	train
Using fluorescence in situ hybridization ( FISH), we show here that the genes encoding the TATA - box binding protein ( TBP), TFIIB, TFIIE alpha, TFIIE beta, RAP30, RAP74 and the 62 kDa subunit, of TFIIH are located at the human chromosomal bands 6q26 - 27, 1p21 - 22, 3q21 - 24, 8p12, 13q14, 19p13. 3 and 11p14 - 15. 1, respectively.	TATA - box binding protein,91,117,Protein	TBP,120,123,Protein	TFIIB,126,131,Protein	TFIIE alpha,133,144,Protein	TFIIE beta,146,156,Protein	RAP30,158,163,Protein	RAP74,165,170,Protein	"[{""token"": ""TATA - box binding protein"", ""start_span"": 91, ""end_span"": 117, ""type"": ""Protein""}, {""token"": ""TBP"", ""start_span"": 120, ""end_span"": 123, ""type"": ""Protein""}, {""token"": ""TFIIB"", ""start_span"": 126, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""TFIIE alpha"", ""start_span"": 133, ""end_span"": 144, ""type"": ""Protein""}, {""token"": ""TFIIE beta"", ""start_span"": 146, ""end_span"": 156, ""type"": ""Protein""}, {""token"": ""RAP30"", ""start_span"": 158, ""end_span"": 163, ""type"": ""Protein""}, {""token"": ""RAP74"", ""start_span"": 165, ""end_span"": 170, ""type"": ""Protein""}]"	train
While p70I kappa B gamma inhibits p50 -, p65 -, and c - Rel - mediated transactivation and / or DNA binding, both I kappa B gamma - 1 and I kappa B gamma - 2 are specific for p50 and have different affinities for this subunit.	p70I kappa B gamma,6,24,Protein	p50,34,37,Protein	p65,41,44,Protein	c - Rel,52,59,Protein	I kappa B gamma - 1,114,133,Protein	I kappa B gamma - 2,138,157,Protein	p50,175,178,Protein	"[{""token"": ""p70I kappa B gamma"", ""start_span"": 6, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""p50"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""p65"", ""start_span"": 41, ""end_span"": 44, ""type"": ""Protein""}, {""token"": ""c - Rel"", ""start_span"": 52, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""I kappa B gamma - 1"", ""start_span"": 114, ""end_span"": 133, ""type"": ""Protein""}, {""token"": ""I kappa B gamma - 2"", ""start_span"": 138, ""end_span"": 157, ""type"": ""Protein""}, {""token"": ""p50"", ""start_span"": 175, ""end_span"": 178, ""type"": ""Protein""}]"	train
Antibodies against the NF - kappa B and Rel proteins and UV cross - linking studies revealed the presence of c - Rel and p65 and the absence of p50 in the TF complex and further showed that c - Rel / p65 heterodimers selectively bound to the TF kappa B - like site.	c - Rel,109,116,Protein	p65,121,124,Protein	p50,144,147,Protein	TF,155,157,Protein	c - Rel,190,197,Protein	p65,200,203,Protein	TF,242,244,Protein	"[{""token"": ""c - Rel"", ""start_span"": 109, ""end_span"": 116, ""type"": ""Protein""}, {""token"": ""p65"", ""start_span"": 121, ""end_span"": 124, ""type"": ""Protein""}, {""token"": ""p50"", ""start_span"": 144, ""end_span"": 147, ""type"": ""Protein""}, {""token"": ""TF"", ""start_span"": 155, ""end_span"": 157, ""type"": ""Protein""}, {""token"": ""c - Rel"", ""start_span"": 190, ""end_span"": 197, ""type"": ""Protein""}, {""token"": ""p65"", ""start_span"": 200, ""end_span"": 203, ""type"": ""Protein""}, {""token"": ""TF"", ""start_span"": 242, ""end_span"": 244, ""type"": ""Protein""}]"	train
In clonogenetic fetal calf serum - supplemented ( FCS +) or - nonsupplemented ( FCS -) culture treated with saturating levels of interleukin - 3 ( IL - 3) granulocyte - macrophage colony - stimulating factor ( GM - CSF) and erythropoietin ( Ep) ( combined with c - kit ligand in FCS ( -) - culture conditions), RA induces a dramatic dose - dependent shift from erythroid to granulomonocytic colony formation, the latter colonies being essentially represented by granulocytic clones.	interleukin - 3,129,144,Protein	IL - 3,147,153,Protein	granulocyte - macrophage colony - stimulating factor,155,207,Protein	GM - CSF,210,218,Protein	erythropoietin,224,238,Protein	Ep,241,243,Protein	c - kit ligand,261,275,Protein	"[{""token"": ""interleukin - 3"", ""start_span"": 129, ""end_span"": 144, ""type"": ""Protein""}, {""token"": ""IL - 3"", ""start_span"": 147, ""end_span"": 153, ""type"": ""Protein""}, {""token"": ""granulocyte - macrophage colony - stimulating factor"", ""start_span"": 155, ""end_span"": 207, ""type"": ""Protein""}, {""token"": ""GM - CSF"", ""start_span"": 210, ""end_span"": 218, ""type"": ""Protein""}, {""token"": ""erythropoietin"", ""start_span"": 224, ""end_span"": 238, ""type"": ""Protein""}, {""token"": ""Ep"", ""start_span"": 241, ""end_span"": 243, ""type"": ""Protein""}, {""token"": ""c - kit ligand"", ""start_span"": 261, ""end_span"": 275, ""type"": ""Protein""}]"	train
In the present study, analysis of the interleukin - 2 ( IL - 2) gene activation shows that naive human helper T cells ( cord blood CD4 + T cells, adult CD4 + CD45RO - T cells) regulate IL - 2 transcription by a mechanism involving both a silencer and an activator acting on the purine - rich IL - 2 promoter elements ( NF - AT binding sites).	interleukin - 2,38,53,Protein	IL - 2,56,62,Protein	CD4,131,134,Protein	CD4,152,155,Protein	CD45RO,158,164,Protein	IL - 2,185,191,Protein	IL - 2,292,298,Protein	"[{""token"": ""interleukin - 2"", ""start_span"": 38, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 56, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 131, ""end_span"": 134, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 152, ""end_span"": 155, ""type"": ""Protein""}, {""token"": ""CD45RO"", ""start_span"": 158, ""end_span"": 164, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 185, ""end_span"": 191, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 292, ""end_span"": 298, ""type"": ""Protein""}]"	train
Nuclear factor of activated T cells - family proteins ( NFAT1 / NFATp, NFATc, NFAT3, and NFAT4 / NFATx / NFATc3) play a key role in the transcription of cytokine genes and other genes during the immune response.	NFAT1,56,61,Protein	NFATp,64,69,Protein	NFATc,71,76,Protein	NFAT3,78,83,Protein	NFAT4,89,94,Protein	NFATx,97,102,Protein	NFATc3,105,111,Protein	"[{""token"": ""NFAT1"", ""start_span"": 56, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""NFATp"", ""start_span"": 64, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""NFATc"", ""start_span"": 71, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""NFAT3"", ""start_span"": 78, ""end_span"": 83, ""type"": ""Protein""}, {""token"": ""NFAT4"", ""start_span"": 89, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""NFATx"", ""start_span"": 97, ""end_span"": 102, ""type"": ""Protein""}, {""token"": ""NFATc3"", ""start_span"": 105, ""end_span"": 111, ""type"": ""Protein""}]"	train
