Sentence	entity_1	entity_2	json	split
One sample ( E215m - 2014 _ f, obtained during 2014 from 215m depth in borehole 08E140C01) was collected by passage of the 0. 22m filtrate through a 10000 nominal molecular weight limit filter ( type PLGC; Merck Millipore).	2014,21,25,date	2014,47,51,date	"[{""token"": ""2014"", ""start_span"": 21, ""end_span"": 25, ""type"": ""date""}, {""token"": ""2014"", ""start_span"": 47, ""end_span"": 51, ""type"": ""date""}]"	test
Between March 2007 and October 2007, samples were taken from Lake Fuschlsee every 3 weeks ( ten samples in total, starting in week 13 at the end of March).	Between March 2007 and October 2007,0,35,date	end of March,141,153,date	"[{""token"": ""Between March 2007 and October 2007"", ""start_span"": 0, ""end_span"": 35, ""type"": ""date""}, {""token"": ""end of March"", ""start_span"": 141, ""end_span"": 153, ""type"": ""date""}]"	test
Overall, field evidence suggests that hyperalkaline seepages are numerous and are active late in the baseflow period of perennial streams ( December to April).	baseflow period,101,116,date	December to April,140,157,date	"[{""token"": ""baseflow period"", ""start_span"": 101, ""end_span"": 116, ""type"": ""date""}, {""token"": ""December to April"", ""start_span"": 140, ""end_span"": 157, ""type"": ""date""}]"	test
MATERIALS AND METHODS Sampling and physiochemical measurements Benthic mat samples were collected on 26 June 2012 at 16: 00 PDT ( photon flux 490 mol photons PAR m2 s1; due to partial cloudiness) and 27 June 2012 at 01: 00 PDT ( photon flux 0 mol photons PAR m2 s1) and at 16: 00 PDT ( photon flux 1225 mol photon PAR m2 s1) from a water depth of 3540cm located in northeastern Washington state ( USA) ( 48. 97347119. 476322).	26 June 2012,101,113,date	27 June 2012,200,212,date	"[{""token"": ""26 June 2012"", ""start_span"": 101, ""end_span"": 113, ""type"": ""date""}, {""token"": ""27 June 2012"", ""start_span"": 200, ""end_span"": 212, ""type"": ""date""}]"	test
We sampled the lakes in August and December and used 454 pyrosequencing of 16S rRNA amplicons to analyze the microbial diversity.	August,24,30,date	December,35,43,date	"[{""token"": ""August"", ""start_span"": 24, ""end_span"": 30, ""type"": ""date""}, {""token"": ""December"", ""start_span"": 35, ""end_span"": 43, ""type"": ""date""}]"	train
Between 31 March 2011 when the first potential subject with the opportunity to collect a 6 - week infant stool sample from was screened for eligibility and 30 June 2015 when the data were frozen for this analysis, 6569 women were screened for eligibility and 1334 were eligible.	31 March 2011,8,21,date	30 June 2015,156,168,date	"[{""token"": ""31 March 2011"", ""start_span"": 8, ""end_span"": 21, ""type"": ""date""}, {""token"": ""30 June 2015"", ""start_span"": 156, ""end_span"": 168, ""type"": ""date""}]"	train
The seed sample ( Seed 1) was used at the start - up on day zero ( 2 September 2015), and two samples ( A2 and B3) were collected on days 70 ( 10 November 2015) and day 100 ( 20 December 2015) during the start - up period, respectively.	10 November 2015,143,159,date	20 December 2015,175,191,date	"[{""token"": ""10 November 2015"", ""start_span"": 143, ""end_span"": 159, ""type"": ""date""}, {""token"": ""20 December 2015"", ""start_span"": 175, ""end_span"": 191, ""type"": ""date""}]"	train
These stools had been collected in 2013, during the rainy season, when the dominant foods consumed by Hadza were tubers, baobab, and honey, along with consumption of some game meat, but not on a daily basis.	2013,35,39,date	rainy season,52,64,date	"[{""token"": ""2013"", ""start_span"": 35, ""end_span"": 39, ""type"": ""date""}, {""token"": ""rainy season"", ""start_span"": 52, ""end_span"": 64, ""type"": ""date""}]"	train
Materials and Methods Site Description and Sample Collection Animal and sediment samples were collected in May 2014 and August 2016 from Cod Cove, Maine ( approximate GPS coordinates 44. 000954, - 69. 639964) during low tide at a site near shore.	May 2014,107,115,date	August 2016,120,131,date	"[{""token"": ""May 2014"", ""start_span"": 107, ""end_span"": 115, ""type"": ""date""}, {""token"": ""August 2016"", ""start_span"": 120, ""end_span"": 131, ""type"": ""date""}]"	train
First on March 9th 2011 ( N: 053 44 153 / E: 007 41 943, 3C, overcast), second on March 6th 2012 ( N: 053 44 133 / E: 007 41 989, 9C, sunny).	March 9th 2011,9,23,date	March 6th 2012,82,96,date	"[{""token"": ""March 9th 2011"", ""start_span"": 9, ""end_span"": 23, ""type"": ""date""}, {""token"": ""March 6th 2012"", ""start_span"": 82, ""end_span"": 96, ""type"": ""date""}]"	train
