Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	json	split
Slides were incubated overnight at 4 degrees C with primary antibodies in PBS - TX with 1 - 3% BSA [ rabbit anti - pendrin, 1: 500 ( h766 - 780); rat anti - ZO - 1, 1: 100 ( Chemicon, Temecula, CA); goat anti - KCNQ1, 1: 200 ( C20, Santa Cruz Biotechnology, Santa Cruz, CA), rabbit anti - KCNE1, 1: 200 ( Alomone, Jerusalem, Israel); rabbit anti - KCNJ10, 1: 300 ( Alomone); rabbit anti - SLC12A2, 1: 100 ( Chemicon); and rabbit anti - connexin 26, 1: 100 ( Zymed, San Francisco, CA)].	BSA,95,98,Gene_or_geneproduct	pendrin,115,122,Gene_or_geneproduct	ZO - 1,157,163,Gene_or_geneproduct	KCNQ1,211,216,Gene_or_geneproduct	KCNE1,289,294,Gene_or_geneproduct	KCNJ10,348,354,Gene_or_geneproduct	SLC12A2,389,396,Gene_or_geneproduct	connexin 26,436,447,Gene_or_geneproduct	"[{""token"": ""BSA"", ""start_span"": 95, ""end_span"": 98, ""type"": ""Gene_or_geneproduct""}, {""token"": ""pendrin"", ""start_span"": 115, ""end_span"": 122, ""type"": ""Gene_or_geneproduct""}, {""token"": ""ZO - 1"", ""start_span"": 157, ""end_span"": 163, ""type"": ""Gene_or_geneproduct""}, {""token"": ""KCNQ1"", ""start_span"": 211, ""end_span"": 216, ""type"": ""Gene_or_geneproduct""}, {""token"": ""KCNE1"", ""start_span"": 289, ""end_span"": 294, ""type"": ""Gene_or_geneproduct""}, {""token"": ""KCNJ10"", ""start_span"": 348, ""end_span"": 354, ""type"": ""Gene_or_geneproduct""}, {""token"": ""SLC12A2"", ""start_span"": 389, ""end_span"": 396, ""type"": ""Gene_or_geneproduct""}, {""token"": ""connexin 26"", ""start_span"": 436, ""end_span"": 447, ""type"": ""Gene_or_geneproduct""}]"	train
Given our prior observation that exogenously added Snail can participate with LEF - 1 / beta - catenin in down - regulating E - cadherin expression in keratinocytes [ 4], coupled with the established requirement for LEF - 1 / beta - catenin in hair follicle morphogenesis [ 4, 19], we turned to addressing whether Snail / Slug family members might also participate in the process.	Snail,51,56,Gene_or_geneproduct	LEF - 1,78,85,Gene_or_geneproduct	beta - catenin,88,102,Gene_or_geneproduct	E - cadherin,124,136,Gene_or_geneproduct	LEF - 1,216,223,Gene_or_geneproduct	beta - catenin,226,240,Gene_or_geneproduct	Snail,314,319,Gene_or_geneproduct	Slug,322,326,Gene_or_geneproduct	"[{""token"": ""Snail"", ""start_span"": 51, ""end_span"": 56, ""type"": ""Gene_or_geneproduct""}, {""token"": ""LEF - 1"", ""start_span"": 78, ""end_span"": 85, ""type"": ""Gene_or_geneproduct""}, {""token"": ""beta - catenin"", ""start_span"": 88, ""end_span"": 102, ""type"": ""Gene_or_geneproduct""}, {""token"": ""E - cadherin"", ""start_span"": 124, ""end_span"": 136, ""type"": ""Gene_or_geneproduct""}, {""token"": ""LEF - 1"", ""start_span"": 216, ""end_span"": 223, ""type"": ""Gene_or_geneproduct""}, {""token"": ""beta - catenin"", ""start_span"": 226, ""end_span"": 240, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Snail"", ""start_span"": 314, ""end_span"": 319, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Slug"", ""start_span"": 322, ""end_span"": 326, ""type"": ""Gene_or_geneproduct""}]"	train
Whereas expression of the neurotrophin receptors TrkA, TrkB, and TrkC marks afferents of distinct sensory modalities in DRG of wild - type embryos ( Figure 6A - 6C) [ 4, 29], TauEWS - Pea3 / + Isl1Cre / + embryos showed complete absence of expression of TrkA, TrkB, and TrkC in DRG neurons at E16. 5 ( Figure 6G - 6I).	neurotrophin,26,38,Gene_or_geneproduct	TrkA,49,53,Gene_or_geneproduct	TrkB,55,59,Gene_or_geneproduct	TrkC,65,69,Gene_or_geneproduct	Pea3,184,188,Gene_or_geneproduct	TrkA,254,258,Gene_or_geneproduct	TrkB,260,264,Gene_or_geneproduct	TrkC,270,274,Gene_or_geneproduct	"[{""token"": ""neurotrophin"", ""start_span"": 26, ""end_span"": 38, ""type"": ""Gene_or_geneproduct""}, {""token"": ""TrkA"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Gene_or_geneproduct""}, {""token"": ""TrkB"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Gene_or_geneproduct""}, {""token"": ""TrkC"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Pea3"", ""start_span"": 184, ""end_span"": 188, ""type"": ""Gene_or_geneproduct""}, {""token"": ""TrkA"", ""start_span"": 254, ""end_span"": 258, ""type"": ""Gene_or_geneproduct""}, {""token"": ""TrkB"", ""start_span"": 260, ""end_span"": 264, ""type"": ""Gene_or_geneproduct""}, {""token"": ""TrkC"", ""start_span"": 270, ""end_span"": 274, ""type"": ""Gene_or_geneproduct""}]"	train
We were not able to confirm the interaction between HOMER3 or DNCL1 with the C - terminal peptide construct in pairwise tests, but we showed that the C - terminal peptide was important for PAX6 / HOMER3 or PAX6 / DNCL1 interaction because HOMER3 and DNCL1 did not interact with a PST domain construct lacking the C - terminal peptide.	HOMER3,52,58,Gene_or_geneproduct	DNCL1,62,67,Gene_or_geneproduct	PAX6,189,193,Gene_or_geneproduct	HOMER3,196,202,Gene_or_geneproduct	PAX6,206,210,Gene_or_geneproduct	DNCL1,213,218,Gene_or_geneproduct	HOMER3,239,245,Gene_or_geneproduct	DNCL1,250,255,Gene_or_geneproduct	"[{""token"": ""HOMER3"", ""start_span"": 52, ""end_span"": 58, ""type"": ""Gene_or_geneproduct""}, {""token"": ""DNCL1"", ""start_span"": 62, ""end_span"": 67, ""type"": ""Gene_or_geneproduct""}, {""token"": ""PAX6"", ""start_span"": 189, ""end_span"": 193, ""type"": ""Gene_or_geneproduct""}, {""token"": ""HOMER3"", ""start_span"": 196, ""end_span"": 202, ""type"": ""Gene_or_geneproduct""}, {""token"": ""PAX6"", ""start_span"": 206, ""end_span"": 210, ""type"": ""Gene_or_geneproduct""}, {""token"": ""DNCL1"", ""start_span"": 213, ""end_span"": 218, ""type"": ""Gene_or_geneproduct""}, {""token"": ""HOMER3"", ""start_span"": 239, ""end_span"": 245, ""type"": ""Gene_or_geneproduct""}, {""token"": ""DNCL1"", ""start_span"": 250, ""end_span"": 255, ""type"": ""Gene_or_geneproduct""}]"	train
Consistent with the idea that cells in this primordium are poised between two developmental pathways, some of the genes that are involved in establishing sexual dimorphism, including Dax1 ( dosage - sensitive sex reversal - congenital adrenal hypoplasia critical region on the X chromosome protein 1), Sox9 ( Sry - like HMG box 9), Fgf9 ( fibroblast growth factor 9), and Wnt4 ( wingless - related MMTV integration site 4), are initially expressed in similar patterns in XX and XY gonads [ 3 - 8].	Dax1,183,187,Gene_or_geneproduct	dosage - sensitive sex reversal - congenital adrenal hypoplasia critical region on the X chromosome protein 1,190,299,Gene_or_geneproduct	Sox9,302,306,Gene_or_geneproduct	Sry - like HMG box 9,309,329,Gene_or_geneproduct	Fgf9,332,336,Gene_or_geneproduct	fibroblast growth factor 9,339,365,Gene_or_geneproduct	Wnt4,372,376,Gene_or_geneproduct	wingless - related MMTV integration site 4,379,421,Gene_or_geneproduct	"[{""token"": ""Dax1"", ""start_span"": 183, ""end_span"": 187, ""type"": ""Gene_or_geneproduct""}, {""token"": ""dosage - sensitive sex reversal - congenital adrenal hypoplasia critical region on the X chromosome protein 1"", ""start_span"": 190, ""end_span"": 299, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Sox9"", ""start_span"": 302, ""end_span"": 306, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Sry - like HMG box 9"", ""start_span"": 309, ""end_span"": 329, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Fgf9"", ""start_span"": 332, ""end_span"": 336, ""type"": ""Gene_or_geneproduct""}, {""token"": ""fibroblast growth factor 9"", ""start_span"": 339, ""end_span"": 365, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Wnt4"", ""start_span"": 372, ""end_span"": 376, ""type"": ""Gene_or_geneproduct""}, {""token"": ""wingless - related MMTV integration site 4"", ""start_span"": 379, ""end_span"": 421, ""type"": ""Gene_or_geneproduct""}]"	train
However, mutations in several signaling pathways including Fgf9 and Igf1r / Irr / Ir ( insulin - like growth factor 1 receptor / insulin receptor - related receptor / insulin receptor) resulted in loss of Sox9 expression and partial or complete sex reversal [ 26, 27], suggesting that extracellular signaling pathways play a significant role during primary sex determination.	Fgf9,59,63,Gene_or_geneproduct	Igf1r,68,73,Gene_or_geneproduct	Irr,76,79,Gene_or_geneproduct	Ir,82,84,Gene_or_geneproduct	insulin - like growth factor 1 receptor,87,126,Gene_or_geneproduct	insulin receptor - related receptor,129,164,Gene_or_geneproduct	insulin receptor,167,183,Gene_or_geneproduct	Sox9,205,209,Gene_or_geneproduct	"[{""token"": ""Fgf9"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Igf1r"", ""start_span"": 68, ""end_span"": 73, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Irr"", ""start_span"": 76, ""end_span"": 79, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Ir"", ""start_span"": 82, ""end_span"": 84, ""type"": ""Gene_or_geneproduct""}, {""token"": ""insulin - like growth factor 1 receptor"", ""start_span"": 87, ""end_span"": 126, ""type"": ""Gene_or_geneproduct""}, {""token"": ""insulin receptor - related receptor"", ""start_span"": 129, ""end_span"": 164, ""type"": ""Gene_or_geneproduct""}, {""token"": ""insulin receptor"", ""start_span"": 167, ""end_span"": 183, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Sox9"", ""start_span"": 205, ""end_span"": 209, ""type"": ""Gene_or_geneproduct""}]"	train
Our finding that high levels of Wnt4 persist in Fgf9 - / - XY gonads implies a genetic antagonism specifically between Fgf9 and Wnt4, as both SRY and SOX9 are initially expressed in Fgf9 - / - XY gonads at 11. 5 dpc, yet this is not sufficient to down - regulate Wnt4.	Wnt4,32,36,Gene_or_geneproduct	Fgf9,48,52,Gene_or_geneproduct	Fgf9,119,123,Gene_or_geneproduct	Wnt4,128,132,Gene_or_geneproduct	SRY,142,145,Gene_or_geneproduct	SOX9,150,154,Gene_or_geneproduct	Fgf9,182,186,Gene_or_geneproduct	Wnt4,263,267,Gene_or_geneproduct	"[{""token"": ""Wnt4"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Fgf9"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Fgf9"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Wnt4"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Gene_or_geneproduct""}, {""token"": ""SRY"", ""start_span"": 142, ""end_span"": 145, ""type"": ""Gene_or_geneproduct""}, {""token"": ""SOX9"", ""start_span"": 150, ""end_span"": 154, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Fgf9"", ""start_span"": 182, ""end_span"": 186, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Wnt4"", ""start_span"": 263, ""end_span"": 267, ""type"": ""Gene_or_geneproduct""}]"	train
Note the prominent localization of RanBP2, mHsp70, and Cox11 at the mitochondria - rich ellipsoid compartment of photoreceptors and the colocalization of RanBP2 and Cox11 with mHsp70 ( I and L), while HKI colocalization with Cox11 was limited to restricted foci ( R, arrowheads).	RanBP2,35,41,Gene_or_geneproduct	mHsp70,43,49,Gene_or_geneproduct	Cox11,55,60,Gene_or_geneproduct	RanBP2,154,160,Gene_or_geneproduct	Cox11,165,170,Gene_or_geneproduct	mHsp70,176,182,Gene_or_geneproduct	HKI,201,204,Gene_or_geneproduct	Cox11,225,230,Gene_or_geneproduct	"[{""token"": ""RanBP2"", ""start_span"": 35, ""end_span"": 41, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mHsp70"", ""start_span"": 43, ""end_span"": 49, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Cox11"", ""start_span"": 55, ""end_span"": 60, ""type"": ""Gene_or_geneproduct""}, {""token"": ""RanBP2"", ""start_span"": 154, ""end_span"": 160, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Cox11"", ""start_span"": 165, ""end_span"": 170, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mHsp70"", ""start_span"": 176, ""end_span"": 182, ""type"": ""Gene_or_geneproduct""}, {""token"": ""HKI"", ""start_span"": 201, ""end_span"": 204, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Cox11"", ""start_span"": 225, ""end_span"": 230, ""type"": ""Gene_or_geneproduct""}]"	train
BMP2, BMP4, BMP5, BMP6, and BMP7 can utilize the same type I ( Alk2, Alk3, and Alk6) and type II receptors ( BMP RII, ActRII, and ActRIIb) [ 47].	BMP2,0,4,Gene_or_geneproduct	BMP4,6,10,Gene_or_geneproduct	BMP5,12,16,Gene_or_geneproduct	BMP6,18,22,Gene_or_geneproduct	BMP7,28,32,Gene_or_geneproduct	BMP RII,109,116,Gene_or_geneproduct	ActRII,118,124,Gene_or_geneproduct	ActRIIb,130,137,Gene_or_geneproduct	"[{""token"": ""BMP2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_geneproduct""}, {""token"": ""BMP4"", ""start_span"": 6, ""end_span"": 10, ""type"": ""Gene_or_geneproduct""}, {""token"": ""BMP5"", ""start_span"": 12, ""end_span"": 16, ""type"": ""Gene_or_geneproduct""}, {""token"": ""BMP6"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Gene_or_geneproduct""}, {""token"": ""BMP7"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Gene_or_geneproduct""}, {""token"": ""BMP RII"", ""start_span"": 109, ""end_span"": 116, ""type"": ""Gene_or_geneproduct""}, {""token"": ""ActRII"", ""start_span"": 118, ""end_span"": 124, ""type"": ""Gene_or_geneproduct""}, {""token"": ""ActRIIb"", ""start_span"": 130, ""end_span"": 137, ""type"": ""Gene_or_geneproduct""}]"	train
Genomic sequence and annotations were obtained from the UCSC Genome Browser February 2003 assembly version mm3 ( http: / / genome. ucsc. edu); the 1. 4 Mb interval between M1 and M4 contains eight genes: four hydroxysteroid dehydrogenase isomerases, Hsd3b3, Hsd3b2, Hsd3b6, and Hsd3b1; an hydroacid oxidase, Hao3; a tryptophanyl - tRNA synthetase, Wars2; a T - box gene, Tbx15; and a novel gene, 4931427F14Rik.	Hsd3b3,250,256,Gene_or_geneproduct	Hsd3b2,258,264,Gene_or_geneproduct	Hsd3b6,266,272,Gene_or_geneproduct	Hsd3b1,278,284,Gene_or_geneproduct	Hao3,308,312,Gene_or_geneproduct	Wars2,348,353,Gene_or_geneproduct	Tbx15,371,376,Gene_or_geneproduct	4931427F14Rik,396,409,Gene_or_geneproduct	"[{""token"": ""Hsd3b3"", ""start_span"": 250, ""end_span"": 256, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Hsd3b2"", ""start_span"": 258, ""end_span"": 264, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Hsd3b6"", ""start_span"": 266, ""end_span"": 272, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Hsd3b1"", ""start_span"": 278, ""end_span"": 284, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Hao3"", ""start_span"": 308, ""end_span"": 312, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Wars2"", ""start_span"": 348, ""end_span"": 353, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Tbx15"", ""start_span"": 371, ""end_span"": 376, ""type"": ""Gene_or_geneproduct""}, {""token"": ""4931427F14Rik"", ""start_span"": 396, ""end_span"": 409, ""type"": ""Gene_or_geneproduct""}]"	valid
