Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	json	split
However, supershift analyses using the c - fos promoter sis - inducible element probe showed that IL - 12 activated STAT4, STAT1 alpha, and STAT3, and induced complexes containing STAT4 only, STAT4 with STAT1 alpha, STAT3 with STAT1 alpha, or STAT1 alpha only in preactivated primary NK cells.	c - fos promoter sis - inducible element probe,39,85,Gene/Protein	IL - 12,98,105,Gene/Protein	STAT4,116,121,Gene/Protein	STAT1 alpha,123,134,Gene/Protein	STAT3,140,145,Gene/Protein	STAT4,180,185,Gene/Protein	STAT4,192,197,Gene/Protein	STAT1 alpha,203,214,Gene/Protein	STAT3,216,221,Gene/Protein	STAT1 alpha,227,238,Gene/Protein	STAT1 alpha,243,254,Gene/Protein	"[{""token"": ""c - fos promoter sis - inducible element probe"", ""start_span"": 39, ""end_span"": 85, ""type"": ""Gene/Protein""}, {""token"": ""IL - 12"", ""start_span"": 98, ""end_span"": 105, ""type"": ""Gene/Protein""}, {""token"": ""STAT4"", ""start_span"": 116, ""end_span"": 121, ""type"": ""Gene/Protein""}, {""token"": ""STAT1 alpha"", ""start_span"": 123, ""end_span"": 134, ""type"": ""Gene/Protein""}, {""token"": ""STAT3"", ""start_span"": 140, ""end_span"": 145, ""type"": ""Gene/Protein""}, {""token"": ""STAT4"", ""start_span"": 180, ""end_span"": 185, ""type"": ""Gene/Protein""}, {""token"": ""STAT4"", ""start_span"": 192, ""end_span"": 197, ""type"": ""Gene/Protein""}, {""token"": ""STAT1 alpha"", ""start_span"": 203, ""end_span"": 214, ""type"": ""Gene/Protein""}, {""token"": ""STAT3"", ""start_span"": 216, ""end_span"": 221, ""type"": ""Gene/Protein""}, {""token"": ""STAT1 alpha"", ""start_span"": 227, ""end_span"": 238, ""type"": ""Gene/Protein""}, {""token"": ""STAT1 alpha"", ""start_span"": 243, ""end_span"": 254, ""type"": ""Gene/Protein""}]"	train
Specifically, 9 - cis - RA potently inhibited the growth of BFU - E response to erythropoietin ( Epo) ( 100%), stem cell factor ( SCF) + Epo ( 92%), IL - 3 + Epo ( 97%), IL - 4 + Epo ( 88%), and IL - 9 + Epo ( 100%).	erythropoietin,80,94,Gene/Protein	Epo,97,100,Gene/Protein	stem cell factor,111,127,Gene/Protein	SCF,130,133,Gene/Protein	Epo,137,140,Gene/Protein	IL - 3,149,155,Gene/Protein	Epo,158,161,Gene/Protein	IL - 4,170,176,Gene/Protein	Epo,179,182,Gene/Protein	IL - 9,195,201,Gene/Protein	Epo,204,207,Gene/Protein	"[{""token"": ""erythropoietin"", ""start_span"": 80, ""end_span"": 94, ""type"": ""Gene/Protein""}, {""token"": ""Epo"", ""start_span"": 97, ""end_span"": 100, ""type"": ""Gene/Protein""}, {""token"": ""stem cell factor"", ""start_span"": 111, ""end_span"": 127, ""type"": ""Gene/Protein""}, {""token"": ""SCF"", ""start_span"": 130, ""end_span"": 133, ""type"": ""Gene/Protein""}, {""token"": ""Epo"", ""start_span"": 137, ""end_span"": 140, ""type"": ""Gene/Protein""}, {""token"": ""IL - 3"", ""start_span"": 149, ""end_span"": 155, ""type"": ""Gene/Protein""}, {""token"": ""Epo"", ""start_span"": 158, ""end_span"": 161, ""type"": ""Gene/Protein""}, {""token"": ""IL - 4"", ""start_span"": 170, ""end_span"": 176, ""type"": ""Gene/Protein""}, {""token"": ""Epo"", ""start_span"": 179, ""end_span"": 182, ""type"": ""Gene/Protein""}, {""token"": ""IL - 9"", ""start_span"": 195, ""end_span"": 201, ""type"": ""Gene/Protein""}, {""token"": ""Epo"", ""start_span"": 204, ""end_span"": 207, ""type"": ""Gene/Protein""}]"	train
One group of mutants replicated very similarly to SIVmac239 in kinetics and yield in CEMxl74 cells ( 2x NFKappaB > or = SlVmac239 approximately deltaNFkappaB approximately deltaSpl234 approximately substNFkappaB approximately substSpl2 approximately substSp23), while a second group replicated with delayed or slightly delayed kinetics in CEMxl74 cells ( SIVmac239 > substSp34 > deltaNFkappaBdeltaSp approximately deltaNFkappaBdeltaSp > substSpl234).	NFKappaB,104,112,Gene/Protein	SlVmac239,120,129,Gene/Protein	deltaNFkappaB,144,157,Gene/Protein	deltaSpl234,172,183,Gene/Protein	substNFkappaB,198,211,Gene/Protein	substSpl2,226,235,Gene/Protein	substSp23,250,259,Gene/Protein	substSp34,367,376,Gene/Protein	deltaNFkappaBdeltaSp,379,399,Gene/Protein	deltaNFkappaBdeltaSp,414,434,Gene/Protein	substSpl234,437,448,Gene/Protein	"[{""token"": ""NFKappaB"", ""start_span"": 104, ""end_span"": 112, ""type"": ""Gene/Protein""}, {""token"": ""SlVmac239"", ""start_span"": 120, ""end_span"": 129, ""type"": ""Gene/Protein""}, {""token"": ""deltaNFkappaB"", ""start_span"": 144, ""end_span"": 157, ""type"": ""Gene/Protein""}, {""token"": ""deltaSpl234"", ""start_span"": 172, ""end_span"": 183, ""type"": ""Gene/Protein""}, {""token"": ""substNFkappaB"", ""start_span"": 198, ""end_span"": 211, ""type"": ""Gene/Protein""}, {""token"": ""substSpl2"", ""start_span"": 226, ""end_span"": 235, ""type"": ""Gene/Protein""}, {""token"": ""substSp23"", ""start_span"": 250, ""end_span"": 259, ""type"": ""Gene/Protein""}, {""token"": ""substSp34"", ""start_span"": 367, ""end_span"": 376, ""type"": ""Gene/Protein""}, {""token"": ""deltaNFkappaBdeltaSp"", ""start_span"": 379, ""end_span"": 399, ""type"": ""Gene/Protein""}, {""token"": ""deltaNFkappaBdeltaSp"", ""start_span"": 414, ""end_span"": 434, ""type"": ""Gene/Protein""}, {""token"": ""substSpl234"", ""start_span"": 437, ""end_span"": 448, ""type"": ""Gene/Protein""}]"	train
This study compared the effect of these stimuli on endogenous IkappaB kinase ( IKK) signalsome activation and IkappaB phosphorylation / proteolysis in human monocytic cells and investigated the role of the signalsome proteins IKK - alpha, IKK - beta, NF - kappaB - inducing kinase ( NIK), IKK - gamma ( NF - kappaB essential modulator), and IKK complex - associated protein.	IkappaB kinase,62,76,Gene/Protein	IKK,79,82,Gene/Protein	IkappaB,110,117,Gene/Protein	signalsome proteins,206,225,Gene/Protein	IKK - alpha,226,237,Gene/Protein	IKK - beta,239,249,Gene/Protein	NF - kappaB - inducing kinase,251,280,Gene/Protein	NIK,283,286,Gene/Protein	IKK - gamma,289,300,Gene/Protein	NF - kappaB,303,314,Gene/Protein	IKK complex - associated protein,341,373,Gene/Protein	"[{""token"": ""IkappaB kinase"", ""start_span"": 62, ""end_span"": 76, ""type"": ""Gene/Protein""}, {""token"": ""IKK"", ""start_span"": 79, ""end_span"": 82, ""type"": ""Gene/Protein""}, {""token"": ""IkappaB"", ""start_span"": 110, ""end_span"": 117, ""type"": ""Gene/Protein""}, {""token"": ""signalsome proteins"", ""start_span"": 206, ""end_span"": 225, ""type"": ""Gene/Protein""}, {""token"": ""IKK - alpha"", ""start_span"": 226, ""end_span"": 237, ""type"": ""Gene/Protein""}, {""token"": ""IKK - beta"", ""start_span"": 239, ""end_span"": 249, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappaB - inducing kinase"", ""start_span"": 251, ""end_span"": 280, ""type"": ""Gene/Protein""}, {""token"": ""NIK"", ""start_span"": 283, ""end_span"": 286, ""type"": ""Gene/Protein""}, {""token"": ""IKK - gamma"", ""start_span"": 289, ""end_span"": 300, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappaB"", ""start_span"": 303, ""end_span"": 314, ""type"": ""Gene/Protein""}, {""token"": ""IKK complex - associated protein"", ""start_span"": 341, ""end_span"": 373, ""type"": ""Gene/Protein""}]"	train
Interestingly, apoptosis induced by NF - kappa B suppression, in contrast to that induced by TPEN ( N, N, N ', N ' - tetrakis [ 2 - pyridylmethyl] ethylenediamine) or soluble Fas ligand ( CD95), was observed in the absence of active death effector proteases caspase - 1 - like ( IL - 1 converting enzyme), caspase - 3 - like ( CPP32 / Yama / apopain), and caspase - 6 - like and without cleavage of caspase - 3 substrates poly ( ADP - ribose) polymerase and DNA fragmentation factor - 45.	NF - kappa B,36,48,Gene/Protein	soluble Fas ligand,167,185,Gene/Protein	CD95,188,192,Gene/Protein	active death effector proteases,226,257,Gene/Protein	caspase - 1,258,269,Gene/Protein	IL - 1 converting enzyme,279,303,Gene/Protein	caspase - 3,306,317,Gene/Protein	CPP32 / Yama / apopain,327,349,Gene/Protein	caspase - 6,356,367,Gene/Protein	caspase - 3 substrates,399,421,Gene/Protein	DNA fragmentation factor - 45,458,487,Gene/Protein	"[{""token"": ""NF - kappa B"", ""start_span"": 36, ""end_span"": 48, ""type"": ""Gene/Protein""}, {""token"": ""soluble Fas ligand"", ""start_span"": 167, ""end_span"": 185, ""type"": ""Gene/Protein""}, {""token"": ""CD95"", ""start_span"": 188, ""end_span"": 192, ""type"": ""Gene/Protein""}, {""token"": ""active death effector proteases"", ""start_span"": 226, ""end_span"": 257, ""type"": ""Gene/Protein""}, {""token"": ""caspase - 1"", ""start_span"": 258, ""end_span"": 269, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1 converting enzyme"", ""start_span"": 279, ""end_span"": 303, ""type"": ""Gene/Protein""}, {""token"": ""caspase - 3"", ""start_span"": 306, ""end_span"": 317, ""type"": ""Gene/Protein""}, {""token"": ""CPP32 / Yama / apopain"", ""start_span"": 327, ""end_span"": 349, ""type"": ""Gene/Protein""}, {""token"": ""caspase - 6"", ""start_span"": 356, ""end_span"": 367, ""type"": ""Gene/Protein""}, {""token"": ""caspase - 3 substrates"", ""start_span"": 399, ""end_span"": 421, ""type"": ""Gene/Protein""}, {""token"": ""DNA fragmentation factor - 45"", ""start_span"": 458, ""end_span"": 487, ""type"": ""Gene/Protein""}]"	train
Freshly isolated CD34 ( +) cells expressed CD34, c - kit, PU. 1, and GATA - 2 but did not express CD36, erythropoietin receptor ( EpoR), SCL / Tal1, EKLF, NF - E2, GATA - 1, or glyocophorin A ( GPA).	CD34,17,21,Gene/Protein	c - kit,49,56,Gene/Protein	GATA - 2,69,77,Gene/Protein	CD36,98,102,Gene/Protein	erythropoietin receptor,104,127,Gene/Protein	EpoR,130,134,Gene/Protein	SCL / Tal1,137,147,Gene/Protein	EKLF,149,153,Gene/Protein	GATA - 1,164,172,Gene/Protein	glyocophorin A,177,191,Gene/Protein	GPA,194,197,Gene/Protein	"[{""token"": ""CD34"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Gene/Protein""}, {""token"": ""c - kit"", ""start_span"": 49, ""end_span"": 56, ""type"": ""Gene/Protein""}, {""token"": ""GATA - 2"", ""start_span"": 69, ""end_span"": 77, ""type"": ""Gene/Protein""}, {""token"": ""CD36"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Gene/Protein""}, {""token"": ""erythropoietin receptor"", ""start_span"": 104, ""end_span"": 127, ""type"": ""Gene/Protein""}, {""token"": ""EpoR"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Gene/Protein""}, {""token"": ""SCL / Tal1"", ""start_span"": 137, ""end_span"": 147, ""type"": ""Gene/Protein""}, {""token"": ""EKLF"", ""start_span"": 149, ""end_span"": 153, ""type"": ""Gene/Protein""}, {""token"": ""GATA - 1"", ""start_span"": 164, ""end_span"": 172, ""type"": ""Gene/Protein""}, {""token"": ""glyocophorin A"", ""start_span"": 177, ""end_span"": 191, ""type"": ""Gene/Protein""}, {""token"": ""GPA"", ""start_span"": 194, ""end_span"": 197, ""type"": ""Gene/Protein""}]"	train
However, substitution of the Pro - X - Pro in the BOX1 motif with Ala - X - Ala failed to abolish IL - 9 - induced cell proliferation but decreased IL - 9 - mediated tyrosine phosphorylation of JAK kinases, insulin receptor substrate - 2, and signal transducer and activator of transcription 3 ( STAT3) and expression of c - myc and junB.	Pro - X - Pro,29,42,Gene/Protein	BOX1 motif,50,60,Gene/Protein	Ala - X - Ala,66,79,Gene/Protein	IL - 9,98,104,Gene/Protein	IL - 9,148,154,Gene/Protein	JAK kinases,194,205,Gene/Protein	insulin receptor substrate - 2,207,237,Gene/Protein	signal transducer and activator of transcription 3,243,293,Gene/Protein	STAT3,296,301,Gene/Protein	c - myc,321,328,Gene/Protein	junB,333,337,Gene/Protein	"[{""token"": ""Pro - X - Pro"", ""start_span"": 29, ""end_span"": 42, ""type"": ""Gene/Protein""}, {""token"": ""BOX1 motif"", ""start_span"": 50, ""end_span"": 60, ""type"": ""Gene/Protein""}, {""token"": ""Ala - X - Ala"", ""start_span"": 66, ""end_span"": 79, ""type"": ""Gene/Protein""}, {""token"": ""IL - 9"", ""start_span"": 98, ""end_span"": 104, ""type"": ""Gene/Protein""}, {""token"": ""IL - 9"", ""start_span"": 148, ""end_span"": 154, ""type"": ""Gene/Protein""}, {""token"": ""JAK kinases"", ""start_span"": 194, ""end_span"": 205, ""type"": ""Gene/Protein""}, {""token"": ""insulin receptor substrate - 2"", ""start_span"": 207, ""end_span"": 237, ""type"": ""Gene/Protein""}, {""token"": ""signal transducer and activator of transcription 3"", ""start_span"": 243, ""end_span"": 293, ""type"": ""Gene/Protein""}, {""token"": ""STAT3"", ""start_span"": 296, ""end_span"": 301, ""type"": ""Gene/Protein""}, {""token"": ""c - myc"", ""start_span"": 321, ""end_span"": 328, ""type"": ""Gene/Protein""}, {""token"": ""junB"", ""start_span"": 333, ""end_span"": 337, ""type"": ""Gene/Protein""}]"	train
TNFRI has been recently shown to activate NF - kappaB through association with TRADD, RIP, and TRAF2; activation of the NF - kappaB - inducing kinase ( NIK); activation of the IkappaB alpha kinases ( IKKalpha and IKKbeta); and phosphorylation of IkappaB alpha.	TNFRI,0,5,Gene/Protein	NF - kappaB,42,53,Gene/Protein	TRADD,79,84,Gene/Protein	RIP,86,89,Gene/Protein	TRAF2,95,100,Gene/Protein	NF - kappaB - inducing kinase,120,149,Gene/Protein	NIK,152,155,Gene/Protein	IkappaB alpha kinases,176,197,Gene/Protein	IKKalpha,200,208,Gene/Protein	IKKbeta,213,220,Gene/Protein	IkappaB alpha,246,259,Gene/Protein	"[{""token"": ""TNFRI"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappaB"", ""start_span"": 42, ""end_span"": 53, ""type"": ""Gene/Protein""}, {""token"": ""TRADD"", ""start_span"": 79, ""end_span"": 84, ""type"": ""Gene/Protein""}, {""token"": ""RIP"", ""start_span"": 86, ""end_span"": 89, ""type"": ""Gene/Protein""}, {""token"": ""TRAF2"", ""start_span"": 95, ""end_span"": 100, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappaB - inducing kinase"", ""start_span"": 120, ""end_span"": 149, ""type"": ""Gene/Protein""}, {""token"": ""NIK"", ""start_span"": 152, ""end_span"": 155, ""type"": ""Gene/Protein""}, {""token"": ""IkappaB alpha kinases"", ""start_span"": 176, ""end_span"": 197, ""type"": ""Gene/Protein""}, {""token"": ""IKKalpha"", ""start_span"": 200, ""end_span"": 208, ""type"": ""Gene/Protein""}, {""token"": ""IKKbeta"", ""start_span"": 213, ""end_span"": 220, ""type"": ""Gene/Protein""}, {""token"": ""IkappaB alpha"", ""start_span"": 246, ""end_span"": 259, ""type"": ""Gene/Protein""}]"	train
To investigate the molecular mechanism of the inhibitory effect on transcriptional or post - transcriptional regulation of IL - 6 gene expression by IL - 4 and IL - 10, we studied IL - 6 production, expression level of IL - 6 mRNA, IL - 6 promoter activity, transcriptional activity of NF - kappaB and NF - IL - 6, and IL - 6 mRNA stability in human monocytic cell lines, THP - 1 and U937, stimulated by PMA and LPS in the absence or the presence of IL - 4 or IL - 10.	IL - 6 gene,123,134,Gene/Protein	IL - 4,149,155,Gene/Protein	IL - 10,160,167,Gene/Protein	IL - 6,180,186,Gene/Protein	IL - 6 mRNA,219,230,Gene/Protein	IL - 6,232,238,Gene/Protein	NF - kappaB,286,297,Gene/Protein	NF - IL - 6,302,313,Gene/Protein	IL - 6 mRNA,319,330,Gene/Protein	IL - 4,450,456,Gene/Protein	IL - 10,460,467,Gene/Protein	"[{""token"": ""IL - 6 gene"", ""start_span"": 123, ""end_span"": 134, ""type"": ""Gene/Protein""}, {""token"": ""IL - 4"", ""start_span"": 149, ""end_span"": 155, ""type"": ""Gene/Protein""}, {""token"": ""IL - 10"", ""start_span"": 160, ""end_span"": 167, ""type"": ""Gene/Protein""}, {""token"": ""IL - 6"", ""start_span"": 180, ""end_span"": 186, ""type"": ""Gene/Protein""}, {""token"": ""IL - 6 mRNA"", ""start_span"": 219, ""end_span"": 230, ""type"": ""Gene/Protein""}, {""token"": ""IL - 6"", ""start_span"": 232, ""end_span"": 238, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappaB"", ""start_span"": 286, ""end_span"": 297, ""type"": ""Gene/Protein""}, {""token"": ""NF - IL - 6"", ""start_span"": 302, ""end_span"": 313, ""type"": ""Gene/Protein""}, {""token"": ""IL - 6 mRNA"", ""start_span"": 319, ""end_span"": 330, ""type"": ""Gene/Protein""}, {""token"": ""IL - 4"", ""start_span"": 450, ""end_span"": 456, ""type"": ""Gene/Protein""}, {""token"": ""IL - 10"", ""start_span"": 460, ""end_span"": 467, ""type"": ""Gene/Protein""}]"	valid
However, the growth of most mutated viruses was suppressed in primary rhesus monkey alveolar macrophages ( SIVmacMER approximately 2xNFkappaB approximately substNFkappaB > deltaNFkappaB > deltaNFkappaB deltaSpl234 approximately deltaNFkappaBdeltaSp > deltaSpl234 approximately substSpl2 > substSp23 approximately substSp34 approximately substSpl234 > or = SIVmac239).	2xNFkappaB,131,141,Gene/Protein	substNFkappaB,156,169,Gene/Protein	deltaNFkappaB,172,185,Gene/Protein	deltaNFkappaB,188,201,Gene/Protein	deltaSpl234,202,213,Gene/Protein	deltaNFkappaBdeltaSp,228,248,Gene/Protein	deltaSpl234,251,262,Gene/Protein	substSpl2,277,286,Gene/Protein	substSp23,289,298,Gene/Protein	substSp34,313,322,Gene/Protein	substSpl234,337,348,Gene/Protein	"[{""token"": ""2xNFkappaB"", ""start_span"": 131, ""end_span"": 141, ""type"": ""Gene/Protein""}, {""token"": ""substNFkappaB"", ""start_span"": 156, ""end_span"": 169, ""type"": ""Gene/Protein""}, {""token"": ""deltaNFkappaB"", ""start_span"": 172, ""end_span"": 185, ""type"": ""Gene/Protein""}, {""token"": ""deltaNFkappaB"", ""start_span"": 188, ""end_span"": 201, ""type"": ""Gene/Protein""}, {""token"": ""deltaSpl234"", ""start_span"": 202, ""end_span"": 213, ""type"": ""Gene/Protein""}, {""token"": ""deltaNFkappaBdeltaSp"", ""start_span"": 228, ""end_span"": 248, ""type"": ""Gene/Protein""}, {""token"": ""deltaSpl234"", ""start_span"": 251, ""end_span"": 262, ""type"": ""Gene/Protein""}, {""token"": ""substSpl2"", ""start_span"": 277, ""end_span"": 286, ""type"": ""Gene/Protein""}, {""token"": ""substSp23"", ""start_span"": 289, ""end_span"": 298, ""type"": ""Gene/Protein""}, {""token"": ""substSp34"", ""start_span"": 313, ""end_span"": 322, ""type"": ""Gene/Protein""}, {""token"": ""substSpl234"", ""start_span"": 337, ""end_span"": 348, ""type"": ""Gene/Protein""}]"	valid
