Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	json	split
These results show that, physiologically, high levels of nuclear of p50, p52 and RelB are restricted to accessory cells of the immune system, which include FDC in GC, and DC and macrophages in the T cell zone, that specialized scavenger macrophages from GC do not have detectable levels of p52 and RelB, whereas macrophages from the T cell area, known to present the antigen to T cells, do have both nuclear p52 and RelB, and that in the T cell zone, p52 and RelB are located in nuclei of both CD1a +, CD68 + or both, cells APC, whereas p50 is restricted to CD1a - and CD68 - APC.	p50,68,71,Gene/Protein	p52,73,76,Gene/Protein	RelB,81,85,Gene/Protein	p52,290,293,Gene/Protein	RelB,298,302,Gene/Protein	p52,408,411,Gene/Protein	RelB,416,420,Gene/Protein	p52,451,454,Gene/Protein	RelB,459,463,Gene/Protein	p50,537,540,Gene/Protein	"[{""token"": ""p50"", ""start_span"": 68, ""end_span"": 71, ""type"": ""Gene/Protein""}, {""token"": ""p52"", ""start_span"": 73, ""end_span"": 76, ""type"": ""Gene/Protein""}, {""token"": ""RelB"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Gene/Protein""}, {""token"": ""p52"", ""start_span"": 290, ""end_span"": 293, ""type"": ""Gene/Protein""}, {""token"": ""RelB"", ""start_span"": 298, ""end_span"": 302, ""type"": ""Gene/Protein""}, {""token"": ""p52"", ""start_span"": 408, ""end_span"": 411, ""type"": ""Gene/Protein""}, {""token"": ""RelB"", ""start_span"": 416, ""end_span"": 420, ""type"": ""Gene/Protein""}, {""token"": ""p52"", ""start_span"": 451, ""end_span"": 454, ""type"": ""Gene/Protein""}, {""token"": ""RelB"", ""start_span"": 459, ""end_span"": 463, ""type"": ""Gene/Protein""}, {""token"": ""p50"", ""start_span"": 537, ""end_span"": 540, ""type"": ""Gene/Protein""}]"	train
B - cell - specific transcription of immunoglobulin genes is mediated by the interaction of a POU domain containing transcription factor Oct - 1 or Oct - 2, with the B - cell - specific coactivator OCA - B ( Bob - 1, OBF - 1) and a prototype octamer element.	immunoglobulin genes,37,57,Gene/Protein	POU domain,94,104,Gene/Protein	transcription factor,116,136,Gene/Protein	Oct - 1,137,144,Gene/Protein	Oct - 2,148,155,Gene/Protein	B - cell - specific coactivator,166,197,Gene/Protein	OCA - B,198,205,Gene/Protein	Bob - 1,208,215,Gene/Protein	OBF - 1,217,224,Gene/Protein	prototype octamer element,232,257,Gene/Protein	"[{""token"": ""immunoglobulin genes"", ""start_span"": 37, ""end_span"": 57, ""type"": ""Gene/Protein""}, {""token"": ""POU domain"", ""start_span"": 94, ""end_span"": 104, ""type"": ""Gene/Protein""}, {""token"": ""transcription factor"", ""start_span"": 116, ""end_span"": 136, ""type"": ""Gene/Protein""}, {""token"": ""Oct - 1"", ""start_span"": 137, ""end_span"": 144, ""type"": ""Gene/Protein""}, {""token"": ""Oct - 2"", ""start_span"": 148, ""end_span"": 155, ""type"": ""Gene/Protein""}, {""token"": ""B - cell - specific coactivator"", ""start_span"": 166, ""end_span"": 197, ""type"": ""Gene/Protein""}, {""token"": ""OCA - B"", ""start_span"": 198, ""end_span"": 205, ""type"": ""Gene/Protein""}, {""token"": ""Bob - 1"", ""start_span"": 208, ""end_span"": 215, ""type"": ""Gene/Protein""}, {""token"": ""OBF - 1"", ""start_span"": 217, ""end_span"": 224, ""type"": ""Gene/Protein""}, {""token"": ""prototype octamer element"", ""start_span"": 232, ""end_span"": 257, ""type"": ""Gene/Protein""}]"	train
We questioned whether or not IL - 10 and IL - 4 affected the expression of transcription factors that are known to be involved in the control of the IL - 6 transcription rate, namely activator protein - 1 ( AP - 1), nuclear factor IL - 6 ( NF - IL6), and nuclear factor kappa B ( NF - kappaB).	IL - 10,29,36,Gene/Protein	IL - 4,41,47,Gene/Protein	transcription factors,75,96,Gene/Protein	IL - 6,149,155,Gene/Protein	AP - 1,207,213,Gene/Protein	nuclear factor,216,230,Gene/Protein	IL - 6,231,237,Gene/Protein	NF - IL6,240,248,Gene/Protein	nuclear factor kappa B,255,277,Gene/Protein	NF - kappaB,280,291,Gene/Protein	"[{""token"": ""IL - 10"", ""start_span"": 29, ""end_span"": 36, ""type"": ""Gene/Protein""}, {""token"": ""IL - 4"", ""start_span"": 41, ""end_span"": 47, ""type"": ""Gene/Protein""}, {""token"": ""transcription factors"", ""start_span"": 75, ""end_span"": 96, ""type"": ""Gene/Protein""}, {""token"": ""IL - 6"", ""start_span"": 149, ""end_span"": 155, ""type"": ""Gene/Protein""}, {""token"": ""AP - 1"", ""start_span"": 207, ""end_span"": 213, ""type"": ""Gene/Protein""}, {""token"": ""nuclear factor"", ""start_span"": 216, ""end_span"": 230, ""type"": ""Gene/Protein""}, {""token"": ""IL - 6"", ""start_span"": 231, ""end_span"": 237, ""type"": ""Gene/Protein""}, {""token"": ""NF - IL6"", ""start_span"": 240, ""end_span"": 248, ""type"": ""Gene/Protein""}, {""token"": ""nuclear factor kappa B"", ""start_span"": 255, ""end_span"": 277, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappaB"", ""start_span"": 280, ""end_span"": 291, ""type"": ""Gene/Protein""}]"	train
Transient transfection of endothelial cells with ICAM - 1 promoter luciferase reporter gene ( ICAM - 1LUC) constructs indicated that deletion of upstream NF - kappa B site ( - 533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation / deletion of downstream NF - kappa B site ( - 223 bases from the translation start site) prevented the activation of ICAM - 1 promoter, indicating that the downstream NF - kappa B site is critical for thrombin inducibility.	NF - kappa B site,154,171,Gene/Protein	- 533 bases,174,185,Gene/Protein	translation start site,191,213,Gene/Protein	thrombin,232,240,Gene/Protein	NF - kappa B site,299,316,Gene/Protein	- 223 bases,319,330,Gene/Protein	translation start site,340,362,Gene/Protein	ICAM - 1 promoter,392,409,Gene/Protein	NF - kappa B site,442,459,Gene/Protein	thrombin,476,484,Gene/Protein	"[{""token"": ""NF - kappa B site"", ""start_span"": 154, ""end_span"": 171, ""type"": ""Gene/Protein""}, {""token"": ""- 533 bases"", ""start_span"": 174, ""end_span"": 185, ""type"": ""Gene/Protein""}, {""token"": ""translation start site"", ""start_span"": 191, ""end_span"": 213, ""type"": ""Gene/Protein""}, {""token"": ""thrombin"", ""start_span"": 232, ""end_span"": 240, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B site"", ""start_span"": 299, ""end_span"": 316, ""type"": ""Gene/Protein""}, {""token"": ""- 223 bases"", ""start_span"": 319, ""end_span"": 330, ""type"": ""Gene/Protein""}, {""token"": ""translation start site"", ""start_span"": 340, ""end_span"": 362, ""type"": ""Gene/Protein""}, {""token"": ""ICAM - 1 promoter"", ""start_span"": 392, ""end_span"": 409, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B site"", ""start_span"": 442, ""end_span"": 459, ""type"": ""Gene/Protein""}, {""token"": ""thrombin"", ""start_span"": 476, ""end_span"": 484, ""type"": ""Gene/Protein""}]"	train
CD40 ligation on MM by CD40L - transfected murine L - cells or by a soluble CD40L fusion protein up - regulated their expression of intercellular adhesion molecule - 1 and MHC class I and class II molecules and their secretion of IL - 6, IL - 8, tumor necrosis factor - a, and granulocyte macrophage colony - stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB.	CD40,0,4,Gene/Protein	CD40L fusion protein,76,96,Gene/Protein	intercellular adhesion molecule - 1,132,167,Gene/Protein	MHC class I and class II molecules,172,206,Gene/Protein	IL - 6,230,236,Gene/Protein	IL - 8,238,244,Gene/Protein	tumor necrosis factor - a,246,271,Gene/Protein	granulocyte macrophage colony - stimulating factor,277,327,Gene/Protein	transcription factor,371,391,Gene/Protein	nuclear factor kappaB,392,413,Gene/Protein	"[{""token"": ""CD40"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene/Protein""}, {""token"": ""CD40L fusion protein"", ""start_span"": 76, ""end_span"": 96, ""type"": ""Gene/Protein""}, {""token"": ""intercellular adhesion molecule - 1"", ""start_span"": 132, ""end_span"": 167, ""type"": ""Gene/Protein""}, {""token"": ""MHC class I and class II molecules"", ""start_span"": 172, ""end_span"": 206, ""type"": ""Gene/Protein""}, {""token"": ""IL - 6"", ""start_span"": 230, ""end_span"": 236, ""type"": ""Gene/Protein""}, {""token"": ""IL - 8"", ""start_span"": 238, ""end_span"": 244, ""type"": ""Gene/Protein""}, {""token"": ""tumor necrosis factor - a"", ""start_span"": 246, ""end_span"": 271, ""type"": ""Gene/Protein""}, {""token"": ""granulocyte macrophage colony - stimulating factor"", ""start_span"": 277, ""end_span"": 327, ""type"": ""Gene/Protein""}, {""token"": ""transcription factor"", ""start_span"": 371, ""end_span"": 391, ""type"": ""Gene/Protein""}, {""token"": ""nuclear factor kappaB"", ""start_span"": 392, ""end_span"": 413, ""type"": ""Gene/Protein""}]"	train
We reasoned that selective IFN responsiveness of the first STAT family member ( Stat1) and Stat1 - dependent immune - response genes such as intercellular adhesion molecule - 1 ( ICAM - 1), IFN regulatory factor - 1 ( IRF - 1), and Stat1 itself in airway epithelial cells provides a basis for detecting cytokine signaling abnormalities in inflammatory airway disease.	IFN,27,30,Gene/Protein	STAT family member,59,77,Gene/Protein	Stat1,80,85,Gene/Protein	Stat1 - dependent immune - response genes,91,132,Gene/Protein	intercellular adhesion molecule - 1,141,176,Gene/Protein	ICAM - 1,179,187,Gene/Protein	IFN regulatory factor - 1,190,215,Gene/Protein	IRF - 1,218,225,Gene/Protein	Stat1,232,237,Gene/Protein	cytokine,303,311,Gene/Protein	"[{""token"": ""IFN"", ""start_span"": 27, ""end_span"": 30, ""type"": ""Gene/Protein""}, {""token"": ""STAT family member"", ""start_span"": 59, ""end_span"": 77, ""type"": ""Gene/Protein""}, {""token"": ""Stat1"", ""start_span"": 80, ""end_span"": 85, ""type"": ""Gene/Protein""}, {""token"": ""Stat1 - dependent immune - response genes"", ""start_span"": 91, ""end_span"": 132, ""type"": ""Gene/Protein""}, {""token"": ""intercellular adhesion molecule - 1"", ""start_span"": 141, ""end_span"": 176, ""type"": ""Gene/Protein""}, {""token"": ""ICAM - 1"", ""start_span"": 179, ""end_span"": 187, ""type"": ""Gene/Protein""}, {""token"": ""IFN regulatory factor - 1"", ""start_span"": 190, ""end_span"": 215, ""type"": ""Gene/Protein""}, {""token"": ""IRF - 1"", ""start_span"": 218, ""end_span"": 225, ""type"": ""Gene/Protein""}, {""token"": ""Stat1"", ""start_span"": 232, ""end_span"": 237, ""type"": ""Gene/Protein""}, {""token"": ""cytokine"", ""start_span"": 303, ""end_span"": 311, ""type"": ""Gene/Protein""}]"	train
First, we showed that viral binding induced a number of immunoregulatory genes ( IL - 1beta, A20, NF - kappaB - p105 / p50, and IkappaBalpha) in unactivated monocytes and that neutralizing Abs to the major HCMV glycoproteins, gB ( UL55) and gH ( UL75), inhibited the induction of these genes.	IL - 1beta,81,91,Gene/Protein	A20,93,96,Gene/Protein	NF - kappaB - p105 / p50,98,122,Gene/Protein	IkappaBalpha,128,140,Gene/Protein	neutralizing Abs,176,192,Gene/Protein	HCMV glycoproteins,206,224,Gene/Protein	gB,226,228,Gene/Protein	UL55,231,235,Gene/Protein	gH,241,243,Gene/Protein	UL75,246,250,Gene/Protein	"[{""token"": ""IL - 1beta"", ""start_span"": 81, ""end_span"": 91, ""type"": ""Gene/Protein""}, {""token"": ""A20"", ""start_span"": 93, ""end_span"": 96, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappaB - p105 / p50"", ""start_span"": 98, ""end_span"": 122, ""type"": ""Gene/Protein""}, {""token"": ""IkappaBalpha"", ""start_span"": 128, ""end_span"": 140, ""type"": ""Gene/Protein""}, {""token"": ""neutralizing Abs"", ""start_span"": 176, ""end_span"": 192, ""type"": ""Gene/Protein""}, {""token"": ""HCMV glycoproteins"", ""start_span"": 206, ""end_span"": 224, ""type"": ""Gene/Protein""}, {""token"": ""gB"", ""start_span"": 226, ""end_span"": 228, ""type"": ""Gene/Protein""}, {""token"": ""UL55"", ""start_span"": 231, ""end_span"": 235, ""type"": ""Gene/Protein""}, {""token"": ""gH"", ""start_span"": 241, ""end_span"": 243, ""type"": ""Gene/Protein""}, {""token"": ""UL75"", ""start_span"": 246, ""end_span"": 250, ""type"": ""Gene/Protein""}]"	train
So far, we have identified five potential targets for Oct2: the membrane glycoprotein CD36, the cysteine - rich secreted protein 3 ( CRISP - 3), a mouse homolog of the human monocyte / neutrophil elastase inhibitor ( mEI) and two unknown cDNA sequences Nov1 and Nov2.	Oct2,54,58,Gene/Protein	membrane glycoprotein,64,85,Gene/Protein	CD36,86,90,Gene/Protein	cysteine - rich secreted protein 3,96,130,Gene/Protein	CRISP - 3,133,142,Gene/Protein	human monocyte / neutrophil elastase inhibitor,168,214,Gene/Protein	mEI,217,220,Gene/Protein	cDNA sequences,238,252,Gene/Protein	Nov1,253,257,Gene/Protein	Nov2,262,266,Gene/Protein	"[{""token"": ""Oct2"", ""start_span"": 54, ""end_span"": 58, ""type"": ""Gene/Protein""}, {""token"": ""membrane glycoprotein"", ""start_span"": 64, ""end_span"": 85, ""type"": ""Gene/Protein""}, {""token"": ""CD36"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Gene/Protein""}, {""token"": ""cysteine - rich secreted protein 3"", ""start_span"": 96, ""end_span"": 130, ""type"": ""Gene/Protein""}, {""token"": ""CRISP - 3"", ""start_span"": 133, ""end_span"": 142, ""type"": ""Gene/Protein""}, {""token"": ""human monocyte / neutrophil elastase inhibitor"", ""start_span"": 168, ""end_span"": 214, ""type"": ""Gene/Protein""}, {""token"": ""mEI"", ""start_span"": 217, ""end_span"": 220, ""type"": ""Gene/Protein""}, {""token"": ""cDNA sequences"", ""start_span"": 238, ""end_span"": 252, ""type"": ""Gene/Protein""}, {""token"": ""Nov1"", ""start_span"": 253, ""end_span"": 257, ""type"": ""Gene/Protein""}, {""token"": ""Nov2"", ""start_span"": 262, ""end_span"": 266, ""type"": ""Gene/Protein""}]"	train
Transfection studies of LTR reporter constructs indicated that mutation of the DSE sites abrogated the LTR - mediated synergy induced by Ctx and TNFalpha, whereas the synergy induced by Ctx and IL - 1beta was unaffected, suggesting TNFalpha and IL - 1beta cooperate differently with the cAMP / PKA activation pathway to induce HIV - 1 expression in U1 cells.	LTR reporter constructs,24,47,Gene/Protein	DSE sites,79,88,Gene/Protein	LTR,103,106,Gene/Protein	Ctx,137,140,Gene/Protein	TNFalpha,145,153,Gene/Protein	Ctx,186,189,Gene/Protein	IL - 1beta,194,204,Gene/Protein	TNFalpha,232,240,Gene/Protein	IL - 1beta,245,255,Gene/Protein	/ PKA,292,297,Gene/Protein	"[{""token"": ""LTR reporter constructs"", ""start_span"": 24, ""end_span"": 47, ""type"": ""Gene/Protein""}, {""token"": ""DSE sites"", ""start_span"": 79, ""end_span"": 88, ""type"": ""Gene/Protein""}, {""token"": ""LTR"", ""start_span"": 103, ""end_span"": 106, ""type"": ""Gene/Protein""}, {""token"": ""Ctx"", ""start_span"": 137, ""end_span"": 140, ""type"": ""Gene/Protein""}, {""token"": ""TNFalpha"", ""start_span"": 145, ""end_span"": 153, ""type"": ""Gene/Protein""}, {""token"": ""Ctx"", ""start_span"": 186, ""end_span"": 189, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1beta"", ""start_span"": 194, ""end_span"": 204, ""type"": ""Gene/Protein""}, {""token"": ""TNFalpha"", ""start_span"": 232, ""end_span"": 240, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1beta"", ""start_span"": 245, ""end_span"": 255, ""type"": ""Gene/Protein""}, {""token"": ""/ PKA"", ""start_span"": 292, ""end_span"": 297, ""type"": ""Gene/Protein""}]"	train
Although NAC reduced nuclear factor - kappa B ( NF - kappa B) activation in EC as measured by gel - shift assays using an oligonucleotide probe corresponding to the consensus NF - kappa B binding sites of the VCAM - 1 gene ( VCAM - NF - kappa B), the antioxidant had no appreciable effect when an oligomer corresponding to the consensus NF - kappa B binding site of the E - selectin gene ( E - selectin - NF - kappa B) was used.	nuclear factor - kappa B,21,45,Gene/Protein	NF - kappa B,48,60,Gene/Protein	oligonucleotide probe,122,143,Gene/Protein	NF - kappa B binding sites,175,201,Gene/Protein	VCAM - 1 gene,209,222,Gene/Protein	VCAM - NF - kappa B,225,244,Gene/Protein	consensus NF - kappa B binding site,327,362,Gene/Protein	E - selectin gene,370,387,Gene/Protein	E - selectin,390,402,Gene/Protein	- NF - kappa B,403,417,Gene/Protein	"[{""token"": ""nuclear factor - kappa B"", ""start_span"": 21, ""end_span"": 45, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B"", ""start_span"": 48, ""end_span"": 60, ""type"": ""Gene/Protein""}, {""token"": ""oligonucleotide probe"", ""start_span"": 122, ""end_span"": 143, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B binding sites"", ""start_span"": 175, ""end_span"": 201, ""type"": ""Gene/Protein""}, {""token"": ""VCAM - 1 gene"", ""start_span"": 209, ""end_span"": 222, ""type"": ""Gene/Protein""}, {""token"": ""VCAM - NF - kappa B"", ""start_span"": 225, ""end_span"": 244, ""type"": ""Gene/Protein""}, {""token"": ""consensus NF - kappa B binding site"", ""start_span"": 327, ""end_span"": 362, ""type"": ""Gene/Protein""}, {""token"": ""E - selectin gene"", ""start_span"": 370, ""end_span"": 387, ""type"": ""Gene/Protein""}, {""token"": ""E - selectin"", ""start_span"": 390, ""end_span"": 402, ""type"": ""Gene/Protein""}, {""token"": ""- NF - kappa B"", ""start_span"": 403, ""end_span"": 417, ""type"": ""Gene/Protein""}]"	train
