Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	json	split
To further dissect p95vav involvement in TCR signaling, we analyzed various Jurkat mutants deficient in TCR signaling function or TCR expression and showed that an intact TCR signaling pathway is required for p95vav to function.	p95vav,19,25,Gene/Protein	TCR,41,44,Gene/Protein	TCR,104,107,Gene/Protein	TCR,130,133,Gene/Protein	TCR,171,174,Gene/Protein	p95vav,209,215,Gene/Protein	"[{""token"": ""p95vav"", ""start_span"": 19, ""end_span"": 25, ""type"": ""Gene/Protein""}, {""token"": ""TCR"", ""start_span"": 41, ""end_span"": 44, ""type"": ""Gene/Protein""}, {""token"": ""TCR"", ""start_span"": 104, ""end_span"": 107, ""type"": ""Gene/Protein""}, {""token"": ""TCR"", ""start_span"": 130, ""end_span"": 133, ""type"": ""Gene/Protein""}, {""token"": ""TCR"", ""start_span"": 171, ""end_span"": 174, ""type"": ""Gene/Protein""}, {""token"": ""p95vav"", ""start_span"": 209, ""end_span"": 215, ""type"": ""Gene/Protein""}]"	train
In erythroid cells most of the transcription activity was contained in a 150 bp promoter fragment with binding sites for transcription factors AP2, Sp1 and the erythroid - specific GATA - 1.	150 bp promoter,73,88,Gene/Protein	binding sites,103,116,Gene/Protein	transcription factors,121,142,Gene/Protein	AP2,143,146,Gene/Protein	Sp1,148,151,Gene/Protein	erythroid - specific GATA - 1,160,189,Gene/Protein	"[{""token"": ""150 bp promoter"", ""start_span"": 73, ""end_span"": 88, ""type"": ""Gene/Protein""}, {""token"": ""binding sites"", ""start_span"": 103, ""end_span"": 116, ""type"": ""Gene/Protein""}, {""token"": ""transcription factors"", ""start_span"": 121, ""end_span"": 142, ""type"": ""Gene/Protein""}, {""token"": ""AP2"", ""start_span"": 143, ""end_span"": 146, ""type"": ""Gene/Protein""}, {""token"": ""Sp1"", ""start_span"": 148, ""end_span"": 151, ""type"": ""Gene/Protein""}, {""token"": ""erythroid - specific GATA - 1"", ""start_span"": 160, ""end_span"": 189, ""type"": ""Gene/Protein""}]"	train
NO also decreased the endothelial expression of other leukocyte adhesion molecules ( E - selectin and to a lesser extent, intercellular adhesion molecule - 1) and secretable cytokines ( IL - 6 and IL - 8).	leukocyte adhesion molecules,54,82,Gene/Protein	E - selectin,85,97,Gene/Protein	intercellular adhesion molecule - 1,122,157,Gene/Protein	cytokines,174,183,Gene/Protein	IL - 6,186,192,Gene/Protein	IL - 8,197,203,Gene/Protein	"[{""token"": ""leukocyte adhesion molecules"", ""start_span"": 54, ""end_span"": 82, ""type"": ""Gene/Protein""}, {""token"": ""E - selectin"", ""start_span"": 85, ""end_span"": 97, ""type"": ""Gene/Protein""}, {""token"": ""intercellular adhesion molecule - 1"", ""start_span"": 122, ""end_span"": 157, ""type"": ""Gene/Protein""}, {""token"": ""cytokines"", ""start_span"": 174, ""end_span"": 183, ""type"": ""Gene/Protein""}, {""token"": ""IL - 6"", ""start_span"": 186, ""end_span"": 192, ""type"": ""Gene/Protein""}, {""token"": ""IL - 8"", ""start_span"": 197, ""end_span"": 203, ""type"": ""Gene/Protein""}]"	train
However, unlike another tumor suppressor protein, p53, Rb did not have any significant effect on basal levels of transcription, suggesting that Rb specifically interacts with IE2 rather than other cellular factors involved in the general transcription machinery.	tumor suppressor protein,24,48,Gene/Protein	p53,50,53,Gene/Protein	Rb,55,57,Gene/Protein	Rb,144,146,Gene/Protein	IE2,175,178,Gene/Protein	cellular factors,197,213,Gene/Protein	"[{""token"": ""tumor suppressor protein"", ""start_span"": 24, ""end_span"": 48, ""type"": ""Gene/Protein""}, {""token"": ""p53"", ""start_span"": 50, ""end_span"": 53, ""type"": ""Gene/Protein""}, {""token"": ""Rb"", ""start_span"": 55, ""end_span"": 57, ""type"": ""Gene/Protein""}, {""token"": ""Rb"", ""start_span"": 144, ""end_span"": 146, ""type"": ""Gene/Protein""}, {""token"": ""IE2"", ""start_span"": 175, ""end_span"": 178, ""type"": ""Gene/Protein""}, {""token"": ""cellular factors"", ""start_span"": 197, ""end_span"": 213, ""type"": ""Gene/Protein""}]"	train
Recently, transcription factors known as STATs ( signal transducers and activators of transcription) have been shown to be tyrosine phosphorylated and activated in response to a number of cytokines that bind hematopoietin receptors and activate JAK kinases.	transcription factors,10,31,Gene/Protein	STATs,41,46,Gene/Protein	signal transducers and activators of transcription,49,99,Gene/Protein	cytokines,188,197,Gene/Protein	hematopoietin receptors,208,231,Gene/Protein	JAK kinases,245,256,Gene/Protein	"[{""token"": ""transcription factors"", ""start_span"": 10, ""end_span"": 31, ""type"": ""Gene/Protein""}, {""token"": ""STATs"", ""start_span"": 41, ""end_span"": 46, ""type"": ""Gene/Protein""}, {""token"": ""signal transducers and activators of transcription"", ""start_span"": 49, ""end_span"": 99, ""type"": ""Gene/Protein""}, {""token"": ""cytokines"", ""start_span"": 188, ""end_span"": 197, ""type"": ""Gene/Protein""}, {""token"": ""hematopoietin receptors"", ""start_span"": 208, ""end_span"": 231, ""type"": ""Gene/Protein""}, {""token"": ""JAK kinases"", ""start_span"": 245, ""end_span"": 256, ""type"": ""Gene/Protein""}]"	train
The AP - 1 binding proteins contained c - Jun, Jun - D, and Fra - 1, but marginal amounts of Jun - B and c - Fos.	AP - 1 binding proteins,4,27,Gene/Protein	c - Jun,38,45,Gene/Protein	Jun - D,47,54,Gene/Protein	Fra - 1,60,67,Gene/Protein	Jun - B,93,100,Gene/Protein	c - Fos,105,112,Gene/Protein	"[{""token"": ""AP - 1 binding proteins"", ""start_span"": 4, ""end_span"": 27, ""type"": ""Gene/Protein""}, {""token"": ""c - Jun"", ""start_span"": 38, ""end_span"": 45, ""type"": ""Gene/Protein""}, {""token"": ""Jun - D"", ""start_span"": 47, ""end_span"": 54, ""type"": ""Gene/Protein""}, {""token"": ""Fra - 1"", ""start_span"": 60, ""end_span"": 67, ""type"": ""Gene/Protein""}, {""token"": ""Jun - B"", ""start_span"": 93, ""end_span"": 100, ""type"": ""Gene/Protein""}, {""token"": ""c - Fos"", ""start_span"": 105, ""end_span"": 112, ""type"": ""Gene/Protein""}]"	train
The CK - 1 / CD28RE of GM - CSF shows a high degree of similarity to the IL - 2 CD28RE and the IL - 3 gene also contains a related region.	CK - 1,4,10,Gene/Protein	/ CD28RE,11,19,Gene/Protein	GM - CSF,23,31,Gene/Protein	IL - 2,73,79,Gene/Protein	CD28RE,80,86,Gene/Protein	IL - 3 gene,95,106,Gene/Protein	"[{""token"": ""CK - 1"", ""start_span"": 4, ""end_span"": 10, ""type"": ""Gene/Protein""}, {""token"": ""/ CD28RE"", ""start_span"": 11, ""end_span"": 19, ""type"": ""Gene/Protein""}, {""token"": ""GM - CSF"", ""start_span"": 23, ""end_span"": 31, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2"", ""start_span"": 73, ""end_span"": 79, ""type"": ""Gene/Protein""}, {""token"": ""CD28RE"", ""start_span"": 80, ""end_span"": 86, ""type"": ""Gene/Protein""}, {""token"": ""IL - 3 gene"", ""start_span"": 95, ""end_span"": 106, ""type"": ""Gene/Protein""}]"	train
To test these hypotheses, we studied several tat mutants, including two stop codon mutants and one deletion mutant using replication - competent HIV - 1 constructs carrying wild - type or mutant LTRs with modifications in the NF - kappa B and / or Sp1 binding sites.	tat mutants,45,56,Gene/Protein	stop codon mutants,72,90,Gene/Protein	deletion mutant,99,114,Gene/Protein	replication - competent HIV - 1 constructs,121,163,Gene/Protein	wild - type or mutant LTRs,173,199,Gene/Protein	NF - kappa B and / or Sp1 binding sites,226,265,Gene/Protein	"[{""token"": ""tat mutants"", ""start_span"": 45, ""end_span"": 56, ""type"": ""Gene/Protein""}, {""token"": ""stop codon mutants"", ""start_span"": 72, ""end_span"": 90, ""type"": ""Gene/Protein""}, {""token"": ""deletion mutant"", ""start_span"": 99, ""end_span"": 114, ""type"": ""Gene/Protein""}, {""token"": ""replication - competent HIV - 1 constructs"", ""start_span"": 121, ""end_span"": 163, ""type"": ""Gene/Protein""}, {""token"": ""wild - type or mutant LTRs"", ""start_span"": 173, ""end_span"": 199, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B and / or Sp1 binding sites"", ""start_span"": 226, ""end_span"": 265, ""type"": ""Gene/Protein""}]"	train
Core binding factor ( CBF), also known as polyomavirus enhancer - binding protein 2 and SL3 enhancer factor 1, is a mammalian transcription factor that binds to an element termed the core within the enhancers of the murine leukemia virus family of retroviruses.	Core binding factor,0,19,Gene/Protein	CBF,22,25,Gene/Protein	polyomavirus enhancer - binding protein 2,42,83,Gene/Protein	SL3 enhancer factor 1,88,109,Gene/Protein	mammalian transcription factor,116,146,Gene/Protein	enhancers,199,208,Gene/Protein	"[{""token"": ""Core binding factor"", ""start_span"": 0, ""end_span"": 19, ""type"": ""Gene/Protein""}, {""token"": ""CBF"", ""start_span"": 22, ""end_span"": 25, ""type"": ""Gene/Protein""}, {""token"": ""polyomavirus enhancer - binding protein 2"", ""start_span"": 42, ""end_span"": 83, ""type"": ""Gene/Protein""}, {""token"": ""SL3 enhancer factor 1"", ""start_span"": 88, ""end_span"": 109, ""type"": ""Gene/Protein""}, {""token"": ""mammalian transcription factor"", ""start_span"": 116, ""end_span"": 146, ""type"": ""Gene/Protein""}, {""token"": ""enhancers"", ""start_span"": 199, ""end_span"": 208, ""type"": ""Gene/Protein""}]"	train
A truncated Tat protein ( Tat1 - 72), known to transactivate the HIV - 1 long terminal repeat ( LTR), no longer affected Mn - SOD expression, the cellular redox state or TNF - mediated cytotoxicity.	Tat protein,12,23,Gene/Protein	Tat1 - 72,26,35,Gene/Protein	HIV - 1 long terminal repeat,65,93,Gene/Protein	LTR,96,99,Gene/Protein	Mn - SOD,121,129,Gene/Protein	TNF,170,173,Gene/Protein	"[{""token"": ""Tat protein"", ""start_span"": 12, ""end_span"": 23, ""type"": ""Gene/Protein""}, {""token"": ""Tat1 - 72"", ""start_span"": 26, ""end_span"": 35, ""type"": ""Gene/Protein""}, {""token"": ""HIV - 1 long terminal repeat"", ""start_span"": 65, ""end_span"": 93, ""type"": ""Gene/Protein""}, {""token"": ""LTR"", ""start_span"": 96, ""end_span"": 99, ""type"": ""Gene/Protein""}, {""token"": ""Mn - SOD"", ""start_span"": 121, ""end_span"": 129, ""type"": ""Gene/Protein""}, {""token"": ""TNF"", ""start_span"": 170, ""end_span"": 173, ""type"": ""Gene/Protein""}]"	train
