Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	entity_12	json	split
Whereas activation of the HIV - 1 enhancer following T - cell stimulation is mediated largely through binding of the transcription factor NF - kappa B to two adjacent kappa B sites in the HIV - 1 long terminal repeat, activation of the HIV - 2 enhancer in monocytes and T cells is dependent on four cis - acting elements: a single kappa B site, two purine - rich binding sites, PuB1 and PuB2, and a pets site.	HIV - 1 enhancer,26,42,Gene/Protein	transcription factor,117,137,Gene/Protein	NF - kappa B,138,150,Gene/Protein	kappa B sites,167,180,Gene/Protein	HIV - 1 long terminal repeat,188,216,Gene/Protein	HIV - 2 enhancer,236,252,Gene/Protein	cis - acting elements,299,320,Gene/Protein	kappa B site,331,343,Gene/Protein	purine - rich binding sites,349,376,Gene/Protein	PuB1,378,382,Gene/Protein	PuB2,387,391,Gene/Protein	pets site,399,408,Gene/Protein	"[{""token"": ""HIV - 1 enhancer"", ""start_span"": 26, ""end_span"": 42, ""type"": ""Gene/Protein""}, {""token"": ""transcription factor"", ""start_span"": 117, ""end_span"": 137, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B"", ""start_span"": 138, ""end_span"": 150, ""type"": ""Gene/Protein""}, {""token"": ""kappa B sites"", ""start_span"": 167, ""end_span"": 180, ""type"": ""Gene/Protein""}, {""token"": ""HIV - 1 long terminal repeat"", ""start_span"": 188, ""end_span"": 216, ""type"": ""Gene/Protein""}, {""token"": ""HIV - 2 enhancer"", ""start_span"": 236, ""end_span"": 252, ""type"": ""Gene/Protein""}, {""token"": ""cis - acting elements"", ""start_span"": 299, ""end_span"": 320, ""type"": ""Gene/Protein""}, {""token"": ""kappa B site"", ""start_span"": 331, ""end_span"": 343, ""type"": ""Gene/Protein""}, {""token"": ""purine - rich binding sites"", ""start_span"": 349, ""end_span"": 376, ""type"": ""Gene/Protein""}, {""token"": ""PuB1"", ""start_span"": 378, ""end_span"": 382, ""type"": ""Gene/Protein""}, {""token"": ""PuB2"", ""start_span"": 387, ""end_span"": 391, ""type"": ""Gene/Protein""}, {""token"": ""pets site"", ""start_span"": 399, ""end_span"": 408, ""type"": ""Gene/Protein""}]"	train
To determine whether the functional defect of the patients ' T cells was due to the absence or abnormal binding of transcription factors involved in cytokine gene expression, electrophoretic mobility shift assays were used to examine the DNA binding of AP - 1, Oct, CREB, SP1, NF - kappa B and the nuclear factor of activated T cells ( NF - AT) to their respective response elements in the promoter of the IL - 2 gene.	transcription factors,115,136,Gene/Protein	cytokine gene,149,162,Gene/Protein	AP - 1,253,259,Gene/Protein	Oct,261,264,Gene/Protein	CREB,266,270,Gene/Protein	SP1,272,275,Gene/Protein	NF - kappa B,277,289,Gene/Protein	nuclear factor of activated T cells,298,333,Gene/Protein	NF - AT,336,343,Gene/Protein	response elements,365,382,Gene/Protein	promoter,390,398,Gene/Protein	IL - 2 gene,406,417,Gene/Protein	"[{""token"": ""transcription factors"", ""start_span"": 115, ""end_span"": 136, ""type"": ""Gene/Protein""}, {""token"": ""cytokine gene"", ""start_span"": 149, ""end_span"": 162, ""type"": ""Gene/Protein""}, {""token"": ""AP - 1"", ""start_span"": 253, ""end_span"": 259, ""type"": ""Gene/Protein""}, {""token"": ""Oct"", ""start_span"": 261, ""end_span"": 264, ""type"": ""Gene/Protein""}, {""token"": ""CREB"", ""start_span"": 266, ""end_span"": 270, ""type"": ""Gene/Protein""}, {""token"": ""SP1"", ""start_span"": 272, ""end_span"": 275, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B"", ""start_span"": 277, ""end_span"": 289, ""type"": ""Gene/Protein""}, {""token"": ""nuclear factor of activated T cells"", ""start_span"": 298, ""end_span"": 333, ""type"": ""Gene/Protein""}, {""token"": ""NF - AT"", ""start_span"": 336, ""end_span"": 343, ""type"": ""Gene/Protein""}, {""token"": ""response elements"", ""start_span"": 365, ""end_span"": 382, ""type"": ""Gene/Protein""}, {""token"": ""promoter"", ""start_span"": 390, ""end_span"": 398, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2 gene"", ""start_span"": 406, ""end_span"": 417, ""type"": ""Gene/Protein""}]"	train
The Th2 - type cytokines, interleukin - 4 ( IL - 4) and interleukin - 13 ( IL - 13), induce expression of a distinct subset of genes in human monocytes, including FcepsilonRIIb ( CD23), 15 - lipoxygenase, IL - 1 receptor antagonist ( IL - 1ra), and type I and type II IL - 1 receptors ( IL - 1R).	Th2 - type cytokines,4,24,Gene/Protein	interleukin - 4,26,41,Gene/Protein	IL - 4,44,50,Gene/Protein	interleukin - 13,56,72,Gene/Protein	IL - 13,75,82,Gene/Protein	FcepsilonRIIb,163,176,Gene/Protein	CD23,179,183,Gene/Protein	15 - lipoxygenase,186,203,Gene/Protein	IL - 1 receptor antagonist,205,231,Gene/Protein	IL - 1ra,234,242,Gene/Protein	type I and type II IL - 1 receptors,249,284,Gene/Protein	IL - 1R,287,294,Gene/Protein	"[{""token"": ""Th2 - type cytokines"", ""start_span"": 4, ""end_span"": 24, ""type"": ""Gene/Protein""}, {""token"": ""interleukin - 4"", ""start_span"": 26, ""end_span"": 41, ""type"": ""Gene/Protein""}, {""token"": ""IL - 4"", ""start_span"": 44, ""end_span"": 50, ""type"": ""Gene/Protein""}, {""token"": ""interleukin - 13"", ""start_span"": 56, ""end_span"": 72, ""type"": ""Gene/Protein""}, {""token"": ""IL - 13"", ""start_span"": 75, ""end_span"": 82, ""type"": ""Gene/Protein""}, {""token"": ""FcepsilonRIIb"", ""start_span"": 163, ""end_span"": 176, ""type"": ""Gene/Protein""}, {""token"": ""CD23"", ""start_span"": 179, ""end_span"": 183, ""type"": ""Gene/Protein""}, {""token"": ""15 - lipoxygenase"", ""start_span"": 186, ""end_span"": 203, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1 receptor antagonist"", ""start_span"": 205, ""end_span"": 231, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1ra"", ""start_span"": 234, ""end_span"": 242, ""type"": ""Gene/Protein""}, {""token"": ""type I and type II IL - 1 receptors"", ""start_span"": 249, ""end_span"": 284, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1R"", ""start_span"": 287, ""end_span"": 294, ""type"": ""Gene/Protein""}]"	train
Tumor necrosis factor receptor - 1 ( TNFR - 1) and CD95 ( also called Fas or APO - 1) are cytokine receptors that engage the apoptosis pathway through a region of intracellular homology, designated the ` ` death domain. ' ' Another death domain - containing member of the TNFR family, death receptor 3 ( DR3), was identified and was shown to induce both apoptosis and activation of nuclear factor kappaB.	Tumor necrosis factor receptor - 1,0,34,Gene/Protein	TNFR - 1,37,45,Gene/Protein	CD95,51,55,Gene/Protein	Fas,70,73,Gene/Protein	APO - 1,77,84,Gene/Protein	cytokine receptors,90,108,Gene/Protein	death domain,206,218,Gene/Protein	death domain - containing member,232,264,Gene/Protein	TNFR family,272,283,Gene/Protein	death receptor 3,285,301,Gene/Protein	DR3,304,307,Gene/Protein	nuclear factor kappaB,382,403,Gene/Protein	"[{""token"": ""Tumor necrosis factor receptor - 1"", ""start_span"": 0, ""end_span"": 34, ""type"": ""Gene/Protein""}, {""token"": ""TNFR - 1"", ""start_span"": 37, ""end_span"": 45, ""type"": ""Gene/Protein""}, {""token"": ""CD95"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Gene/Protein""}, {""token"": ""Fas"", ""start_span"": 70, ""end_span"": 73, ""type"": ""Gene/Protein""}, {""token"": ""APO - 1"", ""start_span"": 77, ""end_span"": 84, ""type"": ""Gene/Protein""}, {""token"": ""cytokine receptors"", ""start_span"": 90, ""end_span"": 108, ""type"": ""Gene/Protein""}, {""token"": ""death domain"", ""start_span"": 206, ""end_span"": 218, ""type"": ""Gene/Protein""}, {""token"": ""death domain - containing member"", ""start_span"": 232, ""end_span"": 264, ""type"": ""Gene/Protein""}, {""token"": ""TNFR family"", ""start_span"": 272, ""end_span"": 283, ""type"": ""Gene/Protein""}, {""token"": ""death receptor 3"", ""start_span"": 285, ""end_span"": 301, ""type"": ""Gene/Protein""}, {""token"": ""DR3"", ""start_span"": 304, ""end_span"": 307, ""type"": ""Gene/Protein""}, {""token"": ""nuclear factor kappaB"", ""start_span"": 382, ""end_span"": 403, ""type"": ""Gene/Protein""}]"	valid
Tyloxapol inhibits activation of the transcription factor nuclear factor - kappa B ( NK - kappa B), reduces resting secretion of the cytokine interleukin - 8 ( IL - 8) in cultured human monocytes, and inhibits lipopolysaccharide ( LPS) - stimulated release of tumor necrosis factor - alpha ( TNF - alpha), IL - 1 beta, IL - 6, IL - 8, granulocyte - macrophage colony - stimulating factor ( GM - CSF), and the eiconsanoids thromboxane A2 and leukotriene B4 ( LTB4).	transcription factor nuclear factor - kappa B,37,82,Gene/Protein	NK - kappa B,85,97,Gene/Protein	cytokine,133,141,Gene/Protein	interleukin - 8,142,157,Gene/Protein	IL - 8,160,166,Gene/Protein	tumor necrosis factor - alpha,260,289,Gene/Protein	TNF - alpha,292,303,Gene/Protein	IL - 1 beta,306,317,Gene/Protein	IL - 6,319,325,Gene/Protein	IL - 8,327,333,Gene/Protein	granulocyte - macrophage colony - stimulating factor,335,387,Gene/Protein	GM - CSF,390,398,Gene/Protein	"[{""token"": ""transcription factor nuclear factor - kappa B"", ""start_span"": 37, ""end_span"": 82, ""type"": ""Gene/Protein""}, {""token"": ""NK - kappa B"", ""start_span"": 85, ""end_span"": 97, ""type"": ""Gene/Protein""}, {""token"": ""cytokine"", ""start_span"": 133, ""end_span"": 141, ""type"": ""Gene/Protein""}, {""token"": ""interleukin - 8"", ""start_span"": 142, ""end_span"": 157, ""type"": ""Gene/Protein""}, {""token"": ""IL - 8"", ""start_span"": 160, ""end_span"": 166, ""type"": ""Gene/Protein""}, {""token"": ""tumor necrosis factor - alpha"", ""start_span"": 260, ""end_span"": 289, ""type"": ""Gene/Protein""}, {""token"": ""TNF - alpha"", ""start_span"": 292, ""end_span"": 303, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1 beta"", ""start_span"": 306, ""end_span"": 317, ""type"": ""Gene/Protein""}, {""token"": ""IL - 6"", ""start_span"": 319, ""end_span"": 325, ""type"": ""Gene/Protein""}, {""token"": ""IL - 8"", ""start_span"": 327, ""end_span"": 333, ""type"": ""Gene/Protein""}, {""token"": ""granulocyte - macrophage colony - stimulating factor"", ""start_span"": 335, ""end_span"": 387, ""type"": ""Gene/Protein""}, {""token"": ""GM - CSF"", ""start_span"": 390, ""end_span"": 398, ""type"": ""Gene/Protein""}]"	valid
This transcription factor is activated via the selective phosphorylation, ubiquination and degradation of its inhibitor protein I - kB thereby allowing translocation of NF - kappa B into the nucleus where it upregulates the transcription of a variety of adhesion molecules ( e. g. ICAM - 1, VCAM - 1), cytokines ( TNF, IL - 1, IL - 6) and enzymes ( iNOS).	transcription factor,5,25,Gene/Protein	inhibitor protein I - kB,110,134,Gene/Protein	NF - kappa B,169,181,Gene/Protein	adhesion molecules,254,272,Gene/Protein	ICAM - 1,281,289,Gene/Protein	VCAM - 1,291,299,Gene/Protein	cytokines,302,311,Gene/Protein	TNF,314,317,Gene/Protein	IL - 1,319,325,Gene/Protein	IL - 6,327,333,Gene/Protein	enzymes,339,346,Gene/Protein	iNOS,349,353,Gene/Protein	"[{""token"": ""transcription factor"", ""start_span"": 5, ""end_span"": 25, ""type"": ""Gene/Protein""}, {""token"": ""inhibitor protein I - kB"", ""start_span"": 110, ""end_span"": 134, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B"", ""start_span"": 169, ""end_span"": 181, ""type"": ""Gene/Protein""}, {""token"": ""adhesion molecules"", ""start_span"": 254, ""end_span"": 272, ""type"": ""Gene/Protein""}, {""token"": ""ICAM - 1"", ""start_span"": 281, ""end_span"": 289, ""type"": ""Gene/Protein""}, {""token"": ""VCAM - 1"", ""start_span"": 291, ""end_span"": 299, ""type"": ""Gene/Protein""}, {""token"": ""cytokines"", ""start_span"": 302, ""end_span"": 311, ""type"": ""Gene/Protein""}, {""token"": ""TNF"", ""start_span"": 314, ""end_span"": 317, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1"", ""start_span"": 319, ""end_span"": 325, ""type"": ""Gene/Protein""}, {""token"": ""IL - 6"", ""start_span"": 327, ""end_span"": 333, ""type"": ""Gene/Protein""}, {""token"": ""enzymes"", ""start_span"": 339, ""end_span"": 346, ""type"": ""Gene/Protein""}, {""token"": ""iNOS"", ""start_span"": 349, ""end_span"": 353, ""type"": ""Gene/Protein""}]"	valid
The virally induced 90 - to 100 - kDa proteins have a distinct binding specificity for the PRDII domain and an AT - rich sequence but do not cross - react with NF - kappa B subunit - specific antisera directed against NFKB1 ( p105 or p50), NFKB2 ( p100 or p52), RelA ( p65), or c - rel.	90 - to 100 - kDa proteins,20,46,Gene/Protein	PRDII domain,91,103,Gene/Protein	AT - rich sequence,111,129,Gene/Protein	NFKB1,218,223,Gene/Protein	p105,226,230,Gene/Protein	p50,234,237,Gene/Protein	NFKB2,240,245,Gene/Protein	p100,248,252,Gene/Protein	p52,256,259,Gene/Protein	RelA,262,266,Gene/Protein	p65,269,272,Gene/Protein	c - rel,278,285,Gene/Protein	"[{""token"": ""90 - to 100 - kDa proteins"", ""start_span"": 20, ""end_span"": 46, ""type"": ""Gene/Protein""}, {""token"": ""PRDII domain"", ""start_span"": 91, ""end_span"": 103, ""type"": ""Gene/Protein""}, {""token"": ""AT - rich sequence"", ""start_span"": 111, ""end_span"": 129, ""type"": ""Gene/Protein""}, {""token"": ""NFKB1"", ""start_span"": 218, ""end_span"": 223, ""type"": ""Gene/Protein""}, {""token"": ""p105"", ""start_span"": 226, ""end_span"": 230, ""type"": ""Gene/Protein""}, {""token"": ""p50"", ""start_span"": 234, ""end_span"": 237, ""type"": ""Gene/Protein""}, {""token"": ""NFKB2"", ""start_span"": 240, ""end_span"": 245, ""type"": ""Gene/Protein""}, {""token"": ""p100"", ""start_span"": 248, ""end_span"": 252, ""type"": ""Gene/Protein""}, {""token"": ""p52"", ""start_span"": 256, ""end_span"": 259, ""type"": ""Gene/Protein""}, {""token"": ""RelA"", ""start_span"": 262, ""end_span"": 266, ""type"": ""Gene/Protein""}, {""token"": ""p65"", ""start_span"": 269, ""end_span"": 272, ""type"": ""Gene/Protein""}, {""token"": ""c - rel"", ""start_span"": 278, ""end_span"": 285, ""type"": ""Gene/Protein""}]"	test
Whereas activation of the HIV - 1 enhancer following T - cell stimulation is mediated largely through binding of the transcription factor NF - kappa B to two adjacent kappa B sites in the HIV - 1 long terminal repeat, activation of the HIV - 2 enhancer in monocytes and T cells is dependent on four cis - acting elements: a single kappa B site, two purine - rich binding sites, PuB1 and PuB2, and a pets site.	HIV - 1 enhancer,26,42,Gene/Protein	transcription factor,117,137,Gene/Protein	NF - kappa B,138,150,Gene/Protein	kappa B sites,167,180,Gene/Protein	HIV - 1 long terminal repeat,188,216,Gene/Protein	HIV - 2 enhancer,236,252,Gene/Protein	cis - acting elements,299,320,Gene/Protein	kappa B site,331,343,Gene/Protein	purine - rich binding sites,349,376,Gene/Protein	PuB1,378,382,Gene/Protein	PuB2,387,391,Gene/Protein	pets site,399,408,Gene/Protein	"[{""token"": ""HIV - 1 enhancer"", ""start_span"": 26, ""end_span"": 42, ""type"": ""Gene/Protein""}, {""token"": ""transcription factor"", ""start_span"": 117, ""end_span"": 137, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B"", ""start_span"": 138, ""end_span"": 150, ""type"": ""Gene/Protein""}, {""token"": ""kappa B sites"", ""start_span"": 167, ""end_span"": 180, ""type"": ""Gene/Protein""}, {""token"": ""HIV - 1 long terminal repeat"", ""start_span"": 188, ""end_span"": 216, ""type"": ""Gene/Protein""}, {""token"": ""HIV - 2 enhancer"", ""start_span"": 236, ""end_span"": 252, ""type"": ""Gene/Protein""}, {""token"": ""cis - acting elements"", ""start_span"": 299, ""end_span"": 320, ""type"": ""Gene/Protein""}, {""token"": ""kappa B site"", ""start_span"": 331, ""end_span"": 343, ""type"": ""Gene/Protein""}, {""token"": ""purine - rich binding sites"", ""start_span"": 349, ""end_span"": 376, ""type"": ""Gene/Protein""}, {""token"": ""PuB1"", ""start_span"": 378, ""end_span"": 382, ""type"": ""Gene/Protein""}, {""token"": ""PuB2"", ""start_span"": 387, ""end_span"": 391, ""type"": ""Gene/Protein""}, {""token"": ""pets site"", ""start_span"": 399, ""end_span"": 408, ""type"": ""Gene/Protein""}]"	train
To determine whether the functional defect of the patients ' T cells was due to the absence or abnormal binding of transcription factors involved in cytokine gene expression, electrophoretic mobility shift assays were used to examine the DNA binding of AP - 1, Oct, CREB, SP1, NF - kappa B and the nuclear factor of activated T cells ( NF - AT) to their respective response elements in the promoter of the IL - 2 gene.	transcription factors,115,136,Gene/Protein	cytokine gene,149,162,Gene/Protein	AP - 1,253,259,Gene/Protein	Oct,261,264,Gene/Protein	CREB,266,270,Gene/Protein	SP1,272,275,Gene/Protein	NF - kappa B,277,289,Gene/Protein	nuclear factor of activated T cells,298,333,Gene/Protein	NF - AT,336,343,Gene/Protein	response elements,365,382,Gene/Protein	promoter,390,398,Gene/Protein	IL - 2 gene,406,417,Gene/Protein	"[{""token"": ""transcription factors"", ""start_span"": 115, ""end_span"": 136, ""type"": ""Gene/Protein""}, {""token"": ""cytokine gene"", ""start_span"": 149, ""end_span"": 162, ""type"": ""Gene/Protein""}, {""token"": ""AP - 1"", ""start_span"": 253, ""end_span"": 259, ""type"": ""Gene/Protein""}, {""token"": ""Oct"", ""start_span"": 261, ""end_span"": 264, ""type"": ""Gene/Protein""}, {""token"": ""CREB"", ""start_span"": 266, ""end_span"": 270, ""type"": ""Gene/Protein""}, {""token"": ""SP1"", ""start_span"": 272, ""end_span"": 275, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B"", ""start_span"": 277, ""end_span"": 289, ""type"": ""Gene/Protein""}, {""token"": ""nuclear factor of activated T cells"", ""start_span"": 298, ""end_span"": 333, ""type"": ""Gene/Protein""}, {""token"": ""NF - AT"", ""start_span"": 336, ""end_span"": 343, ""type"": ""Gene/Protein""}, {""token"": ""response elements"", ""start_span"": 365, ""end_span"": 382, ""type"": ""Gene/Protein""}, {""token"": ""promoter"", ""start_span"": 390, ""end_span"": 398, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2 gene"", ""start_span"": 406, ""end_span"": 417, ""type"": ""Gene/Protein""}]"	train
The Th2 - type cytokines, interleukin - 4 ( IL - 4) and interleukin - 13 ( IL - 13), induce expression of a distinct subset of genes in human monocytes, including FcepsilonRIIb ( CD23), 15 - lipoxygenase, IL - 1 receptor antagonist ( IL - 1ra), and type I and type II IL - 1 receptors ( IL - 1R).	Th2 - type cytokines,4,24,Gene/Protein	interleukin - 4,26,41,Gene/Protein	IL - 4,44,50,Gene/Protein	interleukin - 13,56,72,Gene/Protein	IL - 13,75,82,Gene/Protein	FcepsilonRIIb,163,176,Gene/Protein	CD23,179,183,Gene/Protein	15 - lipoxygenase,186,203,Gene/Protein	IL - 1 receptor antagonist,205,231,Gene/Protein	IL - 1ra,234,242,Gene/Protein	type I and type II IL - 1 receptors,249,284,Gene/Protein	IL - 1R,287,294,Gene/Protein	"[{""token"": ""Th2 - type cytokines"", ""start_span"": 4, ""end_span"": 24, ""type"": ""Gene/Protein""}, {""token"": ""interleukin - 4"", ""start_span"": 26, ""end_span"": 41, ""type"": ""Gene/Protein""}, {""token"": ""IL - 4"", ""start_span"": 44, ""end_span"": 50, ""type"": ""Gene/Protein""}, {""token"": ""interleukin - 13"", ""start_span"": 56, ""end_span"": 72, ""type"": ""Gene/Protein""}, {""token"": ""IL - 13"", ""start_span"": 75, ""end_span"": 82, ""type"": ""Gene/Protein""}, {""token"": ""FcepsilonRIIb"", ""start_span"": 163, ""end_span"": 176, ""type"": ""Gene/Protein""}, {""token"": ""CD23"", ""start_span"": 179, ""end_span"": 183, ""type"": ""Gene/Protein""}, {""token"": ""15 - lipoxygenase"", ""start_span"": 186, ""end_span"": 203, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1 receptor antagonist"", ""start_span"": 205, ""end_span"": 231, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1ra"", ""start_span"": 234, ""end_span"": 242, ""type"": ""Gene/Protein""}, {""token"": ""type I and type II IL - 1 receptors"", ""start_span"": 249, ""end_span"": 284, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1R"", ""start_span"": 287, ""end_span"": 294, ""type"": ""Gene/Protein""}]"	train
