Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	entity_12	json	split
To this end, two candidate anti - angiogenic RNA - damaging agents, onconase and ( - 4) rhEDN, were screened for their effects on endothelial cell proliferation using three distinct types of endothelial cells in culture: HPV - 16 E6 / E7 - immortalized human umbilical vein endothelial cells ( HUVECs), a Kras - transformed HPV - 16 E6 / E7 HUVEC ( Rhim et al., Carcinogenesis 4, 673 - 681, 1998), and primary HUVECs.	onconase,68,76,Chemical	endothelial cell,130,146,Cell	endothelial cells,191,208,Cell	HPV - 16 E6,221,232,Organism	E7,235,237,Organism	human umbilical vein endothelial cells,253,291,Cell	HUVECs,294,300,Cell	Kras,305,309,Gene_or_gene_product	HPV - 16 E6,324,335,Organism	E7,338,340,Organism	HUVEC,341,346,Cell	HUVECs,410,416,Cell	"[{""token"": ""onconase"", ""start_span"": 68, ""end_span"": 76, ""type"": ""Chemical""}, {""token"": ""endothelial cell"", ""start_span"": 130, ""end_span"": 146, ""type"": ""Cell""}, {""token"": ""endothelial cells"", ""start_span"": 191, ""end_span"": 208, ""type"": ""Cell""}, {""token"": ""HPV - 16 E6"", ""start_span"": 221, ""end_span"": 232, ""type"": ""Organism""}, {""token"": ""E7"", ""start_span"": 235, ""end_span"": 237, ""type"": ""Organism""}, {""token"": ""human umbilical vein endothelial cells"", ""start_span"": 253, ""end_span"": 291, ""type"": ""Cell""}, {""token"": ""HUVECs"", ""start_span"": 294, ""end_span"": 300, ""type"": ""Cell""}, {""token"": ""Kras"", ""start_span"": 305, ""end_span"": 309, ""type"": ""Gene_or_gene_product""}, {""token"": ""HPV - 16 E6"", ""start_span"": 324, ""end_span"": 335, ""type"": ""Organism""}, {""token"": ""E7"", ""start_span"": 338, ""end_span"": 340, ""type"": ""Organism""}, {""token"": ""HUVEC"", ""start_span"": 341, ""end_span"": 346, ""type"": ""Cell""}, {""token"": ""HUVECs"", ""start_span"": 410, ""end_span"": 416, ""type"": ""Cell""}]"	train
A clone of NIH3T3 transformant ( H - 3), obtained by transfecting genomic DNA of a human colon carcinoma cell line, contains human K - ras oncogene and yields metastatic pulmonary nodules after intravenous injection of the cells into nude mice.	clone,2,7,Cell	NIH3T3 transformant,11,30,Cell	H - 3,33,38,Cell	DNA,74,77,Cellular_component	human,83,88,Organism	colon carcinoma cell line,89,114,Cell	human,125,130,Organism	K - ras,131,138,Gene_or_gene_product	pulmonary nodules,170,187,Pathological_formation	intravenous,194,205,Immaterial_anatomical_entity	cells,223,228,Cell	nude mice,234,243,Organism	"[{""token"": ""clone"", ""start_span"": 2, ""end_span"": 7, ""type"": ""Cell""}, {""token"": ""NIH3T3 transformant"", ""start_span"": 11, ""end_span"": 30, ""type"": ""Cell""}, {""token"": ""H - 3"", ""start_span"": 33, ""end_span"": 38, ""type"": ""Cell""}, {""token"": ""DNA"", ""start_span"": 74, ""end_span"": 77, ""type"": ""Cellular_component""}, {""token"": ""human"", ""start_span"": 83, ""end_span"": 88, ""type"": ""Organism""}, {""token"": ""colon carcinoma cell line"", ""start_span"": 89, ""end_span"": 114, ""type"": ""Cell""}, {""token"": ""human"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Organism""}, {""token"": ""K - ras"", ""start_span"": 131, ""end_span"": 138, ""type"": ""Gene_or_gene_product""}, {""token"": ""pulmonary nodules"", ""start_span"": 170, ""end_span"": 187, ""type"": ""Pathological_formation""}, {""token"": ""intravenous"", ""start_span"": 194, ""end_span"": 205, ""type"": ""Immaterial_anatomical_entity""}, {""token"": ""cells"", ""start_span"": 223, ""end_span"": 228, ""type"": ""Cell""}, {""token"": ""nude mice"", ""start_span"": 234, ""end_span"": 243, ""type"": ""Organism""}]"	train
After decapitation of the rats, trunk blood was obtained, and the ileum, liver, and kidney were removed for histological examination and for the measurement of malondialdehyde ( MDA) and glutathione ( GSH) levels, myeloperoxidase ( MPO) activity, and collagen content.	rats,26,30,Organism	trunk blood,32,43,Organism_substance	ileum,66,71,Multi	liver,73,78,Organ	kidney,84,90,Organ	malondialdehyde,160,175,Chemical	MDA,178,181,Chemical	glutathione,187,198,Chemical	GSH,201,204,Chemical	myeloperoxidase,214,229,Chemical	MPO,232,235,Chemical	collagen,251,259,Gene_or_gene_product	"[{""token"": ""rats"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Organism""}, {""token"": ""trunk blood"", ""start_span"": 32, ""end_span"": 43, ""type"": ""Organism_substance""}, {""token"": ""ileum"", ""start_span"": 66, ""end_span"": 71, ""type"": ""Multi""}, {""token"": ""liver"", ""start_span"": 73, ""end_span"": 78, ""type"": ""Organ""}, {""token"": ""kidney"", ""start_span"": 84, ""end_span"": 90, ""type"": ""Organ""}, {""token"": ""malondialdehyde"", ""start_span"": 160, ""end_span"": 175, ""type"": ""Chemical""}, {""token"": ""MDA"", ""start_span"": 178, ""end_span"": 181, ""type"": ""Chemical""}, {""token"": ""glutathione"", ""start_span"": 187, ""end_span"": 198, ""type"": ""Chemical""}, {""token"": ""GSH"", ""start_span"": 201, ""end_span"": 204, ""type"": ""Chemical""}, {""token"": ""myeloperoxidase"", ""start_span"": 214, ""end_span"": 229, ""type"": ""Chemical""}, {""token"": ""MPO"", ""start_span"": 232, ""end_span"": 235, ""type"": ""Chemical""}, {""token"": ""collagen"", ""start_span"": 251, ""end_span"": 259, ""type"": ""Gene_or_gene_product""}]"	train
The mice that received Hoxa9 / Meis1 - transduced bone marrow cells developed acute myeloid leukemia ( AML), and Trib1, Evi1, Ahi1, Raralpha, Pitpnb, and AK039950 were identified as candidate cooperative genes located near common retroviral integration sites.	mice,4,8,Organism	Hoxa9,23,28,Gene_or_gene_product	Meis1,31,36,Gene_or_gene_product	bone marrow cells,50,67,Cell	acute myeloid leukemia,78,100,Cancer	AML,103,106,Cancer	Trib1,113,118,Gene_or_gene_product	Evi1,120,124,Gene_or_gene_product	Ahi1,126,130,Gene_or_gene_product	Raralpha,132,140,Gene_or_gene_product	Pitpnb,142,148,Gene_or_gene_product	AK039950,154,162,Gene_or_gene_product	"[{""token"": ""mice"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Organism""}, {""token"": ""Hoxa9"", ""start_span"": 23, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}, {""token"": ""Meis1"", ""start_span"": 31, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}, {""token"": ""bone marrow cells"", ""start_span"": 50, ""end_span"": 67, ""type"": ""Cell""}, {""token"": ""acute myeloid leukemia"", ""start_span"": 78, ""end_span"": 100, ""type"": ""Cancer""}, {""token"": ""AML"", ""start_span"": 103, ""end_span"": 106, ""type"": ""Cancer""}, {""token"": ""Trib1"", ""start_span"": 113, ""end_span"": 118, ""type"": ""Gene_or_gene_product""}, {""token"": ""Evi1"", ""start_span"": 120, ""end_span"": 124, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ahi1"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Gene_or_gene_product""}, {""token"": ""Raralpha"", ""start_span"": 132, ""end_span"": 140, ""type"": ""Gene_or_gene_product""}, {""token"": ""Pitpnb"", ""start_span"": 142, ""end_span"": 148, ""type"": ""Gene_or_gene_product""}, {""token"": ""AK039950"", ""start_span"": 154, ""end_span"": 162, ""type"": ""Gene_or_gene_product""}]"	train
The mechanism of caffeine seems to involve the inhibition of the extracellular signal - regulated kinase 1 / 2 ( ERK1 / 2), p38, and Akt, leading to a marked decrease in adenosine - induced HIF - 1alpha accumulation, VEGF transcriptional activation, and VEGF and IL - 8 protein accumulation.	caffeine,17,25,Chemical	extracellular signal - regulated kinase 1,65,106,Gene_or_gene_product	2,109,110,Gene_or_gene_product	ERK1,113,117,Gene_or_gene_product	2,120,121,Gene_or_gene_product	p38,124,127,Gene_or_gene_product	Akt,133,136,Gene_or_gene_product	adenosine,170,179,Chemical	HIF - 1alpha,190,202,Gene_or_gene_product	VEGF,217,221,Gene_or_gene_product	VEGF,254,258,Gene_or_gene_product	IL - 8,263,269,Gene_or_gene_product	"[{""token"": ""caffeine"", ""start_span"": 17, ""end_span"": 25, ""type"": ""Chemical""}, {""token"": ""extracellular signal - regulated kinase 1"", ""start_span"": 65, ""end_span"": 106, ""type"": ""Gene_or_gene_product""}, {""token"": ""2"", ""start_span"": 109, ""end_span"": 110, ""type"": ""Gene_or_gene_product""}, {""token"": ""ERK1"", ""start_span"": 113, ""end_span"": 117, ""type"": ""Gene_or_gene_product""}, {""token"": ""2"", ""start_span"": 120, ""end_span"": 121, ""type"": ""Gene_or_gene_product""}, {""token"": ""p38"", ""start_span"": 124, ""end_span"": 127, ""type"": ""Gene_or_gene_product""}, {""token"": ""Akt"", ""start_span"": 133, ""end_span"": 136, ""type"": ""Gene_or_gene_product""}, {""token"": ""adenosine"", ""start_span"": 170, ""end_span"": 179, ""type"": ""Chemical""}, {""token"": ""HIF - 1alpha"", ""start_span"": 190, ""end_span"": 202, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 217, ""end_span"": 221, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 254, ""end_span"": 258, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 8"", ""start_span"": 263, ""end_span"": 269, ""type"": ""Gene_or_gene_product""}]"	train
VPF / VEGF induced dermal microvascular EC expression of mRNAs encoding the alphav and beta3 integrin subunits resulting in increased levels of the alphavbeta3 heterodimer at the cell surface, and VPF / VEGF also induced mRNA encoding osteopontin ( OPN), an alphavbeta3 ligand.	VPF,0,3,Gene_or_gene_product	VEGF,6,10,Gene_or_gene_product	dermal microvascular EC,19,42,Cell	alphav,76,82,Gene_or_gene_product	beta3 integrin subunits,87,110,Gene_or_gene_product	alphavbeta3,148,159,Gene_or_gene_product	cell surface,179,191,Cellular_component	VPF,197,200,Gene_or_gene_product	VEGF,203,207,Gene_or_gene_product	osteopontin,235,246,Gene_or_gene_product	OPN,249,252,Gene_or_gene_product	alphavbeta3,258,269,Gene_or_gene_product	"[{""token"": ""VPF"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 6, ""end_span"": 10, ""type"": ""Gene_or_gene_product""}, {""token"": ""dermal microvascular EC"", ""start_span"": 19, ""end_span"": 42, ""type"": ""Cell""}, {""token"": ""alphav"", ""start_span"": 76, ""end_span"": 82, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta3 integrin subunits"", ""start_span"": 87, ""end_span"": 110, ""type"": ""Gene_or_gene_product""}, {""token"": ""alphavbeta3"", ""start_span"": 148, ""end_span"": 159, ""type"": ""Gene_or_gene_product""}, {""token"": ""cell surface"", ""start_span"": 179, ""end_span"": 191, ""type"": ""Cellular_component""}, {""token"": ""VPF"", ""start_span"": 197, ""end_span"": 200, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 203, ""end_span"": 207, ""type"": ""Gene_or_gene_product""}, {""token"": ""osteopontin"", ""start_span"": 235, ""end_span"": 246, ""type"": ""Gene_or_gene_product""}, {""token"": ""OPN"", ""start_span"": 249, ""end_span"": 252, ""type"": ""Gene_or_gene_product""}, {""token"": ""alphavbeta3"", ""start_span"": 258, ""end_span"": 269, ""type"": ""Gene_or_gene_product""}]"	train
Expression of the cytolytic effectors perforin, granzyme B9, and the granule membrane protein TIA1 were examined in 24 putative NK - cell lymphomas, 18 postthymic T - cell lymphomas ( one case CD8 + CD56 + and three anaplastic large cell lymphomas ( ALCL), three T - lymphoblastic lymphomas, and 20 B - cell lymphomas.	perforin,38,46,Gene_or_gene_product	granzyme B9,48,59,Gene_or_gene_product	granule membrane,69,85,Cellular_component	TIA1,94,98,Gene_or_gene_product	NK - cell lymphomas,128,147,Cancer	T - cell lymphomas,163,181,Cancer	CD8,193,196,Gene_or_gene_product	CD56,199,203,Gene_or_gene_product	anaplastic large cell lymphomas,216,247,Cancer	ALCL,250,254,Cancer	T - lymphoblastic lymphomas,263,290,Cancer	B - cell lymphomas,299,317,Cancer	"[{""token"": ""perforin"", ""start_span"": 38, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}, {""token"": ""granzyme B9"", ""start_span"": 48, ""end_span"": 59, ""type"": ""Gene_or_gene_product""}, {""token"": ""granule membrane"", ""start_span"": 69, ""end_span"": 85, ""type"": ""Cellular_component""}, {""token"": ""TIA1"", ""start_span"": 94, ""end_span"": 98, ""type"": ""Gene_or_gene_product""}, {""token"": ""NK - cell lymphomas"", ""start_span"": 128, ""end_span"": 147, ""type"": ""Cancer""}, {""token"": ""T - cell lymphomas"", ""start_span"": 163, ""end_span"": 181, ""type"": ""Cancer""}, {""token"": ""CD8"", ""start_span"": 193, ""end_span"": 196, ""type"": ""Gene_or_gene_product""}, {""token"": ""CD56"", ""start_span"": 199, ""end_span"": 203, ""type"": ""Gene_or_gene_product""}, {""token"": ""anaplastic large cell lymphomas"", ""start_span"": 216, ""end_span"": 247, ""type"": ""Cancer""}, {""token"": ""ALCL"", ""start_span"": 250, ""end_span"": 254, ""type"": ""Cancer""}, {""token"": ""T - lymphoblastic lymphomas"", ""start_span"": 263, ""end_span"": 290, ""type"": ""Cancer""}, {""token"": ""B - cell lymphomas"", ""start_span"": 299, ""end_span"": 317, ""type"": ""Cancer""}]"	train
This restriction enzyme site polymorphism along with the sequence variations were also observed in 50 biopsy tissues as well as in the throat washings of 6 out of 20 healthy individuals that we examined, indicating that the EBV strain predominantly existing in these biopsy tissues was different from strains of B95 - 8, Jijoye or nude mouse passaged cells ( C15) with an African origin, but closely resembled other nude mouse passaged CAO cells which were originally derived from China.	biopsy tissues,102,116,Tissue	throat,135,141,Organism_subdivision	individuals,174,185,Organism	EBV,224,227,Organism	biopsy tissues,267,281,Tissue	B95 - 8,312,319,Organism	Jijoye,321,327,Organism	nude mouse,331,341,Organism	cells,351,356,Cell	C15,359,362,Cell	nude mouse,416,426,Organism	CAO cells,436,445,Cell	"[{""token"": ""biopsy tissues"", ""start_span"": 102, ""end_span"": 116, ""type"": ""Tissue""}, {""token"": ""throat"", ""start_span"": 135, ""end_span"": 141, ""type"": ""Organism_subdivision""}, {""token"": ""individuals"", ""start_span"": 174, ""end_span"": 185, ""type"": ""Organism""}, {""token"": ""EBV"", ""start_span"": 224, ""end_span"": 227, ""type"": ""Organism""}, {""token"": ""biopsy tissues"", ""start_span"": 267, ""end_span"": 281, ""type"": ""Tissue""}, {""token"": ""B95 - 8"", ""start_span"": 312, ""end_span"": 319, ""type"": ""Organism""}, {""token"": ""Jijoye"", ""start_span"": 321, ""end_span"": 327, ""type"": ""Organism""}, {""token"": ""nude mouse"", ""start_span"": 331, ""end_span"": 341, ""type"": ""Organism""}, {""token"": ""cells"", ""start_span"": 351, ""end_span"": 356, ""type"": ""Cell""}, {""token"": ""C15"", ""start_span"": 359, ""end_span"": 362, ""type"": ""Cell""}, {""token"": ""nude mouse"", ""start_span"": 416, ""end_span"": 426, ""type"": ""Organism""}, {""token"": ""CAO cells"", ""start_span"": 436, ""end_span"": 445, ""type"": ""Cell""}]"	valid
To explore the potential of chemotherapy directed at the tyrosine kinase of p185neu, we have found that emodin ( 3 - methyl - 1, 6, 8 - trihydroxyanthraquinone), a tyrosine kinase inhibitor, suppresses autophosphorylation and transphosphorylation activities of HER - 2 / neu tyrosine kinase, resulting in tyrosine hypophosphorylation of p185neu in HER - 2 / neu - overexpressing breast cancer cells.	tyrosine,57,65,Amino_acid	p185neu,76,83,Gene_or_gene_product	emodin,104,110,Chemical	tyrosine kinase,164,179,Gene_or_gene_product	HER - 2,261,268,Gene_or_gene_product	neu,271,274,Gene_or_gene_product	tyrosine,275,283,Amino_acid	tyrosine,305,313,Amino_acid	p185neu,337,344,Gene_or_gene_product	HER - 2,348,355,Gene_or_gene_product	neu,358,361,Gene_or_gene_product	breast cancer cells,379,398,Cell	"[{""token"": ""tyrosine"", ""start_span"": 57, ""end_span"": 65, ""type"": ""Amino_acid""}, {""token"": ""p185neu"", ""start_span"": 76, ""end_span"": 83, ""type"": ""Gene_or_gene_product""}, {""token"": ""emodin"", ""start_span"": 104, ""end_span"": 110, ""type"": ""Chemical""}, {""token"": ""tyrosine kinase"", ""start_span"": 164, ""end_span"": 179, ""type"": ""Gene_or_gene_product""}, {""token"": ""HER - 2"", ""start_span"": 261, ""end_span"": 268, ""type"": ""Gene_or_gene_product""}, {""token"": ""neu"", ""start_span"": 271, ""end_span"": 274, ""type"": ""Gene_or_gene_product""}, {""token"": ""tyrosine"", ""start_span"": 275, ""end_span"": 283, ""type"": ""Amino_acid""}, {""token"": ""tyrosine"", ""start_span"": 305, ""end_span"": 313, ""type"": ""Amino_acid""}, {""token"": ""p185neu"", ""start_span"": 337, ""end_span"": 344, ""type"": ""Gene_or_gene_product""}, {""token"": ""HER - 2"", ""start_span"": 348, ""end_span"": 355, ""type"": ""Gene_or_gene_product""}, {""token"": ""neu"", ""start_span"": 358, ""end_span"": 361, ""type"": ""Gene_or_gene_product""}, {""token"": ""breast cancer cells"", ""start_span"": 379, ""end_span"": 398, ""type"": ""Cell""}]"	valid
Preventing VEGFR1 function using antibodies or by the removal of VEGFR1 ( +) cells from the bone marrow of wild - type mice abrogates the formation of these pre - metastatic clusters and prevents tumour metastasis, whereas reconstitution with selected Id3 ( inhibitor of differentiation 3) - competent VEGFR1 + cells establishes cluster formation and tumour metastasis in Id3 knockout mice.	VEGFR1,11,17,Gene_or_gene_product	VEGFR1,65,71,Gene_or_gene_product	bone marrow,92,103,Multi	mice,119,123,Organism	clusters,174,182,Cell	tumour,196,202,Cancer	Id3,252,255,Gene_or_gene_product	inhibitor of differentiation 3,258,288,Gene_or_gene_product	VEGFR1,302,308,Gene_or_gene_product	cluster,329,336,Cell	tumour,351,357,Cancer	Id3,372,375,Gene_or_gene_product	"[{""token"": ""VEGFR1"", ""start_span"": 11, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGFR1"", ""start_span"": 65, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}, {""token"": ""bone marrow"", ""start_span"": 92, ""end_span"": 103, ""type"": ""Multi""}, {""token"": ""mice"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Organism""}, {""token"": ""clusters"", ""start_span"": 174, ""end_span"": 182, ""type"": ""Cell""}, {""token"": ""tumour"", ""start_span"": 196, ""end_span"": 202, ""type"": ""Cancer""}, {""token"": ""Id3"", ""start_span"": 252, ""end_span"": 255, ""type"": ""Gene_or_gene_product""}, {""token"": ""inhibitor of differentiation 3"", ""start_span"": 258, ""end_span"": 288, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGFR1"", ""start_span"": 302, ""end_span"": 308, ""type"": ""Gene_or_gene_product""}, {""token"": ""cluster"", ""start_span"": 329, ""end_span"": 336, ""type"": ""Cell""}, {""token"": ""tumour"", ""start_span"": 351, ""end_span"": 357, ""type"": ""Cancer""}, {""token"": ""Id3"", ""start_span"": 372, ""end_span"": 375, ""type"": ""Gene_or_gene_product""}]"	test
