Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	json	split
To elucidate the role of N - glycosylation in the functional activity of the universal glucose transporter, Glut - 1, we investigated effects of the N - glycosylation inhibitor, tunicamycin, on glucose transport by human leukemic cell lines K562, U937 and HL60.	glucose,87,94,Chemical	Glut - 1,108,116,Gene_or_gene_product	tunicamycin,178,189,Chemical	glucose,194,201,Chemical	human,215,220,Organism	leukemic cell lines K562,221,245,Cell	U937,247,251,Cell	HL60,256,260,Cell	"[{""token"": ""glucose"", ""start_span"": 87, ""end_span"": 94, ""type"": ""Chemical""}, {""token"": ""Glut - 1"", ""start_span"": 108, ""end_span"": 116, ""type"": ""Gene_or_gene_product""}, {""token"": ""tunicamycin"", ""start_span"": 178, ""end_span"": 189, ""type"": ""Chemical""}, {""token"": ""glucose"", ""start_span"": 194, ""end_span"": 201, ""type"": ""Chemical""}, {""token"": ""human"", ""start_span"": 215, ""end_span"": 220, ""type"": ""Organism""}, {""token"": ""leukemic cell lines K562"", ""start_span"": 221, ""end_span"": 245, ""type"": ""Cell""}, {""token"": ""U937"", ""start_span"": 247, ""end_span"": 251, ""type"": ""Cell""}, {""token"": ""HL60"", ""start_span"": 256, ""end_span"": 260, ""type"": ""Cell""}]"	train
Since AP - 1 and NF - kappa B are key elements in controlling interleukin - 8 ( IL - 8) transcription, human fibroblasts were treated with alpha - MSH and IL - 1 beta for 24 hours, and cytokine levels in the supernatants were measured by ELISA.	AP - 1,6,12,Gene_or_gene_product	NF - kappa B,17,29,Gene_or_gene_product	interleukin - 8,62,77,Gene_or_gene_product	IL - 8,80,86,Gene_or_gene_product	human,103,108,Organism	fibroblasts,109,120,Cell	alpha - MSH,139,150,Gene_or_gene_product	IL - 1 beta,155,166,Gene_or_gene_product	"[{""token"": ""AP - 1"", ""start_span"": 6, ""end_span"": 12, ""type"": ""Gene_or_gene_product""}, {""token"": ""NF - kappa B"", ""start_span"": 17, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}, {""token"": ""interleukin - 8"", ""start_span"": 62, ""end_span"": 77, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 8"", ""start_span"": 80, ""end_span"": 86, ""type"": ""Gene_or_gene_product""}, {""token"": ""human"", ""start_span"": 103, ""end_span"": 108, ""type"": ""Organism""}, {""token"": ""fibroblasts"", ""start_span"": 109, ""end_span"": 120, ""type"": ""Cell""}, {""token"": ""alpha - MSH"", ""start_span"": 139, ""end_span"": 150, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 1 beta"", ""start_span"": 155, ""end_span"": 166, ""type"": ""Gene_or_gene_product""}]"	train
Here we show that IL - 12 activates an anti - angiogenic program in Con A - activated mouse spleen cells ( activated spc) or human PBMC ( activated PBMC).	IL - 12,18,25,Gene_or_gene_product	Con A,68,73,Chemical	mouse,86,91,Organism	spleen cells,92,104,Cell	spc,117,120,Cell	human,125,130,Organism	PBMC,131,135,Cell	PBMC,148,152,Cell	"[{""token"": ""IL - 12"", ""start_span"": 18, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}, {""token"": ""Con A"", ""start_span"": 68, ""end_span"": 73, ""type"": ""Chemical""}, {""token"": ""mouse"", ""start_span"": 86, ""end_span"": 91, ""type"": ""Organism""}, {""token"": ""spleen cells"", ""start_span"": 92, ""end_span"": 104, ""type"": ""Cell""}, {""token"": ""spc"", ""start_span"": 117, ""end_span"": 120, ""type"": ""Cell""}, {""token"": ""human"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Organism""}, {""token"": ""PBMC"", ""start_span"": 131, ""end_span"": 135, ""type"": ""Cell""}, {""token"": ""PBMC"", ""start_span"": 148, ""end_span"": 152, ""type"": ""Cell""}]"	train
Experiments with nu / nu mice, nonobese diabetic - SCID mice, or activated spc enriched in specific cell subpopulations demonstrated that CD4 ( +), CD8 ( +), and NK cells are all needed to mediate the full anti - angiogenetic effect of IL - 12.	nu / nu mice,17,29,Organism	nonobese diabetic - SCID mice,31,60,Organism	spc,75,78,Cell	cell,100,104,Cell	CD4,138,141,Gene_or_gene_product	CD8,148,151,Gene_or_gene_product	NK cells,162,170,Cell	IL - 12,236,243,Gene_or_gene_product	"[{""token"": ""nu / nu mice"", ""start_span"": 17, ""end_span"": 29, ""type"": ""Organism""}, {""token"": ""nonobese diabetic - SCID mice"", ""start_span"": 31, ""end_span"": 60, ""type"": ""Organism""}, {""token"": ""spc"", ""start_span"": 75, ""end_span"": 78, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 100, ""end_span"": 104, ""type"": ""Cell""}, {""token"": ""CD4"", ""start_span"": 138, ""end_span"": 141, ""type"": ""Gene_or_gene_product""}, {""token"": ""CD8"", ""start_span"": 148, ""end_span"": 151, ""type"": ""Gene_or_gene_product""}, {""token"": ""NK cells"", ""start_span"": 162, ""end_span"": 170, ""type"": ""Cell""}, {""token"": ""IL - 12"", ""start_span"": 236, ""end_span"": 243, ""type"": ""Gene_or_gene_product""}]"	train
To observe the influence of fungus polysaccharides compounds ( FPC) in inducing human liver cancer cell Bel - 7402 apoptosis in cell cultivating in vitro, the authors analyzed tumor inhibitive gene P53 expression in Bel - 7402 apoptosis by applying double immuno - marker.	fungus polysaccharides compounds,28,60,Chemical	FPC,63,66,Chemical	human,80,85,Organism	liver cancer cell Bel - 7402,86,114,Cell	cell,128,132,Cell	tumor,176,181,Cancer	P53,198,201,Gene_or_gene_product	Bel - 7402,216,226,Cell	"[{""token"": ""fungus polysaccharides compounds"", ""start_span"": 28, ""end_span"": 60, ""type"": ""Chemical""}, {""token"": ""FPC"", ""start_span"": 63, ""end_span"": 66, ""type"": ""Chemical""}, {""token"": ""human"", ""start_span"": 80, ""end_span"": 85, ""type"": ""Organism""}, {""token"": ""liver cancer cell Bel - 7402"", ""start_span"": 86, ""end_span"": 114, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Cell""}, {""token"": ""tumor"", ""start_span"": 176, ""end_span"": 181, ""type"": ""Cancer""}, {""token"": ""P53"", ""start_span"": 198, ""end_span"": 201, ""type"": ""Gene_or_gene_product""}, {""token"": ""Bel - 7402"", ""start_span"": 216, ""end_span"": 226, ""type"": ""Cell""}]"	train
Twenty - one patients underwent resection of the remnant stomach for RSC and were divided into two groups: the RSCB group consisted of 11 patients who underwent distal gastrectomy for benign disease and the RSCM group consisted of 10 patients who underwent gastrectomy for primary gastric cancer.	patients,13,21,Organism	remnant stomach,49,64,Organ	RSC,69,72,Cancer	RSCB,111,115,Cancer	patients,138,146,Organism	RSCM,207,211,Cancer	patients,234,242,Organism	gastric cancer,281,295,Cancer	"[{""token"": ""patients"", ""start_span"": 13, ""end_span"": 21, ""type"": ""Organism""}, {""token"": ""remnant stomach"", ""start_span"": 49, ""end_span"": 64, ""type"": ""Organ""}, {""token"": ""RSC"", ""start_span"": 69, ""end_span"": 72, ""type"": ""Cancer""}, {""token"": ""RSCB"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Cancer""}, {""token"": ""patients"", ""start_span"": 138, ""end_span"": 146, ""type"": ""Organism""}, {""token"": ""RSCM"", ""start_span"": 207, ""end_span"": 211, ""type"": ""Cancer""}, {""token"": ""patients"", ""start_span"": 234, ""end_span"": 242, ""type"": ""Organism""}, {""token"": ""gastric cancer"", ""start_span"": 281, ""end_span"": 295, ""type"": ""Cancer""}]"	train
A specific histone deacetylase ( HDAc) inhibitor, trichostatin A ( TSA), alleviates Evi - 1 - mediated repression of TGF - beta signaling, suggesting that HDAc is involved in transcriptional repression by Evi - 1.	histone deacetylase,11,30,Gene_or_gene_product	HDAc,33,37,Gene_or_gene_product	trichostatin A,50,64,Chemical	TSA,67,70,Chemical	Evi - 1,84,91,Gene_or_gene_product	TGF - beta,117,127,Gene_or_gene_product	HDAc,155,159,Gene_or_gene_product	Evi - 1,205,212,Gene_or_gene_product	"[{""token"": ""histone deacetylase"", ""start_span"": 11, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}, {""token"": ""HDAc"", ""start_span"": 33, ""end_span"": 37, ""type"": ""Gene_or_gene_product""}, {""token"": ""trichostatin A"", ""start_span"": 50, ""end_span"": 64, ""type"": ""Chemical""}, {""token"": ""TSA"", ""start_span"": 67, ""end_span"": 70, ""type"": ""Chemical""}, {""token"": ""Evi - 1"", ""start_span"": 84, ""end_span"": 91, ""type"": ""Gene_or_gene_product""}, {""token"": ""TGF - beta"", ""start_span"": 117, ""end_span"": 127, ""type"": ""Gene_or_gene_product""}, {""token"": ""HDAc"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Gene_or_gene_product""}, {""token"": ""Evi - 1"", ""start_span"": 205, ""end_span"": 212, ""type"": ""Gene_or_gene_product""}]"	train
The non - invasive human melanoma cell line, IF6, which does not express uPA, provided further confirmation of PAI - 1 and uPA ' s role as, upon transfection with uPA, this cell line attained an invasive phenotype, which was again attenuated by MAI - 12.	human,19,24,Organism	melanoma cell line,25,43,Cell	IF6,45,48,Cell	uPA,73,76,Gene_or_gene_product	PAI - 1,111,118,Gene_or_gene_product	uPA,123,126,Gene_or_gene_product	uPA,163,166,Gene_or_gene_product	cell line,173,182,Cell	"[{""token"": ""human"", ""start_span"": 19, ""end_span"": 24, ""type"": ""Organism""}, {""token"": ""melanoma cell line"", ""start_span"": 25, ""end_span"": 43, ""type"": ""Cell""}, {""token"": ""IF6"", ""start_span"": 45, ""end_span"": 48, ""type"": ""Cell""}, {""token"": ""uPA"", ""start_span"": 73, ""end_span"": 76, ""type"": ""Gene_or_gene_product""}, {""token"": ""PAI - 1"", ""start_span"": 111, ""end_span"": 118, ""type"": ""Gene_or_gene_product""}, {""token"": ""uPA"", ""start_span"": 123, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}, {""token"": ""uPA"", ""start_span"": 163, ""end_span"": 166, ""type"": ""Gene_or_gene_product""}, {""token"": ""cell line"", ""start_span"": 173, ""end_span"": 182, ""type"": ""Cell""}]"	train
Since congenital neutropenia and SDS are inherited forms of bone marrow failure, G - CSF may accelerate the propensity for MDS / AML in the genetically altered stem and progenitor cells, especially in those with G - CSF receptor and ras mutations ( 82% and 50% of patients who transform, respectively).	bone marrow,60,71,Multi	G - CSF,81,88,Gene_or_gene_product	AML,129,132,Cancer	stem,160,164,Cell	progenitor cells,169,185,Cell	G - CSF receptor,212,228,Gene_or_gene_product	ras,233,236,Gene_or_gene_product	patients,264,272,Organism	"[{""token"": ""bone marrow"", ""start_span"": 60, ""end_span"": 71, ""type"": ""Multi""}, {""token"": ""G - CSF"", ""start_span"": 81, ""end_span"": 88, ""type"": ""Gene_or_gene_product""}, {""token"": ""AML"", ""start_span"": 129, ""end_span"": 132, ""type"": ""Cancer""}, {""token"": ""stem"", ""start_span"": 160, ""end_span"": 164, ""type"": ""Cell""}, {""token"": ""progenitor cells"", ""start_span"": 169, ""end_span"": 185, ""type"": ""Cell""}, {""token"": ""G - CSF receptor"", ""start_span"": 212, ""end_span"": 228, ""type"": ""Gene_or_gene_product""}, {""token"": ""ras"", ""start_span"": 233, ""end_span"": 236, ""type"": ""Gene_or_gene_product""}, {""token"": ""patients"", ""start_span"": 264, ""end_span"": 272, ""type"": ""Organism""}]"	train
Western blotting of p53 and murine double mutant 2 ( Mdm2) together with p53 DNA sequencing analysis indicate that p53 function loss by mutation or overexpression of Mdm2 occurred in all tested oral cancer cells regardless of their etiology.	p53,20,23,Gene_or_gene_product	murine double mutant 2,28,50,Gene_or_gene_product	Mdm2,53,57,Gene_or_gene_product	p53,73,76,Gene_or_gene_product	DNA,77,80,Cellular_component	p53,115,118,Gene_or_gene_product	Mdm2,166,170,Gene_or_gene_product	oral cancer cells,194,211,Cell	"[{""token"": ""p53"", ""start_span"": 20, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}, {""token"": ""murine double mutant 2"", ""start_span"": 28, ""end_span"": 50, ""type"": ""Gene_or_gene_product""}, {""token"": ""Mdm2"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}, {""token"": ""p53"", ""start_span"": 73, ""end_span"": 76, ""type"": ""Gene_or_gene_product""}, {""token"": ""DNA"", ""start_span"": 77, ""end_span"": 80, ""type"": ""Cellular_component""}, {""token"": ""p53"", ""start_span"": 115, ""end_span"": 118, ""type"": ""Gene_or_gene_product""}, {""token"": ""Mdm2"", ""start_span"": 166, ""end_span"": 170, ""type"": ""Gene_or_gene_product""}, {""token"": ""oral cancer cells"", ""start_span"": 194, ""end_span"": 211, ""type"": ""Cell""}]"	train
