Regulation of connexin32 and connexin43 gene expression by DNA methylation in rat liver cells.	"connexin32	14	24	Protein"	"connexin43	29	39	Protein"	"[{""token"": ""connexin32"", ""start_span"": 14, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""connexin43"", ""start_span"": 29, ""end_span"": 39, ""type"": ""Protein""}]"
These results suggest that transcription of Cx32 and Cx43 in hepatic cells is controlled by promoter methylation and by cell - specific transcription factors.	"Cx32	44	48	Protein"	"Cx43	53	57	Protein"	"[{""token"": ""Cx32"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""Cx43"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Protein""}]"
CheY - dependent methylation of the asparagine receptor, McpB, during chemotaxis in Bacillus subtilis.	"CheY	0	4	Protein"	"McpB	57	61	Protein"	"[{""token"": ""CheY"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""McpB"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Protein""}]"
In this study, we show that rapid net demethylation of B. subtilis McpB results in the immediate production of methanol, presumably due to the action of CheB.	"McpB	67	71	Protein"	"CheB	153	157	Protein"	"[{""token"": ""McpB"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""CheB"", ""start_span"": 153, ""end_span"": 157, ""type"": ""Protein""}]"
This hypothesis is supported by two observations: a cheRBCD mutant is capable of transient excitation and subsequent oscillations that bring the flagellar rotational bias below the prestimulus value in the tethered cell assay, and the cheRBCD mutant is capable of swarming in a Tryptone swarm plate.	"cheRBCD	52	59	Protein"	"cheRBCD	235	242	Protein"	"[{""token"": ""cheRBCD"", ""start_span"": 52, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""cheRBCD"", ""start_span"": 235, ""end_span"": 242, ""type"": ""Protein""}]"
Brefeldin A or low temperature ( 15 degrees C) treatment did not affect the translocation of Pc550gp from the parasite compartments to the erythrocyte membrane, indicating that the secretion of Pc550gp does not follow the classical transport pathway described in most eukaryotic cells.	"Pc550gp	93	100	Protein"	"Pc550gp	194	201	Protein"	"[{""token"": ""Pc550gp"", ""start_span"": 93, ""end_span"": 100, ""type"": ""Protein""}, {""token"": ""Pc550gp"", ""start_span"": 194, ""end_span"": 201, ""type"": ""Protein""}]"
We show that the next step is dissociation of 50S subunits from the 70S posttermination complex and that it is catalyzed by RRF and EF - G and requires GTP hydrolysis.	"RRF	124	127	Protein"	"EF - G	132	138	Protein"	"[{""token"": ""RRF"", ""start_span"": 124, ""end_span"": 127, ""type"": ""Protein""}, {""token"": ""EF - G"", ""start_span"": 132, ""end_span"": 138, ""type"": ""Protein""}]"
Thus far, the focus has been on acetylator genes ( NAT1, NAT2) and the activation of heterocyclic amines, carcinogens generated by cooking meat for prolonged periods at high temperature.	"NAT1	51	55	Protein"	"NAT2	57	61	Protein"	"[{""token"": ""NAT1"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""NAT2"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Protein""}]"
Three case - control studies and one prospective study have shown a consistent trend towards higher risks for cancer with higher intakes of meat in rapid acetylators for NAT1, NAT2 or both genotypes.	"NAT1	170	174	Protein"	"NAT2	176	180	Protein"	"[{""token"": ""NAT1"", ""start_span"": 170, ""end_span"": 174, ""type"": ""Protein""}, {""token"": ""NAT2"", ""start_span"": 176, ""end_span"": 180, ""type"": ""Protein""}]"
High levels of PLOD1 and PLOD3 genes were expressed in both BMSCs and NSFs, and the expression levels did not change in the course of differentiation.	"PLOD1	15	20	Protein"	"PLOD3	25	30	Protein"	"[{""token"": ""PLOD1"", ""start_span"": 15, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""PLOD3"", ""start_span"": 25, ""end_span"": 30, ""type"": ""Protein""}]"
OBJECTIVES: To develop an enzyme - linked immunosorbent assay ( ELISA) using a monoclonal antibody ( mab) directed against abnormally glycosylated serum alpha2 - macroglobulin ( alpha2 - M) from patients with systemic lupus erythematosus ( SLE).	"alpha2 - macroglobulin	153	175	Protein"	"alpha2 - M	178	188	Protein"	"[{""token"": ""alpha2 - macroglobulin"", ""start_span"": 153, ""end_span"": 175, ""type"": ""Protein""}, {""token"": ""alpha2 - M"", ""start_span"": 178, ""end_span"": 188, ""type"": ""Protein""}]"
DESIGN AND METHODS: Serum alpha2 - M purified by HPLC from patients with SLE was injected in a Balb / c, CB6 F1 female mouse and hybrid cell lines were screened using alpha2 - M Glu - C fragments derived from SLE and normal donors ( NHS).	"alpha2 - M	26	36	Protein"	"alpha2 - M	167	177	Protein"	"[{""token"": ""alpha2 - M"", ""start_span"": 26, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""alpha2 - M"", ""start_span"": 167, ""end_span"": 177, ""type"": ""Protein""}]"
These reactions are catalyzed by a dedicated methyltransferase CheR and a dedicated methylesterase CheB.	"CheR	63	67	Protein"	"CheB	99	103	Protein"	"[{""token"": ""CheR"", ""start_span"": 63, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""CheB"", ""start_span"": 99, ""end_span"": 103, ""type"": ""Protein""}]"
We investigated the action of CheB and its activated form, phospho - CheB, on a truncated form of the aspartate receptor of Escherichia coli that was missing the last 5 aa of the intact receptor.	"CheB	30	34	Protein"	"CheB	69	73	Protein"	"[{""token"": ""CheB"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""CheB"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Protein""}]"
The rates of remethylation of both CpG islands were associated with time but not with the rate of cell division, and remethylation of the p16 exon 2 CpG island occurred at a higher rate than that of the p16 promoter.	"p16	138	141	Protein"	"p16	203	206	Protein"	"[{""token"": ""p16"", ""start_span"": 138, ""end_span"": 141, ""type"": ""Protein""}, {""token"": ""p16"", ""start_span"": 203, ""end_span"": 206, ""type"": ""Protein""}]"
Of the 8 MSI - H patients, 5 presented hMLH1 methylation, whereas no low - frequency MSI ( MSI - L) and microsatellite stable ( MSS) cases exhibited hMLH1 methylation ( 5 / 8 vs. 0 / 43, p < 0. 00001).	"hMLH1	39	44	Protein"	"hMLH1	149	154	Protein"	"[{""token"": ""hMLH1"", ""start_span"": 39, ""end_span"": 44, ""type"": ""Protein""}, {""token"": ""hMLH1"", ""start_span"": 149, ""end_span"": 154, ""type"": ""Protein""}]"
Furthermore, these patients also presented E - cadherin and p16 hypermethylation.	"E - cadherin	43	55	Protein"	"p16	60	63	Protein"	"[{""token"": ""E - cadherin"", ""start_span"": 43, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""p16"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Protein""}]"
This effect depended on the peptide - binding activity of HSP47, because a mutant HSP47 without collagen - binding activity did not show any inhibitory effect on prolyl 4 - hydroxylation.	"HSP47	58	63	Protein"	"HSP47	82	87	Protein"	"[{""token"": ""HSP47"", ""start_span"": 58, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""HSP47"", ""start_span"": 82, ""end_span"": 87, ""type"": ""Protein""}]"
Although K - Cl cotransporter ( KCC1) mRNA is expressed in many tissues, K - Cl cotransport activity has been measured in few cell types, and detection of endogenous KCC1 polypeptide has not yet been reported.	"KCC1	32	36	Protein"	"KCC1	166	170	Protein"	"[{""token"": ""KCC1"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""KCC1"", ""start_span"": 166, ""end_span"": 170, ""type"": ""Protein""}]"
The tissue distributions of mKCC1 mRNA and protein are widespread, and mKCC1 RNA is constitutively expressed during erythroid differentiation of ES cells.	"mKCC1	28	33	Protein"	"mKCC1	71	76	Protein"	"[{""token"": ""mKCC1"", ""start_span"": 28, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""mKCC1"", ""start_span"": 71, ""end_span"": 76, ""type"": ""Protein""}]"
These reagents and findings will expedite studies of KCC1 structure - function relationships and of the pathobiology of KCC1 - mediated K - Cl cotransport.	"KCC1	53	57	Protein"	"KCC1	120	124	Protein"	"[{""token"": ""KCC1"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""KCC1"", ""start_span"": 120, ""end_span"": 124, ""type"": ""Protein""}]"
INTERVENTION ( S): We removed three glycosylation signals from an hCG - hFSH chimera known to have high affinity for LH and FSH receptors, expecting this would create a bifunctional antagonist ( dgCFC).	"LH	117	119	Protein"	"FSH receptors	124	137	Protein"	"[{""token"": ""LH"", ""start_span"": 117, ""end_span"": 119, ""type"": ""Protein""}, {""token"": ""FSH receptors"", ""start_span"": 124, ""end_span"": 137, ""type"": ""Protein""}]"
RESULT ( S): dgCFC bound LH or FSH receptors similar to hCG or hFSH.	"LH	25	27	Protein"	"FSH receptors	31	44	Protein"	"[{""token"": ""LH"", ""start_span"": 25, ""end_span"": 27, ""type"": ""Protein""}, {""token"": ""FSH receptors"", ""start_span"": 31, ""end_span"": 44, ""type"": ""Protein""}]"
Expression of large quantities of conformationally intact thyrotropin receptor ( TSHR) is essential to understand the structure - function relationship of the receptor.	"thyrotropin receptor	58	78	Protein"	"TSHR	81	85	Protein"	"[{""token"": ""thyrotropin receptor"", ""start_span"": 58, ""end_span"": 78, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Protein""}]"
However, only glycosylated proteins ( TSHR - hs and TSHR - gp) neutralized the TBII activity of sera from autoimmune thyroid patients, confirming the importance of glycosylation for patient autoantibody reactivity.	"TSHR	38	42	Protein"	"TSHR	52	56	Protein"	"[{""token"": ""TSHR"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 52, ""end_span"": 56, ""type"": ""Protein""}]"
Expression levels of full - length TSHR proteins were much lower than the levels of similarly produced corresponding ectodomains of TSHR proteins.	"TSHR	35	39	Protein"	"TSHR	132	136	Protein"	"[{""token"": ""TSHR"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Protein""}]"
BasT - inactivated mutant cells are missing a membrane protein radiolabelled with L - [ methyl - 3H] - methionine in wild - type cells, confirming that BasT is methylatable and membrane bound.	"BasT	0	4	Protein"	"BasT	152	156	Protein"	"[{""token"": ""BasT"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""BasT"", ""start_span"": 152, ""end_span"": 156, ""type"": ""Protein""}]"
Thus, BasT and the arginine sensor Car cover the entire spectrum of chemotactic responses towards attractant amino acids in H. salinarum.	"BasT	6	10	Protein"	"Car	35	38	Protein"	"[{""token"": ""BasT"", ""start_span"": 6, ""end_span"": 10, ""type"": ""Protein""}, {""token"": ""Car"", ""start_span"": 35, ""end_span"": 38, ""type"": ""Protein""}]"
The carboxy - terminal regions of neither LHbeta nor CGbeta were associated with their aggregation.	"LHbeta	42	48	Protein"	"CGbeta	53	59	Protein"	"[{""token"": ""LHbeta"", ""start_span"": 42, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""CGbeta"", ""start_span"": 53, ""end_span"": 59, ""type"": ""Protein""}]"
Both CGbeta wild - type ( WT) and CGbeta lacking N - glycosylation at Asn ( 13) ( CGbeta - N13) showed aggregates in lysate.	"CGbeta	5	11	Protein"	"CGbeta	34	40	Protein"	"[{""token"": ""CGbeta"", ""start_span"": 5, ""end_span"": 11, ""type"": ""Protein""}, {""token"": ""CGbeta"", ""start_span"": 34, ""end_span"": 40, ""type"": ""Protein""}]"
However, in contrast to CGbeta - N13, CGbetaWT revealed no aggregation in medium.	"CGbeta	24	30	Protein"	"CGbetaWT	38	46	Protein"	"[{""token"": ""CGbeta"", ""start_span"": 24, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""CGbetaWT"", ""start_span"": 38, ""end_span"": 46, ""type"": ""Protein""}]"
